Review,Star,Processed_Review
저한테 딱맞는 길이감이에요 달라붙는 느낌이 마음에 들어요,5.0,저한테 딱 맞는 길이감이에요 달라붙는 느낌이 마음에 들어요
제 키에 적당한 치마길이 찾기 진짜 힘든데 역시 무신사… 너무 만족합니다,5.0,제 키에 적당한 치마 길이 찾기 진짜 힘든데 역시 무신사 너무 만족합니다
"하체통통이라 L사이즈가 딱 맞고, 허리는 좀 낙낙한 편이나 골반이 딱 맞습니다",5.0,하체 똥통이라 L 사이즈가 딱 맞고 허리는 좀 낙낙한 편이나 골반이 딱 맞습니다
허리단면 34입는데 s가 33.5라서 m으로 샀는데 허리도 크고 통도 어정쩡하게 커요 저랑 비슷하신분들은 s사도 충분할거 같아요,5.0,허리 단면 입는데 s 가라 m으로 샀는데 허리도 크고 통도 어정쩡하게 커요 저랑 비슷하신 분들은 s사도 충분할 거 같아요
"시중에 다른 보세 쇼핑몰에서 파는 것과 가격은 비슷한데 만듦새가 더 좋아서 만족했어요.
A라인 치마라 골반 부각되는 게 없어서 좋았습니다. 다만 A라인이라 조금 펑퍼짐 합니다. 이 점 알고 구매하시면 좋을 듯 합니다!
너무 짧지 않은 A라인 흑청 치마 찾고 계신 분들께 추천드려요.
 사진은 좀 어둡게 나왔는데 실제로는 화면이랑 똑같아요. 예쁜 흑청입니다 ㅎ.ㅎ",5.0,시중에 다른 보세 쇼핑몰에서 파는 것과 가격은 비슷한데 만듦새가 더 좋아서 만족했어요 A 라인 치마라 골반 부각되는 게 없어서 좋았습니다 다만 A 라인이라 조금 펑퍼짐합니다 이 점 알고 구매하시면 좋을 듯합니다 너무 짧지 않은 A 라인 흑청 치마 찾고 계신 분들께 추천드려요 사진은 좀 어둡게 나왔는데 실제로는 화면이랑 똑같아요 예쁜 흑청입니다
다들 허리 부분이 작아서 골반 부분에서 낀다는 평이 많았는데 역시나 허리 부분은 딱 맞는데 입을 때 골반 부분에서 올리기가 불편해요 근데 그 점 빼고는 가격 대비 질도 좋고 길이도 적당해요!,5.0,다들 허리 부분이 작아서 골반 부분에서 낀다는 평이 많았는데 역시나 허리 부분은 딱 맞는데 입을 때 골반 부분에서 올리기가 불편해요 근데 그 점 빼고는 가격 대비 질도 좋고 길이도 적당해요
언제나 믿고 사는 무신사입니당 사이즈 핏 다 좋아용,5.0,언제나 믿고 사는 무신사입니다 사이즈 핏 다 좋아요
키가 큰편인데 부담스럽지않은 길이라서 좋아요,5.0,키가 큰 편인데 부담스럽지 않은 길이라서 좋아요
"길이도 딱 알맞고 색상도 이뻐요!
단추도 튼튼해서 불편함은 없습니다!
위아래 셋업으로 입어도 이쁘고 따로 입어도 이뻐용",5.0,길이도 딱 알맞고 색상도 이뻐요 단추도 튼튼해서 불편함은 없습니다 위아래 셋업으로 입어도 이쁘고 따로 입어도 이뻐요
"기본흑청치마 하나쯤 가지고 싶어서 구매했어요

색은 예쁜데, 핏이 좀 애매해요 후기가 다 허리가 크다는데 실제로도 허리를 딱 잡아주지는 못해요
넣입하면 좀 애매한 느낌이고, 벨트하면 좀 괜찮아요

그래도 무탠다드 가성비도 좋고 배송도 빠르고 옷감도 탄탄해서 마음에 듭니다~!",5.0,기본흑청치마 하나쯤 가지고 싶어서 구매했어요 색은 예쁜데 핏이 좀 애매해요 후기가 다 허리가 크다는데 실제로도 허리를 딱 잡아주지는 못해요 넣입하면 좀 애매한 느낌이고 벨트 하면 좀 괜찮아요 그래도 무탠다드 가성비도 좋고 배송도 빠르고 옷감도 탄탄해서 마음에 듭니다
"기본흑청치마 하나쯤 가지고 싶어서 구매했습니당

색은 예쁜데, 핏이 좀 애매해요 후기가 다 허리가 크다는데 실제로도 허리를 딱 잡아주지는 못해요
넣입하면 좀 애매한 느낌이고, 벨트하면 좀 괜찮아요

그래도 무탠다드 가성비도 좋고 배송도 빠르고 옷감도 탄탄해서 마음에 듭니다",5.0,기본흑청치마 하나쯤 가지고 싶어서 구매했습니다 색은 예쁜데 핏이 좀 애매해요 후기가 다 허리가 크다는데 실제로도 허리를 딱 잡아주지는 못해요 넣입하면 좀 애매한 느낌이고 벨트 하면 좀 괜찮아요 그래도 무탠다드 가성비도 좋고 배송도 빠르고 옷감도 탄탄해서 마음에 듭니다
"처음에 xs로 샀다가 작을 것 같아서 취소했는데 그 몇 시간 사이에 벌써 발송이 완료되어서 결국 반품비 내고 다시 샀어요 😭😭
그만큼 배송이 완전완전 빨라요!

치마는 베이직한 흑청 스커트에용 휘뚤마뚤 여기저기 다 잘 어울려서 좋아요!
저는 골반 엉덩이 허벅지가 있는 편인데 s사이즈가 딱 맞았어요 xs는 아예 꽉 껴서 못 입는 수준이었구요 
길이에 비해서 허리나 엉덩이가 타이트하게 나왔으니 참고하세요ㅎㅎ

재질도 톡톡하고 완전 한여름 아니고서는 사계절 내내 입을 수 있을 것 같습니당 잘 샀어요!",5.0,처음에 xs로 샀다가 작을 것 같아서 취소했는데 그 몇 시간 사이에 벌써 발송이 완료되어서 결국 반품비 내고 다시 샀어요 그만큼 배송이 완전 정말 빨라요 치마는 베이직한 흑청 스커트에요 휘뚤마뚤 여기저기 다 잘 어울려서 좋아요 저는 골반 엉덩이 허벅지가 있는 편인데 s사이즈가 딱 맞았어요 xs는 아예 꽉 껴서 못 입는 수준이었고요 길이에 비해서 허리나 엉덩이가 타이트하게 나왔으니 참고하세요 재질도 톡톡하고 완전 한여름 아니고서는 사계절 내내 입을 수 있을 것 같습니다 잘 샀어요
사진에 있는 니트와 스커트가 무신사 스탠다드에서 첫 구매한 상품입니다. 패션 좋아하는 지인이 기본템은 무신사 스탠다드가 가격 대비 좋다고 해서 구매했었는데 진짜 좋네요 앞으로 자주 구매할 거 같습니다!,5.0,사진에 있는 니트와 스커트가 무신사 스탠더드에서 첫 구매한 상품입니다 패션 좋아하는 지인이 기본 템은 무신사 스탠더드가 가격 대비 좋다고 해서 구매했었는데 진짜 좋네요 앞으로 자주 구매할 거 같습니다
"기장이 짧은 것 같아서 걱정했는데 딱 적당해요!
168인데 부담없이 입습니다!
허리는 좀 크긴 한데 데님 치마는 너무 딱 맞으면 불편해서 그냥 널널하게 입을라구요
진짜 기본템으로 딱이에요!!
핏도 딱 좋아요<~",5.0,기장이 짧은 것 같아서 걱정했는데 딱 적당해요인데 부담 없이 입습니다 허리는 좀 크긴 한데 데님 치마는 너무 딱 맞으면 불편해서 그냥 널찍하게 입을라구요 진짜 기본 템으로 딱이에요 핏도 딱 좋아요
"허리는 큰데 골반에서 걸려서 입기 조금 불편하지만 옷 핏이 진짜 옙뻐요,,,,인생 청치마 될 것 같아요 다들 무텐다드 하는 이유가 있더라고요 불편한 거 감안하고 또 살 의향 매우 있읍니다",5.0,허리는 큰데 골반에서 걸려서 입기 조금 불편하지만 옷 핏이 진짜 옙뻐요인생 청치마 될 것 같아요 다들 무텐다드 하는 이유가 있더라고요 불편한 거 감안하고 또 살 의향 매우 있습니다
스몰샀는데 생각보다 ㅡ널널하게 잘 맞았어요~~ 역시 데님종류는 무신사가 최고인듯해요ㅎㅎ 근데 흰가방이랑 들었는데 약간 물빠짐이 있나봐여ㅠㅠ 가방이 이염됫어요ㅎ 혹시모르니 조심히 입는게 좋을것같습니당!,4.0,스몰 샀는데 생각보다 널찍하게 잘 맞았어요 역시 데님 종류는 무신사가 최고인듯해요 근데 흰 가방이랑 들었는데 약간 물 빠짐이 있나 봐요 가방이 이염됐어요 혹시 모르니 조심히 입는 게 좋을 것 같습니다
재질도 좋고 색감도 예뻐요. 타이트하게 맞는데 약간 짧지만 입으면 너무 예뻐요.,5.0,재질도 좋고 색감도 예뻐요 타이트하게 맞는데 약간 짧지만 입으면 너무 예뻐요
"치마 너무 맘에 들어요! 스판끼가 살짝 있어서 활동하기 너무 편하고 길이도 짧지 않아요 키가 작은편인데 딱 좋았어요! 다만, 허리가 좀 저한테는 커서 앞 버클이랑 지퍼부분이 울더라고요 그래도 넘 마음에들고 만족합니다! 키 작으신 분들 너무 짧지도 길지도 않은 딱 적당한 길이니 믿고 사세요!",5.0,치마 너무 맘에 들어요 스판기가 살짝 있어서 활동하기 너무 편하고 길이도 짧지 않아요 키가 작은 편인데 딱 좋았어요 다만 허리가 좀 저한테는 커서 앞 버클이랑 지퍼 부분이 울더라고요 그래도 너무 마음에 들고 만족합니다 키 작으신 분들 너무 짧지도 길지도 않은 딱 적당한 길이니 믿고 사세요
"허리가조금큰데그만큼통이커서
굵은다리커버되는듯^^",4.0,허리가 조금 큰데 그만큼 통이 커서 굵은 다리 커버되는 듯
재질이 탄탄해서 좋아요~ 사이즈도 적당한거 같습니다.,5.0,재질이 탄탄해서 좋아요 사이즈도 적당한 거 같습니다
