Review,Star
"짧기도 하고 가벼운 소재라 더 가볍게 느껴지네용 아래 끝이 포인트돼고 예뻐요!
생각보다는 목 부분이 답답한 느낌도 있어서 참고하세요~~",5.0
상체비만이라 붙는거 싫어서 2했는데 핏이 좀 어정쩡해보이긴 해욯ㅎㅎ 그치만 자켓 안에 입을거라 괜춘,5.0
"리뷰 짧다는 평에 2사이즈 구매했어요
예쁜데 더운 재질인지 몰랐네욤 ㅜㅜ",5.0
옆에 묶는 걸로 길이 조절할 수 있어서 좋았어요! 색도 이쁘고 쿨해보여 이쁜듯,5.0
셔링이 안어울리는 체형이라 그냥 잘라버렸어용,5.0
"168이라 기장감이 어떨지 걱정했는데 옆에 스트링 많이 조이면 진짜 짧아서 편히 앉지는 못할 듯ㅋㅋ
조이지 않으면 편하게 입을 수 있긴 한데 라인이 없어서 밋밋해요 조인 게 훨 이쁨
허리는 상대적으로 할랑합니다",5.0
옆에 묶는 걸로 길이 조절할 수 있어서 좋았어요! 색도 이쁘고 쿨해보여 이쁜듯,5.0
셔링이 안어울리는 체형이라 그냥 잘라버렸어용,5.0
"168이라 기장감이 어떨지 걱정했는데 옆에 스트링 많이 조이면 진짜 짧아서 편히 앉지는 못할 듯ㅋㅋ
조이지 않으면 편하게 입을 수 있긴 한데 라인이 없어서 밋밋해요 조인 게 훨 이쁨
허리는 상대적으로 할랑합니다",5.0
"예뿐데 157에게도 짧은 편입니다아 ! 짧다는 후기 보고 2사이즈로 시켰는데도 짧아요 ㅠㅠ(사실 뱃살부각도 좀...)
죽어도 못입어!!!할 정도로 짧은건 아닌데 스트링 쪼이면 확실히 짧아지네용... 입고 아무것도 안하고 가만히 서있어야 할 ,,
옷 재질은 약간 까슬해서 시원하더고 특이하고 넘 예뻐용 ! 적당히 얇아서 여름에 잘 입을 것 같은,, 색도 넘 예쁘구!🤍
짧은게 아쉽지만 스트링 안쪼이고 입으면 그냥 그래서 적당한 타협점을 찾아서 잘 쪼여서 입어야겠어용",4.0
이 가격에 이 콸리티 뭔가요 사세요 두개 서세요 세개 사세요,5.0
"허리 부분이 너무 펄럭펄럭해서 아쉽고
짧아서 줄 잘라버림 어차피 못올려 입는드아",4.0
옆에 끈으로 길이 조절도 할 수 있고 옷 자체가 넘 예쁩니당,5.0
핏도 이쁘구요.기장도 적당해서 움직일때  신경쓰이지 않고편해요,5.0
"생각보다 타이트하게 붙어서 … 배에 힘 빡줘야됩니다 ㅜㅋ 
리뷰에서는 헐렁하다는 말 많았는데 내 몸이 조금 싫어지는 순간.. .. 
가격대비 넘 만족함!!!",5.0
색감도 예쁘고 핏도 좋아요! 키가 작은데도 줄로 조절하면 짧을 정도입니다,5.0
"아기 낳고 다이어트 중인데
넉넉하게 입으려고 2 사이즈로 샀어요
1 했으면 핏은 더 이뻤을 듯 한데 불편할거 같아서

셔링 잡으면 핏 더 안예쁨
걍 안 묶고 일자로 두는게 더 핏 살고 말라보임",5.0
사이즈 2로사니까 생각보다 널널하고 아랫배 티나욤! 잘늘어나고 좋슴다 안짧아요,5.0
"시원한 재질이라 여름에 입으면 좋을 것 같아요~
길이는 허벅지 중간 정도 와요",5.0
"아기 낳고 다이어트 중인데
넉넉하게 입으려고 2 사이즈로 샀어요
1 했으면 핏은 더 이뻤을 듯 한데 불편할거 같아서

셔링 잡으면 핏 더 안예쁨
걍 안 묶고 일자로 두는게 더 핏 살고 말라보임",5.0
사이즈 2로사니까 생각보다 널널하고 아랫배 티나욤! 잘늘어나고 좋슴다 안짧아요,5.0
"시원한 재질이라 여름에 입으면 좋을 것 같아요~
길이는 허벅지 중간 정도 와요",5.0
예쁜데 허리가 약간 남아요 여름에 입기 좋을거같아여,5.0
"와이프에게 그냥 선물로 줘봤어요
애 낳고 키우고 고생 많아서...😄
좋아보입니다!
꾸미는 여성 멋뎌요!

옷이 좋아요.
맘에 들어합니더ㅡ",5.0
배송이 빨라요. 가격도 싸고 무난하게 입기에 좋을 것 같아요,5.0
