Star,Review
3.0,생각 보다 작아요!! 한치수 크게 사는 거 추전이하겠습니다
1.0,핏 자체기 펑퍼짐하고 오버핏이 아니라 걍 뚱뚱한 할아버지 정장 몰래 입은 st 
5.0,세미정장느낌으로 입어도 좋고 캐쥬얼하게 데님이랑 깉이 매치하면 예쁜 것 같습니다
5.0,쿨탠다드로 구입하니 확실히 시원하긴해요 하지만 한여름엔 힘듭니다
5.0,시원하게 잘 입고 있어요. 출퇴근할때 입기 좋아요
5.0,얇아서 여름에 입어도 좋을듯 합니다! 특히 배송이 빨라서 좋았어요
5.0,원단이 얇아서 시원하고 약간 오버핏이라 입었을 때 편합니다. 셋업으로 입어도 되고 다른 바지와 입어도 이쁠거같아요.
5.0,무난하고 싸고 좋아요 가성비 최고 무탠다드입니다
5.0,"무탠다드 매장에서 입어보고 구매하였는데, 한 여름에는 덥겠지만 그 외에는 충분히 범용성 넓게 입을 수 있습니다.  감사합니다."
5.0,플러스배송 저녁에 주문했는데 다음날 바로 와서 좋아요 이제 정장은 정장브랜드 말고 무탠다드에서만 살려고요
4.0,베이직하게 가성비로 활용하기 좋습니다. 6월까지는 덥지않게 입을수 있습니다.
5.0,배송 매우 빠르고 핏도 잘 맞아요 믿고 사는 무신사입니다
5.0,아주잘입었습니다 얇아서 여름에도 좋네요 깔끔해용
5.0,105입으시는분들은 xl가세욥 ㅎㅎ사이즈찰떡이네요
5.0,급하게 면접보러 가야 해서 샀는데 가격대비 만족합니다ㅎㅎ
5.0,좀 크네요 한 여름은 어려워요 막입을 전투용으로 추천합니다
5.0,여름용으로 추가 구매했습니다  저는 출근시 무텐다드만입고 신발도 무텐입니다 잘맞고 시원합니다
5.0,여름용으로 입기에는 살짝 더운감이 있을 거 같고 봄가을에 시원하게 입을 것 같아요!
5.0,급하게 정장이 필요해서 주문 했는데 핏이나 두께 다 너무 좋네요
5.0,쿨맥스소재라도 한여름엔 좀 덥겠지만 출근 전투복으로 이만한게 없네요
5.0,전체적인 핏이 예쁘게 나오고 제질도 부드러워 좋습니다 하지만 제 채형에서는 어깨가 살짝 좁은 느낌이 듭니다 전체적인 가격대비 가성비로 나쁘지 않습니다
5.0,여름에 입으니 안에 셔츠 안입고 티 하나 입을거라 딱맞아요
5.0,기본 블레이저의 정석인거 같습니다 어떤 옷에나 잘어울릴듯 하네요~
5.0,텅치가 큰편인데 신축성이 있어서 좋아요 가성비최고임!!
5.0,얇아서 지금 날씨에도 시원하게 입을 수 있습니다
3.0,정사이즈로 샀는데 생각보다 작은거 같음 한사이즈 업 추천
5.0,아주 잘 입고있어용 감사합니다 또 사러 올게요 !!무신사 짱
5.0,가성비좋은 블레이저입니다. 얆아서 여름에 좋을거같아여.
5.0,정말 좋아요 일부러 쿨텐다드로 구매했는데 1년 365일 사용할듯합니다. 겨울에는 이너나 아우터랑 함께입으면되고 여름에는 그냥 입으면되요. 요즘은 대부분 따뜻한 곳들이 많아서 오히려 쿨텐이 더 활용높은것같아요.
5.0,여름철에 입을 수 있는 무난무난한 블레이져입니다. 어깨패드도 과하지 않게 적당히 들어가서 핏을 전체적으로 잘 잡아줍니다. 제가 팔이 길지 않아서 소매길이가 살짝 긴 감이 있어요.
5.0,가성비로 좋습니다 얇아서 한여름 제외 좀 더워도 입을 수 있구요 추워져도 이너 두껍게 입으면 가능할거 같아요 기장감 핏 다 좋습니다 
5.0,역시 믿고 보는 무탠다드! 가성비 좋은 블레이저라 캐주얼하게 입을 때도 좋고 슬랙스랑 매치하면 또 차려입은 느낌이라 조합하기 좋은 아이템이에요!
5.0,"합리적으로 잘 산 것 같습니다. 살짝 흐리고 사이즈는 오버하게 95딱 맞습니다,"
5.0,생각보다 어깨라인이 좁지만 그래도 핏은 이쁜니다 원래 오버사이즈를 좋아해서 그런가바옇ㅎ
5.0,장례식장 갈려고 샀는데 평상시에도 부담없이 입을 수 있을 것 같습니다. 신축성이 있어 편하고 재질도 좋습니다.
5.0,저한테안어울려요키작은사람은피하세요키가작으면도망가세요
5.0,핏이 예뻐서 어느 옷에든 잘 어울리네요 ㅎ ㅎ 만족함니다
5.0,아주 가을용으로 좋슴당 핏도 맘에 들고 두께도 지금 딱!
5.0,착 착 맘이 드네요 휘뚜루입기좋아여 기본팀인듯 하지만 떠 이쁨
5.0,여름용 블레이저 필요해서 샀는데 역시나 한여름에 입기에는 좀 덥네요 그래도 무탠다드 답게 가성비좋고 디자인도 만족스럽습니다 ㅎㅎ
5.0,쿨텐다드라서 가을에도 시원하게 입을거같아요
