Star,Review
5.0,일단 편하고. 대충 걸치는건데 스타일하기도 편하고. 허리에 조절하는 끈이 있어서 좀 더 디테일하게 스타일링하는게 가능해서 너무 좋음. 솔식히 여름에 반팔만 입고다니는데 꾸미기 힙들어서 구매했는데. 편하게 스타일링이나 포인트를 만들 수 있어서 엄청 만족.
3.0,어깨가 좁은거 말고는 괜찮은거 같습니다 가성비 갑
5.0,후드 베스트는 처음인데 예쁘네요 입문용으로 좋아요
5.0,후드베스트 구매하고 싶었는데 딱 저렴한 가격에 잘 구매할 수 있어서 좋았어요 일단 디자인도 이쁘고 질도 괜찮구요 대신 어깨부분이 살짝 얇아서 꼭 지퍼를 잠궈 입어야하는 단점이 있긴합니다
5.0,무게는 엄청 가벼워요 재질은 시원하고 사이즈 굿굿
3.0,"3.5점 정도로 드리고 싶습니다. 싼가격에 나의 스트륏한 스타일을 뽐내고 슆다? 이 제품을 선택하세요. 다만 생각을 잘해야합니다. 자크 부분이 잘 걸리기 때문이죠. 그리고 대부분의 후기를 보면 후드 끈을 빼라고 하시는데!! 그 말 꼭 들으세요!! 싼마이 느낌을 한 스푼 덜어줍니다. 이 후기를 듣고 ""살만할것같은데?""라고 생각하셨다면 사도 좋을것같다고 감히 말씀 드립니다."
5.0,굉장히 좋고 반팔만 입기 허전할때 딱 하나 걸치면 좋습니다. 다만 너무 더울때는 이거 하나 걸치면 더더 더워져서 좀 힘들어요  ㅠ 단점으로는 끈이 너무 길다..? 진짜 좀 많이 길어서 팔에도 치이고 그렇긴 해요. 전체적으로는 만족합니다!
5.0,가격도 너무 좋고 재질도 얇아서 너무 정말 좋아요
5.0,너무 덥지도 않아서 코디할때 포인트로 귀여운 것 같아요.
5.0,너무 예뻐요 가격대비 잘입을게요 가볍고 좋네여
5.0,세일할 때 싸게 잘 샀어요 !! 생각보다 좀 얇긴 한데 베스트가 두꺼우면 더우니까 얇아서 좋은 것 같아요 ㅎㅎ s 하면 좀 작았을듯
5.0,사이즈는 넉넉했어요 스트링이 헐거워서 저는 매듭 지었어용 완전 부시럭거리는 재질이라기보다 좀 부드러운 재질이에요
5.0,남자친구가 샀는데 사이즈 아주 맘에들어하네요 남성분들은 라지 사이즈 가시면 딱일듯요
5.0,일단 한여름에도 코디하기 좋은 조끼 입니다! 엄청 얇아서 시원히고 편해요! 무난한 코디에 포인트 주는것 같아서 좋은것 같아요!!
5.0,얇은 제품 찾고 있었는데 잘 찾은거같고 사이즈도 잘맞습니다 
5.0,가성비 좋습니다! 잘 입고 다니겠습니당 색별로 예뻐요
5.0,나일론 소재여서 붙는 거 하나 없이 시원해요 블프 기간에 저렴하게 잘 샀습니다
4.0,생각보다 엄청 얇아서 놀랏지만 잘맞고 예쁘네녀용
4.0,사이즈 크게 나오진 않아서 M사도 괜찮았을 거 같네요 세일할 때 저렴하게 사서 좋아요 잘 입을 거 같아요
4.0,모자 끈이 생각보다 길긴한데 전반적으로 만족합니다
5.0,사진이랑 딱이네요 디자인도 마음에들어요 더운날 입기 좋아요
3.0,가격이 가격이라 재질은 크게 기대하시면 안되고 꽤 크게 나옵니다. 그냥 가볍게 걸칠겸 그냥 그렇슴다
5.0,사이즈 잘 맞고 실제로 입었을때 더 예뻐요 맘에 듭니다
5.0,잠깐 집앞 나갈때!! 또는 스타일링 하기에도 멋진 녀석입니다 ㅎㅎ 같은 소재의 바지도 하나 디자인 되었으면좋을 것 같아요😃
5.0,입고싶은 스타일이였는데 좋은 가격의 좋은 제품인 거 같아서 바로 구매했습니다 디자인은 딱 생각한대로 였습니다 심플한 디자인 사이즈는 딱 적당했고 두께감 엄청 얇고 무게도 가볍습니다 입었다 벗었다 하기도 편하구요 가성비 제품으로 정말 추천합니다 번창하세요~ 
5.0,나일론이라 재질이 시원하고 사이즈도 이쁘게 나왔네요
5.0,무게는 가볍구 어깨를 다덮엇으면 좋겠어서 m으로 시켰는데 폼이 좀 커요..! 하지만 만족합니닷 ㅎㅎ이뻐용
5.0,느무 얇고 생각보다 핏이 잘 안 잡혀요 ㅜㅜ 그래도 나시 위에 부담스럽지않게 착용하기 좋아효
5.0,배송 빠르고 옷 질 괜찮고 편하게 입고싶을때 코디하기 좋아요
