Star,Review
5.0,옛날부터 사고싶었는데 이제야 알바비 모아서 샀는데 너무 만족합니다! 아까워서 막 입지도 못할 정도로 이뻐요 어깨도 직각어깨인게 잘 드러나서 좋아요
5.0,올 가을 내 교복 사랑해요 아디다스♥ 진짜 편하게 잘 입혀요
5.0,축구할 때 잊으려고 했는데 축구말고도 다 입을 수 있을거같아요
5.0,너무좋아요 진짜 대박 운동핱때 맨날입음 레전드 가보자
5.0,어젠가 시켰는데 되게 빨리와서 놀랐어요ㄷㄷ 트랙탑 사보고싶어서 샀는데 짱짱 이뻐요 다른 색 나오면 그것도 사고싶네요 오늘 입었는데 안에 기모가 조금 있더라도 반팔이랑 입으면 그래도 춥긴하네요ㅎㅎ그래도 맨투맨이나 후드티랑 같이 입으면 덜 춥긴할것같아요 사이즈는 L이구요 되게 크게 나왔더라구요 저는 크게 입는 편을 좋아해서 딱 좋았어요 강추!!
4.0,사이즈가 좀 크지만 그래도 디자인은 예뻐요. 한가지 아쉬운건 오버핏처럼 입으려고 큰거알면서도 산건데 밑단 시보리가 좀 헐렁할줄알았는데 엄청 쨍쨍하네요.  위에는 펑버짐하고 밑단은 너무타이트해서 그래서 잠그면 핏이 좀 애매해져버리네요 ㅜㅜ
5.0,중1아들이 넘 좋아합니다 예뻐요 가볍게 여기저기 막입기 좋습니다
5.0,가볍고 가볍게 스타일링하기 좋아요 무엇보다 생각보다 따뜻
5.0,사이즈가 넉넉하게 나와서 오버핏으로 입기 좋아요. 어디에나 잘 어울리고 편하게 입을 수 있어서 좋아요
4.0,사이즈 적당하고 밑단이 좁은 스타일인줄은 모르고 샀는데 그냥 입기로 했네요
5.0,조금 큽니다 어깨라인은 맞는데 몸통이 크네요 그래도 이쁘네요
5.0,연휴에 주문해서 늦어지는 거 감안했는데 플러스 배송이라 생각보다 빨리 왔어요! 상품 맘에 드는데 일주일 정도 입고 다녀보니 보풀이 좀 생깁니다ㅠㅠ
5.0,파이어버드 최고… 개인적으로 제 스펙에 오버핏으로 입고 싶다면 엑스라지가 딱일 듯 싶어요 사이즈 고민 많았는데 라지 샀으면 밑에 시보리 때문에 조금 애매했을듯…? 팔이 살짝 길긴한데 이정도는 뭐 괜찮아요
5.0,사이즈 젤 작은건데 기장이 넘 길어서 첨엔 애매하게 길까봐 걱정했는데 밑에 시보리 땜에 저절로 올라가서 괜찮아요 예쁩니다
5.0,작은아들 사준건데 입어보더니 사이즈도 맞고 너무 맘에 든다네요
5.0,받기 전까지 계속 사이즈 걱정 했는데 아주 만족스럽네용
5.0,원하는 핏과 원하는 색감 그대롭니다 너무 이뻐요
5.0,너무 귀엽습니다…고민하다 m사이즈로 샀는데 정말 핏 굿이네요👍
5.0,"완전 예뻐욤 밑단 시보리가 짱짱하긴 한데 전체적으로 옷은 큰 편이라, 여성분들은 이 사이즈로 사도 충분할 것 같아요"
5.0,엑라 사이즈 괜찮네요 시보리 짱짱합니다 핏이뻐요
