Review,Star
이쁘고 길이도적당한데 살짝긴느낌ㅋㅋ 허리라인 이쁘게들어가요,5.0
늠무 이뻐여ㅜㅜ 여름이니까 원피스 필수.. 다들 쟁여놓으세여,5.0
"제 키, 몸무게에는 s가 딱 좋네요. 시원한 소재라 더 더워져도 잘 입을 것 같아요.",5.0
여름 내 잘 입었어요 딱 맞게 입고싶어 xs할까 고민하다가 s구입한건데 어깨가 딱 맞더라구요.,5.0
아주 깔끔한 기본핏의 피케원피스입니다 괜춘! 추천해욤,4.0
"딱 적당히 핏하게 입고싶으면 xs
살짝 널널하게는 s 하면 될거같아요!
가성비 짱!!
좀 더 다양한 색있으면 좋겠어여ㅜㅜ",5.0
어디든 잘어울리고 아무데나 잘어울립니다 좋네요,5.0
길이가 짧으면 어쩌나했는데 적당해요! 허리가 살짝 들어가 있어서 완전 이뻐요ㅠㅜ,5.0
생각보다는 길지만 편하고 핏 좋아요! 소재도 얇습니당,5.0
한 번 빨았는데 많이 손상되지는 않지만 처음핏은 아니네요 ㅠㅠ 그래도 옷이 예뻐요,5.0
"얇은만큼 비쳐서 꼬옥 속치마, 속바지 필수예요
여름엔 원피스만한게 없어요",5.0
"pk 원피스 많이 알아봤는데
너무 짧지도 않고 너무 붙지도 않고 가격도 저렴하고
라코스테 안사고 이거 사도 충분히 만족할거같아요
무탠다드 짱입니다
살짝 비치는게 흠이긴 하지만 막 신경쓰일 정도 아닌거같아요
속치마바지랑 같이 입으세요~",5.0
원피스 끝단이  A라인처럼 됐으면 하비인 제 체형에는 좀 더 좋았을것 같아요. 하지만 비침은 없는데 원단이 생각보다 더 얇아서 여름용으로 시원하고 여기저기 편하게 입고 다니기 좋아요,5.0
허리 라인이 들어가 있어서 핏이 괜찮네요 길이 적당하고 생각보다 많이 안 커서 좋아요,4.0
진짜 괜찮음 다들 사세용 저는 2만원 초반대에 구매,5.0
"(무단횡단아니고,,행사해서 차도를 인도처럼 다닐 수 있는 거예요^_^)
진짜 구입한 후로 교복처럼 입고 다녀요
생각보다 얇아서 속바지 입으면 다리 라인 다 보이기땜에 차라리 짧은 바지 입는 거 추천드림ㄷㅏ:D",5.0
날씬해보이고 너무 좋아요 시원하고 편합니당 추천 ㅎㅎ,5.0
허리라인 잡아줘서 몸매 좋아보이고 편해요 덥지도않구,5.0
"165 51 S사이즈 딱임
고민들말고 사세요오",5.0
156이 입기에는 좀 조신한 길이지만 그 덕에 편하게 어디든 입고다닐 수 있어요! 160이상이면 예쁜 길이일듯 핏도 예뻐요 밝은곳에서는 비침 약간 있어요,5.0
얇아서 좀 비추긴한데 s사이즈 딱 맞아요 길이도 적당합니다,4.0
"요근래 살이 쪄서 m사이즈 사봤는데 무난하게 잘맞습니당 근데 배 빵빵하게 먹고 입으면 라인 다 나오니까 이거입은날엔 적당히먹어야할듯,,,
오프라인에 디피안돼있어서 입어보지못하니 참고하세여!",5.0
"이런 원피스 사고 싶어서 고민하다가 후기가 좋아서 구매 해 봅니닷
소재는 여름이 시원 할 소재구용 편하게 입기 좋을 것 같아용
팔뚝이 많이 두꺼운데 팔 접으면 꽉 끼는 느낌이 나서
아마 왠만한 분들도 넉넉하게 맞을 것 같아융
제 기준 L로 구매하는개 맞지만 살 빼고 있어어 M으로 구매 했어용
딱 핏되고 이쁘게 맞아유
다른 색도 구매하려고 합니닷 추천추천",5.0
생각보다 되게 얇은데 그래서 여름에 잘 입을것같아요,5.0
XS로 사길 진짜 잘한 것 같아요! 제가 원하던 딱 정핏!,5.0
"생각보다 얇아서 다리 쪽이 조금 비쳐요
속치마 입어야 할 것 같아요
핏은 예뻐요",5.0
딱좋은데 좀붙어요 이쁘긴해요 편하게 입기에좋은듯,4.0
"심플해서 여름 내내 잘 입었어요
생각보다 많이 안 짧았어요",4.0
비침이 심해요. 얇아서 시원하긴한데 안에 속치마 정말 필수입니다...,4.0
"좋아요 너무무지라서 심심하긴하지만 합격!
잘입을께요",4.0
"예쁜데요..... 속치마를 입어도 속 바지를 입어도
다리라인 그대로 보이는건 너무 심한디요....?
다른분들은 대체 어떤 속치마랑 속바지를 입는건가요?ㅠ
옷은 너무맘에드는데 다리라인이 너무 그대로 보여서
입지를 못하네요",3.0
"무탠다드 pk원피스 최고입니당,, 두번째 구매에오,, 가격이 저렴해서 입다가 해지면 또 사면 됩니다!! 기장도 적당하고 입엇을때 라인이 예쁨ㅠ",5.0
편하게 입을 옷이 필요해서 샀는데 괜찮아요 근데 제가 허리가 많이 얇은 편이라 그런가 펑퍼짐한건 아닌데 좀 커요,4.0
"무신사에서 여러번 구매했었는데 역시 이번에도 
좋은 상품을 구매하게 되었네요
와이프가 입으면 이쁘겠다고 생각해서 구매했는데
역시 잘 선택했네요
조금 젊게 입었으면 해서요
스타일도 그렇고 너무 타이트 하지 않고 잘 어울리는 
느낌이네요",5.0
"얇아서 시원하고 좋아요.
얇은 대신 비침이 있어서 속치마 입는게 좋을것 같아요.",5.0
"s했어도될뻔 
여유있게 편해요
너무 짧지 않아서좋아요
신랑도이 쁘다고 하네요 옷이",5.0
무탠다드에서 직접 입어보고샀는데 너무 맘에들어요 베이직하면서도 핏되는 느낌이 좋습니닷,5.0
편하고 좋아여 흰색도 살 예정이에여 라인도 잡아쥼!!,5.0
"편한 마실용 원피스 찾았는데

싸게.잘 샀어요

배송도 빨라요",4.0
편하고 이쁘게 잘 입을 수 있을 것 같아요 기장도 너무 짧지않아 좋습니다,5.0
아무옷이나 잘어울려서 편하게 입기 너무 좋아요,5.0
편하게 입기 좋아요 조금 비치는 것 빼고는 다 좋아요,5.0
"예뻐요!!하나 정도 구매 해서 이 신발 저 신발에 입기도 좋고 가방도 아무거나 들고 다녀도 잘 어울려요
사이즈는 살짝 큰 감이 있지만 더 작았으면 밥 먹었을때 살짝 불편했을지도 모르겠어요",5.0
무릎 딱 위까지 와서 좋아요 얇아서 지금 잘 입고댕길듯,5.0
