Review,Star,Processed_Review
재질이 바람이 잘통하는 재질이라 여름에 입으면 시원합니당 핏도 넓찍하게 나와서 좋네용,5.0,재질이 바람이 잘 통하는 재질이라 여름에 입으면 시 원합니 당 핏도 넓찍하게 나와서 좋네용
재질 : 가벼워요. 주름진 상태에서 계속 유지되서 좋아요 스타일링팁 : 품이랑 길이가 크고 긴 편이라서 저는 넣어입어요 구매한 이유 : 세일해서 가성비 좋아요 착용감 : 입은 듯 입은 듯 해요 무게 : 엄청 가벼워요  추천해요,5.0,재질 가벼워요 주름진 상태에서 계속 유지되서 좋아요 스타일링 팁 품이랑 길이가 크고 긴 편이라서 저는 넣어 입어 요 구매한 이 유 세일해서 가성비 좋아요 착용 감 입은 듯 입은 듯 해요 무게 엄청 가 벼워요 추천해요
파르티멘토 옷이 너무 이쁘기도하고 가격도 너무 착해서 자주 구입하는 편인데 이번에도 실망시키지 않고 좋은제품 만들어주신거 같습니다. 여름에 입기 너무 좋아요.,5.0,파르티 멘토 옷이 너무 이 쁘기도 하고 가격도 너무 착해서 자주 구입하는 편인데 이번에도 실망시키지 않고 좋은 제품 만들어 주신 거 같습니다 여름에 입 기 너무 좋아요
굳굳 가성비 제퓸으로 너무 만족 합니다!! 다들 구매 하십쇼,5.0,가성비 제퓸으로 너무 만족 합니다 다들 구매 하십쇼
 이너티 안입어도 될만큼 재질이 너모나 부드럽고 흐물흐물 거려서 마음에 들어요! 다만 다른 셔츠에 비해서 어깨가 좁아보일 수 있어요! (원래도 좁지만) 두께는 얇고 시원해서 여름에 입기 좋습니다.   ,5.0,이너티 안 입어도 될 만큼 재질이 너모나 부드럽고 흐물 흐물 거려서 마음에 들어 요 다만 다른 셔츠에 비해서 어깨가 좁아 보일 수 있어요 원래도 좁지만 두께는 얇고 시원해서 여름에 입 기 좋습니다
사실 4점을 준 이유는 마감과 부자재인데 뭘 바랄 가격은 아니지만 아쉽긴 합니다 옷 자체는 이쁘네요,4.0,사실 점을 준 이유는 마감과 부자재인데 뭘 바랄 가격은 아니지만 아쉽긴 합니다 옷 자체는 이 쁘네요
패턴도 이쁜데 소매옆에 단추끼우는 포인트가 맛도리네요.. 지금뷰터 여름에까지 시원하게 잘 입어보겠숩니둥,5.0,패턴도 이쁜데 소매 옆에 단추 끼우는 포인트가 맛도 리네요 지금 뷰터 여름에까지 시원하게 잘 입어보겠숩니둥
남편은 팔 기장이 아쉽다고 하는데 저는 예뻐보이더라구용,5.0,남편은 팔 기장이 아쉽다고 하는데 저는 예뻐 보이더라 구용
롤업해서 입으니 완전 반함 ..!! 원래 사이즈를 크게 입는편이라 L 구매했어요 -! 얇고 가벼워서 더운여름에 딱일꺼같네요 강추 !! 너무 마음에 듭니당,5.0,롤업해서 입으니 완전 반함 원래 사이즈를 크게 입는 편이라 구매했어요 얇고 가벼워서 더운 여름에 딱 일꺼 같네요 강 추 너무 마음에 듭니당
핏더사이즈를 보고 구매를 했는데 여름에 편하게 입기 너무 좋을것 같습니다 추천해요,5.0,핏 더 사이즈를 보고 구매를 했는데 여름에 편하게 입 기 너무 좋을 것 같습니다 추천해요
총장이 길거라고 생각했는데 총장은 괜찮고 품이 좀 커서 어벙한 느낌이지만 3만원대에 체크반팔셔츠 입문용으론 괜찮은 것 같아요,4.0,총장이 길 거라고 생각했는데 총장은 괜찮고 품이 좀 커서 어벙한 느낌이지만 만 원대에 체크반 팔 셔츠 입문용으론 괜찮은 것 같아요
가성비로 즐기기 좋은거 같아요 마감이 너무 아쉽네요 부자재도 그렇고 얋아서 여름에도 가능할거 같습니다,3.0,가성비로 즐 좋은 거 같아 요 마감이 너무 아쉽네요 부자재도 그렇고 얋아서 여름에도 가능할 거 같습니다
상품이 생각한거보다 짧아서 당황했지만 제품은 쉬원하고 좋았어요 하지만 바람불면 배꼽이 보일거같은… 사이즈는 오버하게 가는게 좋아보여요,5.0,상품이 생각한 거보다 짧아서 당황했지만 제품은 쉬원하고 좋았어요 하지만 바람 불면 배꼽이 보일 거 같은 사이즈는 오버하게 가는 게 좋아 보여요
가성비 좋은 셔츠 지나가다 동일 옷 여럿 볼 수 있는 단점 제외 큰 단점 없음,5.0,가성비 좋은 셔츠 지나가다 동일 옷 여럿 볼 수 있는 단점 제외 큰 단점 없음
부담스럽지 않은 체크무늬에 가성비로 입기 좋아요,5.0,부담스럽지 않은 체크무늬에 가성비로 입 기 좋아요
단추를 제외한 재질 핏감 모든 부분에 만족합니다! 가격이 워낙 싸서 단추는 어쩔 수 없는 부분인거고 이번 여름 잘 활용 할 거 같아요.,5.0,단추를 제외한 재질 핏감 모든 부분에 만족합니다 가격이 워낙 싸서 단추는 어쩔 수 없는 부분인 거고 이번 여름 잘 활용 할 거 같아요
편하게 입기 좋은 체크셔츠입니다. 여름내내 입고 싶어지네요. 배송만 아쉬웠습니다.,5.0,편하게 입 기 좋은 체크 셔츠입니다 여름 입고 싶어지네요 배송만 아쉬웠습니다
가성비 체크 셔츠로 매우 좋습니다. 솔직히 가성비라는 말이 아쉬울 정도로 타 브랜드와 비교했을 때 품질이 떨어지지도 않고 오히려 더 예쁘다고 생각됩니다. 이런 가격에 이런 퀄리티면 2장 쟁여도 무방!  옷 마감은 전체적으로 준수한 편이었고 오자마자 몇 번 털면 실밥도 다 떨어집니다. 블프 때 구매해서 택이 같이 안온 것은 아쉽지만 상품에 만족해서 괜춘! 여름마다 꺼내서 입을 것 같네요😆😆,5.0,가성비 체크 셔츠로 매우 좋습니다 솔직히 가성비라는 말이 아쉬울 정도로 타 브랜드와 비교했을 때 품질이 떨어도 않고 오히려 더 예쁘다고 생각됩니다 이런 가격에 이런 퀄리티면 장 쟁여도 무방 옷 마감은 전체적으로 준수한 편이었고 오자마자 몇 번 털면 실밥도 다 떨어집니다 블프 때 구매해서 택이 같이 안 온 것은 아쉽지만 상품에 만족해서 괜춘 여름마다 꺼내서  입을 것 같네요
한여름에고 입기 좋은 얇고 시원한 재질입니다. 소매를 접어올릴 때 고정할 수 있는 단추 부분이 조금 낮은 곳에 있었르면 더 좋았을 거 같아요,5.0,한여름에 고 입기 좋은 얇고 시원한 재질입니다 소매를 접어 올릴 때 고정할 수 있는 단추 부분이 조금 낮은 곳에 있었르면 더 좋았을 거 같아요
- 디자인: 빈티지한 체크셔츠를 찾고 있던 중 파르티멘토 체크셔츠를 보고 정말 마음에 들었습니다. 일단 여름에 입기에 충분한 얇은재질에 부드럽고 원단에서 오는 빈티지한 느낌 + 체크가 정말 이쁘게 나와서 올해 여름과 너무 잘 어울립니다. 팔 소매부분에 고정할 수 있는 단추가 있어서 편안하게 소매를 접어서 올릴 수 있어서 편안합니다.  - 품질: 마감이 정말 깔끔하게 잘 되어 있고 재질이 부드러워서 부담없이 입기에 좋습니다.  - 사이즈: 너무 오버핏한 셔츠는 부담스럽고 별로 이뻐보이지 않아서 최근 셔츠를 살 때 신중하게 고르는 편인데 이건 정말 제가 찾던 오버핏이네요. 어느정도 어깨부분에 감기는 느낌으로 핏을 챙겨가면서 허리부분은 적당히 공간이 생기면서 만들어지는 오버핏이라서 정말 자주 입고 바다와 너무 잘 어울리네요.  - 결론: 가격대비 너무 이쁜 셔츠라서 이건 완전 추천드립니다.,5.0,디자인 빈티지한 체크 셔츠를 찾고 있던 중 파르 티멘토 체크 셔츠를 보고 정말 마음에 들었습니다 일단 여름에 입기에 충분한 얇은 재질에 부드럽고 원단에서 오는 빈티지한 느낌 체크가 정말 이쁘게 나와서 올해 여름과 너무 잘 어울립니 다 팔 소매 부분에 고정할 수 있는 단 추가 있어서 편안하게 소매를 접어서 올릴 수 있어서 편안합니다 품질 마감이 정말 깔끔하게 잘 되 어 있고 재질이 부드러워서 부담 없이 입기에 좋습니다 사이즈 너무 오버핏 한 셔츠는 부담스럽고 별로 이 뻐 보이지 않아서 최근 셔츠를 살 때 신 중하게 고르는 편인데 이건 정말 제가 찾던 오버핏이네요 어느 정도 어깨 부분에 감기는 느낌으로 핏을 챙겨가면서 허리 부분은 적당히 공간이 생기면서 만들어지는 오버핏이라서 정말 자주 입고 바다와 너무 잘 어울리네요 결론 가격대 비 너무 이쁜 셔츠라서 이건 완전 추천 드립니다
소재가 얇고 흐물흐물 거려서(?) 빈티지함을 더욱 연출해 줍니다! 177cm 65kg에 M사이즈 피팅해보니 과한 오버핏이 아닌 적당한 오버핏에 적당히 떨어지는 기장감이 나옵니다 소매도 롤업 할 수 있는 단추가 있어서 여러 실루엣 연출할 수 있을 것 같습니다,5.0,소재가 얇고 흐물 흐물 거려서 빈티지함을 더욱 연출해 줍니다 에 사이즈 피팅해 보니 과 한 오버핏이 아닌 적당한 오버핏에 적당히 떨어지는 기장감이 나옵니다 소매도 롤업 할 수 있는 단추가 있어서 여러 실루엣 연출할 수 있을 것 같습니다
소매부분에 접을 수 있는 포인트도 있고 얇아서 여름에 입기 너무 좋아요!! ,5.0,소매 부분에 접을 수 있는 포인트도 있고 얇아서 여름에 입 기 너무 좋아요
아주시원합니다 자연스런 주름이 멋스럽고 오버핏으로 입다가 갑자기 더워진 어제는 소매를 홀업해서 더욱 시원하게 입었어요 요즘 유행하는 버뮤다팬츠에 매치하니 힙한 느낌 입니다!,5.0,아주 시원합니다 자연스런 주름이 멋스럽고 오버핏으로 입 다가 갑자기 더워진 어제는 소매를 홀업해서 더욱 시원하게 입었어요 요즘 유행하는 버뮤다 팬츠에 매치하니 힙한 느낌 입니다
여름에 입기 진짜 좋을 것 같아요 하늘하늘하고 소재도 시원하네요 근데 다만 실밥들이 너무 많이 나와요,5.0,여름에 입 기 진짜 좋을 것 같아 요 하늘하늘하고 소재도 시원하네요 근데 다만 실밥들이 너무 많이 나와요
하늘하늘하고 시원한 원단이라서 너무 편하고 툭걸치고 나갈 때 이 제품만 입는것 같아요 강력 추천합니다.,5.0,하늘하늘하고 시원한 원단이라서 너무 편하고 툭걸치고 나갈 때 이 제품만 입는 것 같아 요 강력 추천합니다
진짜 아무데나 걸쳐입어도 이쁘고 좋을거같아요,5.0,진짜 아무 데나 걸쳐 입어도 이 쁘고 좋을 거 같아요
여름 아이템으로 구매 했는데 이쁜거 같습니다! 데일리로 입기에도 너무 이쁘고 만족스럽네요! 시원 굿굿,5.0,여름 아이템으로 구매 했는데 이쁜 거 같습니다 데일리로 입기에도 너무 이 쁘고 만족스럽네요 시원
파르티멘토 재질 디자인 이런 취지는 좋은데 그냥 조금 더 비싸게 팔고 재질이나 디테일 더 챙기면 좋겠엉,5.0,파르티 멘토 재질 디자인 이런 취지는 좋은데 그냥 조금 더 비싸게 팔고 재질이나 디테일 더 챙기면 좋겠엉
"천이 흐르는 천이라서, 어깨선이 각져있지 않고 흘러내리는 스타일이에요! 여름에 약간 더울것같은 소재고 색은 어두운편이에요! 옷은 엄청 이쁨~~~!!",5.0,천이 흐르는 천이라서 어깨선이 각져 있지 않고 흘러내리는 스타일이에 요 여름에 약간 더울 것 같은 소재 고 색은 어두운 편이에 요 옷은 엄청 이쁨
반팔 셔츠 찾다가 팔 포인트 보고 바로 샀는데 휘뚜루도 좋고 스타일링도 쉬워요 가격도 싸고 배송도 빠름,5.0,반팔 셔츠 찾다가 팔 포인트 보고 바로 샀는데 휘뚜루도 좋고 스타일링도 쉬워요 가격도 싸고 배송도 빠름
