Star,Review,Processed_Review
5.0,아디다스 트랙탑 다시 유행이여서 매장 사려했더니 가격이 너무 비싸서 무신사로 시켰는데 매장에서 사는거보다 4만원이나 아껴서 좋았습니당 사고싶었던 옷인 만큼 학원 갈때나 놀러갈때 자주 입어요 아직 아침에 입으면 조금 얇아서 춥고 학교나 학원에서 입고 다니면 아주 딱 알맞아용 제가 평소에도 L사이즈 입어서 L사이즈 샀는데 작을줄 알았는데 생각보다 컸어용 안에 맨투맨 입고 위에 트랙탑 입으면 아주 딱 !! 알맞습니당 저랑 키 비슷하고 몸무게 비슷하신 분들은 L 사이즈가 제격입니다 ..!! 아디다스 트랠탑 꼭 사세요 안 사면 후회해요 ㅠㅠ,아디다스 트랙탑 다시 유행이여서 매장 사려 했더니 가격이 너무 비싸서 무신사로 시켰는데 매장에서 사는 거보다 만 원이나 아껴서 좋았습니 당 사고 싶었던 옷인 만큼 학원 갈 때나 놀러 갈 때 자주 입어요 아직 아침에 입으면 조금 얇아서 춥고 학교나 학원에서 입고 다니면 아주 딱 알맞아 용 제가 평소에도 사이즈 입어서 사이즈 샀는데 작을 줄 알았는데 생각보다 컸어용 안에 맨 투맨 입고 위에 트랙탑 입으면 아주 딱 알맞습니 당 저랑 키 비슷하고 몸무게 비슷하신 분들은 사이즈가 제격입니다 아디다스 트랠탑 꼭 사세요 안 사면 후회해요
5.0,리뷰 보니깐 많이 크다고 해서 걱정했었는데 넉넉하게 잘 맞아요! 안에 얇은 기모도 있어서 따뜻하구 좋아요👍🏻,리뷰 보니깐 많이 크다고 해서 걱정했었는데 하게 잘 맞아요 안에 얇은 기 모도 있어서 따뜻하 구 좋아요
5.0,사이즈 젤 작은건데 기장이 길어서 더 큰 사이즈하면 안될거같아요 첨엔 애매하게 길까봐 걱정했는데 밑에 시보리 땜에 저절로 올라가서 괜찮아요 예쁩니다,사이즈 젤 작은 건데 기장이 길어서 더 큰 사이즈하면 안 될 거 같아 요 첨엔 애매하게 길까봐 걱정했는데 밑에 시보리 땜에 저절로 올라가서 괜찮아요 예쁩니다
5.0,갑자기 파이어버드 꽂혀서 샀는데 길이랑 품 다 괜찮아요!! 아래 쪼리가 너무 짱짱해서 잠그면 핏이 좀 이상한데 늘어나겠죠 머 ,갑자기 파이어 버드 꽂혀서 샀는데 길이랑 품 다 괜찮아요 아래 쪼리가 너무 해서 잠그면 핏이 좀 이상한 데 늘어나겠죠 머
5.0,안의 살짝 기모같은 내용이 있어서 따뜻하고 재질은 뭠가 보풀이 잘 일어날 것 같은 재질이에요,안의 살짝 기 모 같은 내용이 있어서 따뜻하고 재질은 뭠가 보풀이 잘 일어날 것 같은 재질이에요
5.0,Xl가 정사이즈였던거같습니다 좀 오버핏이네요. 제 생각엔 져지는 레귤러핏으로 입어야 이쁩니다. 여긴 다들 오버핏 매니아들만 있나봅니다. 저와 비슷한 신체사이즈이신분 xl 가세요. 너무낙낙해요 상체근육형인데도요.,가 정사이즈였던 거 같습니다 좀 오버핏이네요 제 생각엔 져지는 레귤러 핏으로 입어야 이쁩니다 여긴 다들 오버핏 매니아들만 있나 봅니다 저와 비슷한 신체 사이즈이신 분 가세요 너무 해요 상체 근육형인데도요
4.0,얇게 기모같은게 있는듯 하지만 얆고 겨울빼고는 어찌저찌 입을수 있을거 같은디 밑단이 너무 짱짱해서 지퍼 잠그면 핏이 이상해서 풀어서 입어야되는게 단점이고 팔부분이 김,얇게 기 모 같은 게 있는 듯 하지만 얆 고 겨울 빼고는 어찌 저찌 입을 수 있을 거 같은 디 밑단이 너무 해서 지 퍼 잠그면 핏이 이 상해서 풀어서 입어야 되는 게 단점이고 팔 부분이 김
4.0,파이어버드 갖고 싶어서 택배만 기다렸는데 포장이 꼼꼼하지 않았는지 비에 박스랑 옷도 다 젖었네영 건조기 돌리는 중입니덩 좀 아숩네여,파이어버드 갖고 싶어서 택배만 기다렸는데 포장이 하지 않았는지 비에 박스랑 옷도 다 젖었네 영 건조기 돌리는 중입니 덩 좀 아숩 네여
5.0,무난합니다 핏 예뻐영 지퍼 잠구면 크롭한 기장이라서 좋아요,무난합니다 핏 예뻐 영 지퍼 잠구면 크롭 한 기장이라서 좋아요
5.0,배송이 일단 개빠릅니다 ㄷㄷ 안에 후드 레이어드하려고 폼 넉넉히 샀는데 그냥 입어도 사이즈 적당합니다 ,배송이 일단 개 빠릅니다 안에 후드 레이어드하려고 폼 히 샀는데 그냥 입어도 사이즈 적당합니다
5.0,편하고 가벼움 조금 비싼가 싶다가도 입어보면 맛도리임,편하고 가 벼움 조금 비싼 가 싶다가도 입어보면 맛도 리임
5.0,너무 너무 좋아요 제가 딱 생각한 느낌에 생각한 핏입니다 겨울에도 이너로 입기 좋아용,너무 너무 좋아요 제가 딱 생각한 느낌에 생각한 핏입니다 겨울에도 이너로 입 기 좋아용
5.0,역쉬 아디다스 져지 넘 예쁩니다ㅏ 져지 유행이 살~짝 저물긴 했는데 그래도 너무 갖고 싶어서 샀어요 일단 사이즈는 길이는 되게 긴데 지퍼 올리면 바로 크롭해져서 상관 x / 그대신 사진 보면 배가 좀 튀어나와서 배불뚝이 같아짐 그래도 예뻐서 ㄱㅊ 봐줄만 하게 튀어나옴 완전 저의 휘뚜루마뚜루템입니댜 ~~ 존예 무조건 사십쇼,역쉬 아디다스 져 지 넘 예쁩니다 져 지 유행이 살짝 저물 긴 했는데 그래도 너무 갖고 싶어서 샀어요 일단 사이즈는 길이는 되게 긴데 지퍼 올리면 바로 크롭 해져서 상관 그 대신 사진 보면 배가 좀 튀어나와서 배불뚝이 같아 짐 그래도 예뻐서 봐줄 만 하게 튀어나 옴 완전 저의 휘뚜루 마 뚜루템입니댜 존 예 무조건 사십쇼
5.0,배송이 좀 느렸지만 상품은 맘에듭니다  165.5/ 61 선물용이였는데 작을까봐 걱정했는데 길이도 품도 딱이였어요 받는사람도 맘에 들어해서 기분좋았어요,배송이 좀 느렸지만 상품은 맘에 듭니다 선물용이였는데 작을까봐 걱정했는데 길이도 품도 딱이였어요 받는 사람도 맘에 들어 해서 기 분 좋았어요
5.0,배송 진짜 빨라요 주문하고 다음날 바로 도착 했습니다. 그리고 일부러 큰 사이즈로 샀는데 오버핏이라서 좋고 마감 꼼꼼하고 튼튼합니다 지금 딱 입기 좋아요,배송 진짜 빨라요 주문하고 다음날 바로 도착 했습니다 그리고 일부러 큰 사이즈로 샀는데 오버핏이라서 좋고 마감 하고 합니다 지금 딱 입기 좋아요
5.0,자다 일어났는데 하루만에 배송 와있어요 이뻐요,자다 일어났는데 하루 만에 배송 와 있어요 이 뻐요
5.0,사이즈가 크게 나와서 S로도 충분히 원하는 핏이에요 ,사이즈가 크게 나와서 로도 충분히 원하는 핏이에 요
5.0,아디다스 져지 드디어 샀는데 좀 커용 얇긴한데 안에 기모? 같은 거 들어있어서 괜찮을 거 같아요,아디다스 져 지 드디어 샀는데 좀 커용 얇긴 한데 안에 기 모 같은 거 들어 있어서 괜찮을 거 같아요
5.0,정핏보다는 오버핏으로 입고싶은데 아빠옷 입은 느낌은 내기 싫어서 사이즈 고민하다가 M 구매했는데 원하던 핏이라 마음에 들어요! 소매 길어서 접어야하고 밑단 시보리가 완전 짱짱합니다 170 초반에 50키로 중반까지는 M 사이즈 입으셔도 적당한 오버핏으로 입으실 수 있을 것 같아요! 저는 개인적으로 생각보다 옷이 더 얇았어요! 참고하세용,정핏보다는 오버핏으로 입고 싶은데 아빠 옷 입은 느낌은 내기 싫어서 사이즈 고민하다가 구매했는데 원하던 핏이라 마음에 들어 요 소매 길어서 접어야 하고 밑단 시보리가 완전 합니다 초반에 키로 중반까지는 사이즈 입으셔도 적당한 오버핏으로 입으실 수 있을 것 같아 요 저는 개인적으로 생각보다 옷이 더 얇았어요 참고하세용
5.0,딱 생각한 디자인이여서 예쁘고 여러 바지랑 잘 어울려서 좋습니다!!,딱 생각한 디자인이여서 예쁘고 여러 바지랑 잘 어울려서 좋습니다
5.0,깔끔하고 좋아요 그냥 기본 트레이닝 하나 사고 싶으면 추천해요,깔끔하고 좋아요 그냥 기 본 트레이닝 하나 사고 싶으면 추천해요
5.0,우선 배송이 진짜 개빨랐고 남자 183/76정도인데 오버핏으루 괜찮데용 져지 다시 유행이라 샀어용  ,우선 배송이 진짜 개빨랐고 남자 정도인데 오버핏 으루 괜찮데 용 져 지 다시 유행이라 샀어용
5.0,"적당한 두께감이라 봄,가을에 입거나 이너를 든든하게 입으면 겨울까지도 가능할듯해요 주머니 자크가 있어서 저처럼 주머니에 물건 많이 넣어다니는 사람은 흘릴일도 없다는!! 믿고 입는 아디다스,,",적당한 두께감이라 봄 가을에 입거나 이 너를 하게 입으면 겨울까지도 가능할 듯해요 주머니 자크가 있어서 저처럼 주머니에 물건 많이 넣어 다니는 사람은 흘릴 일도 없다는 믿고 입는 아디다스
5.0,M으로 시켰다가 S로 바꿨더니 훨씬 더 좋은 핏이 나온 것 같아요 170/52랑 비슷하신 분들은 S 추천드립니다!,으로 시켰다가 로 바꿨더니 훨씬 더 좋은 핏이 나온 것 같아 요 랑 비슷하신 분들은 추천 드립니다
5.0,"L 사이즈 기준 엉덩이 애매하게 덮어서 지퍼 잠그고 활동하면 어느순간 밑단 밴딩이 골반 위로 올라와요. 총장이 조금만 더 길었으면 좋았을텐데ㅠㅠ 지퍼 잠글거면 아예 밑단 안으로 접어서 입어야 될 것 같아요..! 제 팔이 짧아서 저한텐 팔 소매는 긴데, 팔 긴 분들은 XL 하시면 딱 오버핏으로 멋있게 입으실 것 같아요! 제 팔이 조금만 길었더라면 XL로 교환했을 것 같아요.",사이즈 기준 엉덩이 애매하게 덮어서 지 퍼 잠그고 활동하면 어느 순간 밑단 밴딩이 골반 위로 올라와 요 총장이 조금만 더 길었으면 좋았을 텐데 지퍼 잠글거면 아예 밑단 안으로 접어서 입어야 될 것 같아 요 제 팔이 짧아서 저한텐 팔 소매는 긴데 팔 긴 분들은 하시면 딱 오버핏으로 멋있게 입으실 것 같아 요 제 팔이 조금만 길었더라면 로 교환했을 것 같아요
5.0,"엄청 오버하게 입고 싶어서 투엑라를 샀으나, 체감은 엑스라지 정도 됩니다. 많은 리뷰에서 말하시듯이 잠궜을 때 아래 시보리가 쫀쫀해서 불편함이 있으나, 오히려 말아 넣어서 크롭하게 연출이 가능항 것 같아 좋네요. 매우 만족스럽습니다.",엄청 오버하게 입고 싶어서 투엑라를 샀으나 체감은 엑스라지 정도 됩니다 많은 리뷰에서 말하시듯이 잠궜을 때 아래 시보리가 해서 불편함이 있으나 오히려 말아 넣어서 크롭하게 연출이 가능 항 것 같아 좋네요 매우 만족스럽습니다
5.0,넥 부분이 길고 밑시보리가 짱짱해요. 끝까지 잠궈서 입으면 간쥐남 🥵🥷🏿🔪,넥 부분이 길고 밑 시보리가 해요 끝까지 잠궈서 입으면 간 쥐남
5.0,핏이 정말 예쁜거 같아요 사이즈도 딱 맞고 바지 모두 다 잘 어울려요,핏이 정말 예쁜 거 같아 요 사이즈도 딱 맞고 바지 모두 다 잘 어울려요
5.0,근본 아디다스 🔥파이어버드🔥 트랙탑! 역시 너무 편하고 짱짱해요 봄 가을 초겨울까지는 입을수 있을 정도의 두께감이었어요 배송도 너무 빠르고 포장도 꼼꼼하게 보내주셨어요 그리고 전 크게입는걸 좋아해서 XL 사이즈 주문했어요 기장도 너무 길지않아서 최고에요! 저랑 같은 신체스펙이거나 크게 입는걸 좋아하시는분은 XL도 좋을것 같네요 감사합니다 잘입을게요!,근본 아디다스 파이어 버드 트랙탑 역시 너무 편하고 해요 봄 가을 초겨울까지는 입을 수 있을 정도의 두께감이었어요 배송도 너무 빠르고 포장도 하게 보내주셨어요 그리고 전 크게 입는 걸 좋아해서 사이즈 주문했어요 기장도 너무 길지 않아서 최고에 요 저랑 같은 신체 스펙이거나 크게 입는 걸 좋아하시는 분은 도 좋을 것 같네요 감사합니다 잘 입을 게요
4.0,아디다스 저지답게 핏은 이쁘구요 지퍼 잠그면 허리가 쫀쫀해요 전 개인적으로 기장이 길어서 총장 줄였어요 ㅎㅎ,아디다스 저지답게 핏은 이쁘구요 지 퍼 잠그면 허리가 해요 전 개인적으로 기장이 길어서 총장 줄였어요
5.0,사이즈 딱좋고 역시 파이어버드입니다 색감도 굿,사이즈 딱 좋고 역시 파이어 버드입니다 색감도 굿
5.0,재질도 좋고 색깔도 선명하니 좋아욥‘! 무난하게 입을수 있읓것 같아욥 사이즈 크게 시키세욥! 추천!입니다,재질도 좋고 색깔도 선명하니 좋아 욥 무난하게 입을 수 있읓 것 같아 욥 사이즈 크게 시키 세욥 추천입니다
5.0,배송 시킨지 하루만에 왔어요. 포장도 꼼꼼하고 칼배송이라 놀랐습니다ㅠㅠ 첫 아디다스 져지인대 뭐를 살지 고민하다가 이게 제일 기본템인거같아서 구매했어요! 주머니에 자크가 있어서 너무 좋고 165기준 엉덩이 덮는 기장입니다. 참고하세욧! 두께는 딱 가을에 입으면 좋을꺼같고 이너 든든하게 입으면 겨울도 가능할...?느낌입니다,배송 시킨지 하루 만에 왔어요 포장도 하고 칼 배송이라 놀랐습니다 첫 아디다스 져 지인 대 뭐를 살지 고민하다가 이게 제일 기본템인 거 같아서 구매했어요 주머니에 자크가 있어서 너무 좋고 기준 엉덩이 덮는 기장입니다 참고하 세욧 두께는 딱 가을에 입으면 좋을 꺼 같고 이너 하게 입으면 겨울도 가능할 느낌입니다
5.0,"진짜진짜 만족합니당 밑단 시보리가 짱짱하긴 한데 전체적으로 옷은 큰 편이라, 여성분들은 이 사이즈로 사도 충분할 것 같아요",진짜 진짜 만족합니당 밑단 시보리가 하긴 한데 전체적으로 옷은 큰 편이라 여성분들은 이 사이즈로 사도 충분할 것 같아요
4.0,생각보단 사이즈가 크게 나왔어요 처음에 L 샀다가 M으로 교환했더니 딱 맞네요 예뻐요 그리고 얇은거 치고 은근 따뜻해요,생각보단 사이즈가 크게 나왔어요 처음에 샀다가 으로 교환했더니 딱 맞네요 예뻐요 그리고 얇은 거 치고 은 근 따뜻해요
5.0,너무너무너무 예뻐요 진짜 완전 만족 쿠폰 써서 더 싸게 사서 너무 좋아요!! 왜 다시 유행 하는지 알 것 같아요,너무 너 무너무 예뻐요 진짜 완전 만족 쿠폰 써서 더 싸게 사서 너무 좋아요 왜 다시 유행 하는지 알 것 같아요
5.0,예쁩니다 클래식이즈베스트란 말이 딱이에요  사계절 내내 잘 입을수 있습니당,예쁩니다 클래식 이즈베스트란 말이 딱이에요 사 계절 잘 입을 수 있습니당
5.0,사이즈도 딱 좋고 핏도 넘 예뻐서 진짜 교복처럼 입고 다녀요,사이즈도 딱 좋고 핏도 넘 예뻐서 진짜 교복처럼 입고 다녀요
5.0,제가 덩치가 있어서 마른 체형에 남자분들은 더 이쁠꺼같습니다 물론 제가 입었을때도 너무 이쁜 져지입니다,제가 덩치가 있어서 마른 체형에 남자분들은 더 이 쁠꺼 같습니다 물론 제가 입었을 때도 너무 이쁜 져 지입니다
5.0,믿고 사는 근본 아디다스 저지 입니다. 중학교 때가 생각나네요..,믿고 사는 근본 아디다스 저지 입니다 중학교 때가 생각나네요
5.0,너무 이쁘고 편해요  겨울에는 이너로 입어서 포인트 주면 되고 봄에는 아우터로 입기 적당한 두께감입니다,너무 이 쁘고 편해 요 겨울에는 이너로 입어서 포인트 주면 되고 봄에는 아우터로 입 기 적당한 두께 감입니다
5.0,"그냥 기본템에 말해뭐해 입니다 사이즈 딱이고 그냥 완전 편하고 이쁘고 근본의 옷이라고 생각되는템,,",그냥 기 본템에 말해 뭐 해 입니다 사이즈 딱이고 그냥 완전 편하고 이 쁘고 근본의 옷이라고 생각되는 템
5.0,아~~~너무쭈아 시보리진짜단단하네여 총기장이길어서오버핏이란느낌은못받앗구 서양인기준이라팔이길고 품이넉낙하단점에서 오버핏인것같네요,아너무 쭈아 시보리 진짜 하네 여 총기장이 길어서 오버핏이란 느낌은 못 받앗 구 서양 인 기준이라 팔이 길고 품이 넉 낙하 단점에서 오버핏인 것 같네요
5.0,좀 더 핏하게 입으려면 s사도 됐을듯? 휘뚤마뚤 입기 좋아용,좀 더 핏하게 입으려면 사도 됐을 듯 휘뚤마뚤 입기 좋아용
5.0,옷이너무 깔끔하고 소재도 좋네요 튼튼합니다 옷 자체가,옷이 너무 깔끔하고 소재도 좋네요 합니다 옷 자체가
5.0,시보리 짱짱 하다는 거 보고 어차피 잠궈 입을 거라서 라지로 샀어요 딱 원했던 오버핏이라 아주아주 잘 입고 있습니당,시보리 하다는 거 보고 어차피 잠궈 입을 거라서 라지로 샀어요 딱 원했던 오버핏이라 아주 아주 잘 입고 있습니당
5.0,동네 마실용으로 샀는데 다른때에도 여러모로 사용가능해서 활용도 만점이고 와이드 팬츠랑도 잘어올려서  옷입기 쉽네영~~ 말해모합니까 아디다스트랙탑인데 언능 쟁여들가세요,동네 마실용으로 샀는데 다른 때에도 여러모로 사용 가능해서 활용도 만점이고 와이드 팬츠랑도 잘 어 올려서 옷 입기 쉽네 영 말해 모합니까 아디다스트랙 탑인데 언능 쟁여들 가세요
5.0,트랜드에 맞고 너무 예뻐요! 가성비 좋게 입기 좋네요!,트랜드에 맞고 너무 예뻐요 가성비 좋게 입기 좋네요
5.0,재질 부드럽고 살짝 오버핏으로 낭낭하게 가니깐 막 입어도 스포티한 느낌으로다가 편하게 휘뚜루마뚜루 입기 아주 굿입니다,재질 부드럽고 살짝 오버핏으로 하게 가니깐 막 입어도 스포티한 느낌으로 다가 편하게 휘뚜루마 뚜루 입 기 아주 굿입니다
5.0,크게 입고 싶어서 L로 바꾸려다가 못바꿨는데 입어보니 M도 충분하네요 핏 예뻐요!!,크게 입고 싶어서 로 바꾸려다가 못 바꿨는데 입어보니 도 충분하네요 핏 예뻐요
5.0,중1아들이 사달라고 해서 사줬는데 좋아합니다,중아들이 사달라고 해서 사줬는데 좋아합니다
5.0,사이즈는 살짝 오버핏느낌이 나고 역시 기본 클래식한 아이템이라 졸작 이너로 잘 활용했습니다,사이즈는 살짝 오버핏 느낌이 나 고 역시 기본 클래식한 아이템이라 졸작 이너로 잘 활용했습니다
5.0,xl 핏 좋네요 적당한 오버핏 느낌입니다! 추천해요,핏 좋네요 적당한 오버핏 느낌입니다 추천해요
5.0,가볍게 입기 편하고 예뻐요 ◡̈ ♥  유행 지나도 꾸안꾸로 입기 좋을꺼 같습니다아  봄 가을에 입기 편한 아우터 top1 ♥  오버핏으로 구매해서 더 편하고 예쁜거 같아여어,가볍게 입 기 편하고 예뻐요 유행 지나도 꾸안꾸로 입기 좋을 꺼 같습니다아 봄 가을에 입 기 편한 아우터 오버핏으로 구매해서 더 편하고 예쁜 거 같아 여어
5.0,존예입니다 모델 핏처럼 입는게 이쁜거 같아요 정사이즈 추천,존 예입니다 모델 핏처럼 입는 게 이쁜 거 같아 요 정 사이즈 추천
5.0,항상 하나쯤 사고싶었던 생각이 있었는데 이번에 생일쿠폰 적용해서 저렴하게 구매했습니다. 오프라인 매장에서 입어보고 핏이나 디자인이 너무 맘에 들어서 바로 구매했습니다 역시 저지는 아디다스!,항상 하나쯤 사고 싶었던 생각이 있었는데 이번에 생일 쿠폰 적용해서 저렴하게 구매했습니다 오프라인 매장에서 입어보고 핏이나 디자인이 너무 맘에 들어서 바로 구매했습니다 역시 저지는 아디다스
5.0,요즘 다시 아디다스 저지 예뻐보이네요! 할인하는 거로 살까 하다가 걍 사고싶었던 파이어버드로 구매했어요!! ,요즘 다시 아디다스 저지 예뻐 보이네요 할인하는 거로 살까 하다가 걍 사고 싶었던 파이어 버드로 구매했어요
5.0,다시 유행이 돌아오는거같더라구요! 오랜만에 입어보니 또 새롭네요!,다시 유행이 돌아오는 거 같더라구 요 오랜만에 입어보니 또 새롭네요
5.0,진짜 마음에 듭니다. 꾸안꾸 느낌 뭔지 아시죠들? 걍 와이드청바지 매치하면? 바로 패션인터뷰~,진짜 마음에 듭니다 꾸안 꾸 느낌 뭔지 아시죠들 걍 와이드 청바지 매치하면 바로 패션 인터뷰
5.0,전부터 갖고 싶었던 아디다스 트랙탑이라 더 만족하고 입은 것 같아용 사이즈도 좋고 막 입기에도 편해용,전부터 갖고 싶었던 아디다스 트랙탑이라 더 만족하고 입은 것 같아 용 사이즈도 좋고 막 입기에도 편해용
5.0,아디다스 저지 말해뭐합니까 그냥 트랙탑 정석입니다,아디다스 저지 말해 뭐 합니까 그냥 트랙탑 정석입니다
5.0,배송도 상당히 빠르고 총 기장도 생각보다 짧아서 상당헤 만족하게 입었습니가.,배송도 상당히 빠르고 총 기장도 생각보다 짧아서 상당 헤 만족하게 입었습니가
5.0,상체 근육형이라 2xl 시켰는데 생각보다 한치수 아쉽긴하네요 그래도 핏하게 입기좋습니다,상체 근육형이라 시켰는데 생각보다 한 치수 아쉽긴 하네요 그래도 핏하게 입기 좋습니다
4.0,무난따리 무난따 괜춘따리 괜춘따 좋은 가격에 잘 구매 하였습니다.,무난따리 무난따 괜춘따리 괜춘 따 좋은 가격에 잘 구매 하였습니다
5.0,사이즈 딱 좋아요! 길이감이 생각보다 긴 느낌이 안들어서 좋아요 재 스펙엔 XL강추!,사이즈 딱 좋아요 길이감이 생각보다 긴 느낌이 안 들어서 좋아요 재 스펙엔 강추
5.0,너무 예뻐요 날렵해보이고 샤프해보이는 느낌이에요 봄이 오면 맨날 입고 다닐고에요,너무 예뻐요 날렵해 보이고 샤프해 보이는 느낌이에요 봄이 오면 맨날 입고 다닐 고에요
5.0,갑자기 파이어버드에 꽂혀서 사고싶어서 찾아봤는데 합리적 가격으로 살 수 있어서 좋았습니다 :) 두께는 그렇게 두껍지 않아서 요즘 날씨에 안에 반팔 입고 입었는데 조곰 추웠어요..! 체육관이라 그럴 수도 있는데 다른 데선 괜찮을수도..!? 핏은 약간 어벙한데 만족한 핏이었습니다 :) 참고로 파이어버드 우먼으로 샀다가 아쉽게 포기하고 맨으로 다시 재구매 했으요.. 😌 배송은 칼배송..🔫,갑자기 파이어 버드에 꽂혀서 사고 싶어서 찾아봤는데 합리적 가격으로 살 수 있어서 좋았습니다 두께는 그렇게 두껍지 않아서 요즘 날씨에 안에 반 팔 입고 입었는데 조곰 추웠어요 체육관이라 그럴 수도 있는데 다른 데 선 괜찮을 수도 핏은 약간 어벙한 데 만족한 핏이었습니다 참고로 파이어 버드 우먼으로 샀다가 아쉽게 포기하고 맨으로 다시 재구매 했으요 배송은 칼 배송
