Star,Review,Processed_Review
5.0,회색에 빠져서 편하게 입을 회색 후드집업을 찾고있었는데 만족했다는 후기가 많아서 구매하게 되었어요! 진짜 구매 잘했다는 생각들구요! 요즘 거의 유니폼마냥 자주 입고 있어요! 짜임도 좋고 탄탄해서 늘어남도 적구요 다른분들 후기처럼 기장은 쫌 짧은 편이에요!,회색에 빠져서 편하게 입을 회색 후드집업을 찾고 있었는데 만족했다는 후기가 많아서 구매하게 되었어요 진짜 구매 잘했다는 생각들 구요 요즘 거의 유니폼 마냥 자주 입고 있어요 짜임도 좋고 해서 늘어남도 적구요 다른 분들 후기처럼 기장은 쫌 짧은 편이에요
5.0,야쓰 진짜 고민하다 샀는데 너무 이뻐요 최고 맨날입음 빨리사세요 다들,야쓰 진짜 고민하다 샀는데 너무 이 뻐요 최고 맨날 입음 빨리 사세요 다들
3.0,옷은 너무 마음에 드는데요.. 옷이 담겨있는 봉투안에 벌레가 들어왔어요. 겉에 택배봉투도 한겹 싸여있는데다가 벌레 파편들이 옷 안팎으로 여기저기 붙어있는거 보니 배송중에 들어간건 절대 아닌걸로 보이네요. 너무 기분 더러웠는데 옷은 괜찮고 교환하자니 또 한참걸릴것 같아서 그냥 세탁해서 입으렵니다. 다들 세탁하고 입으세요.,옷은 너무 마음에 드는데요 옷이 담겨 있는 봉투 안에 벌레가 들어왔어요 겉에 택배 봉투도 한 겹 싸여 있는데다가 벌레 파편들이 옷 안팎으로 여기저기 붙어 있는 거 보니 배송 중에 들어간 건 절대 아닌 걸로 보이네요 너무 기분 더러웠는데 옷은 괜찮고 교환하자니 또 한참 걸릴 것 같아서 그냥 세탁해서 입으렵니 다 다들 세탁하고 입으세요
4.0,팔통 넓고 기장은 짧아요. 짧은데 이쁘네요. 주름이 많이갈거같긴합니다.,팔통 넓고 기장은 짧아요 짧은데 이쁘네요 주름이 많이 갈 거 같긴 합니다
5.0,어깨선도 딱 제가 생각한 정도구요 사이즈는 m샀는데 약간 세미오버하게 핏이 나오는거 같아요 팔 기장도 딱 이쁘게 떨어지는 거 같아서 좋아요 요즘 제일 자주 입고나가는 아우터 인거 같습니다.,어깨선도 딱 제가 생각한 정도구요 사이즈는 샀는데 약간 세미오버하게 핏이 나오는 거 같아 요 팔 기장도 딱 이쁘게 떨어지는 거 같아서 좋아요 요즘 제일 자주 입고 나가는 아우터 인 거 같습니다
5.0,제가 좋아하는 회색이고 시보리 짱짱하고 모자도 안작고 흐물거리지 않고 요즘같이 비오는 날에 입기 좋아요,제가 좋아하는 회색이고 시보리 하고 모자도 안 작고 흐물거리지 않고 요즘같이 비오는 날에 입 기 좋아요
5.0,딱 제가 생각하고 원하던 후드집업이에요 ! 후드가 탄탄하고 적당해서 겉옷이랑 입기 딱 예쁜 느낌 !!!!!! 기장도 레이어드 티 적당히 나오는 정도로 완전 맘에 들어요 ! 셋업으로 사고 싶어서 샀는데 완존 만족 .. 재질도 탄탄하고 완전 괜찮아요 !!!! 저랑 비슷한 분들은 M 사는 거 추천 드려요 ~!,딱 제가 생각하고 원하던 후드 집업이에 요 후드가 하고 적당해서 겉옷이랑 입기 딱 예쁜 느낌 기장도 레이어드 티 적당히 나오는 정도로 완전 맘에 들어 요 셋업으로 사고 싶어서 샀는데 완존 만족 재질도 하고 완전 괜찮아요 저랑 비슷한 분들은 사는 거 추천 드려 요
5.0,레이어드 하기 좋아요 제로 스웻팬츠랑 셋업 느낌으로 착용도 가능해서 활용도 굿입니다 제 스팩에 단품으로 입으시려면 라지 가셔요,레이어드 하기 좋아요 제로 스웻팬츠랑 셋업 느낌으로 착용도 가능해서 활용도 굿입니다 제 스팩에 단품으로 입으시려면 라지 가셔요
5.0,너무 만족했어요 기장이 짧아서 좋았습니다 투웨이도 좋았고 자주 입을 후집이에옹,너무 만족했어요 기장이 짧아서 좋았습니다 투웨이도 좋았고 자주 입을 후 집이에 옹
5.0,기장이 길지 않아서 딱 좋았습니다  모자가 좀 작은 것 같기고 하고 무튼 무난하게 좋아요,기장이 길지 않아서 딱 좋았습니다 모자가 좀 작은 것 같기고 하고 무튼 무난하게 좋아요
5.0,원래 후드집업 박시하게 입는데 적당하고 딱 맞아용 투웨이라 활동하기 편하고 여름철에 에어컨이나 추운 곳에 있을 때 걸쳐도 좋을 듯 해용,원래 후드집업 박시하게 입는데 적당하고 딱 맞아 용 투웨이라 활동하기 편하고 여름철에 에어컨이나 추운 곳에 있을 때 걸쳐도 좋을 듯 해용
5.0,핏이 말이 필요 없슴니다 레이어드 하기 딱 조음 굿,핏이 말이 필요 없슴니다 레이어드 하기 딱 조음 굿
