Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
가성비 제퓸으로 너무 만족 합니다 다들 구매 하십쇼,,"가성비, 만족, 쇼, 퓸","가성비, 굳다굳다, 만족, 쇼, 퓸"
이너티 안 입어도 될 만큼 재질이 너모나 부드럽고 흐물 흐물 거려서 마음에 들어 요 다만 다른 셔츠에 비해서 어깨가 좁아 보일 수 있어요 원래도 좁지만 두께는 얇고 시원해서 여름에 입 기 좋습니다, 부드럽다,"거려, 두께, 부드럽다, 얇다, 어깨, 여름, 재질, 좁다","거려, 두께, 모나, 보이다, 부드럽다, 비, 셔츠, 시원, 시원하다, 얇다, 어깨, 여름, 원래, 이너티, 재질, 좁다, 좁다보이, 흐물, 흐물흐물"
사실 점을 준 이유는 마감과 부자재인데 뭘 바랄 가격은 아니지만 아쉽긴 합니다 옷 자체는 이 쁘네요, 마감,"가격, 마감, 쁘네, 사실, 아니다, 아쉽다, 이유, 자체","가격, 마감, 바라다, 부자, 부자 재, 부자재, 쁘네, 사실, 아니다, 아쉽다, 이유, 인데, 자체, 재, 점"
패턴도 이쁜데 소매 옆에 단추 끼우는 포인트가 맛도 리네요 지금 뷰터 여름에까지 시원하게 잘 입어보겠숩니둥,,"끼우다, 단추, 뷰터, 소매, 숩니둥, 시원하다, 에까지, 입어보다, 지금, 패턴, 포인트","끼우다, 단추, 맛, 맛도리, 뷰터, 소매, 숩니둥, 시원, 시원하다, 에까지, 여름, 옆, 입어보다, 입어보다 숩니둥, 입어보다숩니둥, 지금, 패턴, 포인트"
남편은 팔 기장이 아쉽다고 하는데 저는 예뻐 보이더라 구용,,"기장, 남편, 보이다, 아쉽다","구, 기장, 남편, 보이, 보이다, 아쉽다, 팔기장"
롤업해서 입으니 완전 반함 원래 사이즈를 크게 입는 편이라 구매했어요 얇고 가벼워서 더운 여름에 딱 일꺼 같네요 강 추 너무 마음에 듭니당, 사이즈,"가볍다, 덥다, 듭니당, 롤업, 사이즈, 얇다, 여름, 원래, 크게, 편이","가볍다, 강추, 덥다, 덥다여름, 듭니당, 롤업, 반함, 사이즈, 얇다, 여름, 원래, 크게, 편, 편이"
핏 더 사이즈를 보고 구매를 했는데 여름에 편하게 입 기 너무 좋을 것 같습니다 추천해요," 여름,  사이즈","보고, 사이즈, 여름, 추천, 편하다","보고, 사이즈, 여름, 추천, 편하다, 핏"
총장이 길 거라고 생각했는데 총장은 괜찮고 품이 좀 커서 어벙한 느낌이지만 만 원대에 체크반 팔 셔츠 입문용으론 괜찮은 것 같아요,,"셔츠, 어벙, 원대, 입문, 체크, 총장, 커서","라고, 셔츠, 어벙, 원대, 으론, 입문, 체크, 체크팔셔츠, 총장, 커서, 품"
가성비로 즐 좋은 거 같아 요 마감이 너무 아쉽네요 부자재도 그렇고 얋아서 여름에도 가능할 거 같습니다, 마감,"가능하다, 가성비, 그렇다, 마감, 아쉽다, 얋아, 여름","가능하다, 가성비, 그렇다, 마감, 부자, 부자 재도, 부자재, 아쉽다, 얋아, 여름, 재도"
상품이 생각한 거보다 짧아서 당황했지만 제품은 쉬원하고 좋았어요 하지만 바람 불면 배꼽이 보일 거 같은 사이즈는 오버하게 가는 게 좋아 보여요,,"당황, 바람, 보이다, 불면, 사이즈, 상품, 오버, 제품, 짧다","가다, 당황, 바람, 배꼽, 보이다, 불면, 사이즈, 상품, 오버, 제품, 짧다"
