Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
핏이랑 색감이 너무 예뻐요 단추 풀어 입어도 예쁩니다 두껍지 않아서 여름에 입기도 좋을 거 같아 요 추천합니다, 여름,"단추, 두껍다, 색감, 여름, 추천, 핏","단추, 두껍다, 색감, 여름, 추천, 풀다, 핏"
진짜 기본 제품이라 어느 룩에도 잘 어울리네 요 그냥 입어도 되고 자켓이랑 입어도 되고, 기본,"그냥, 기본, 룩, 어울리다, 자켓, 제품","그냥, 기본, 되다, 룩, 어울리다, 자켓, 제품"
남자친구 선물로 주려고 샀는데 아직 한 달이나 남아서 제가 입었네요 부드러운 얇은 니트라 여름에 아주 잘 입을 것 같고 사이즈도 남자친구 체형에 아마 여유로울 것 같아 요 예쁜 쨍한 초록색이라 청바지나 흰 바지 검은 바지 다 잘 어울릴 거 같아 요 원플원이라 제가 하나 가질까 고민돼 요,,"남자친구, 달이, 바지, 부드럽다, 사이즈, 여름, 원플원, 청바지, 초록색","가지다, 검다, 검다바지, 남아, 남자친구, 니트, 달이, 바지, 부드럽다, 사이즈, 아마, 아직, 얇다, 어울리다, 여름, 여유 울, 원플원, 쨍, 청바지, 초록색, 희다, 희다바지"
너무 좋습니가 수아레 제품 또 사려고요 카라랑 라운드 등 다르게 선택하는 것과 가격까지 모두 좋습니드, 라운드,"가격, 니드, 다르다, 라운드, 선택, 습니, 제품, 카라","가격, 니드, 다르다, 라운드, 선택, 습니, 제품, 카라"
생각보다 얇아서 시원하고 몸이 커 보이는 효과가 있어서 좋습니다 완전 여름 되면 어렵긴 하겠지만 요새 날씨에는 추천 드립니다 제 신체 스펙이랑 비슷한 분은 엑스라지 추천 드려요, 추천,"날씨, 드리다, 라지, 몸, 보이다, 스펙, 시원하다, 신체, 어렵다, 엑스, 추천, 효과","날씨, 드리다, 라지, 몸, 보이다, 스펙, 시원하다, 신체, 신체스펙, 얇다, 어렵다, 에는, 엑스, 엑스라지, 여름, 추천, 크다보이, 효과"
핏 죽이네요 몸도 더 좋아 보이고 얇아서 더 좋아요,,"몸, 보이, 얇다, 죽이다","몸, 보이, 얇다, 죽이다, 핏"
폴로 꽈배기보다 조금 더 얇은 데 부드럽고 해요 기본템으로 아주 좋아요 아주 추천합니다," 부드럽다,  꽈배기","꽈배기, 부드럽다, 얇다, 추천, 폴로","기본, 꽈배기, 부드럽다, 얇다, 추천, 탄탄, 폴로"
사진 그대로 색감은 화면과 비슷했습니다 너무 나 풀나풀게 여름에 딱 일 것 같습니다 가 성비 좋구 세탁 후 변형은 있을 것 같아 은 느낌인데 물 빨래 가능 소재라고 하니 너무 좋아요, 화면,"가능, 변형, 빨래, 사진, 색감, 세탁, 소재, 여름, 화면","가능, 가다, 가성비, 그대로, 라고, 물빨래, 변형, 빨래, 사진, 색감, 성비, 세탁, 소재, 여름, 인데, 화면"
넘 이 뻐요 여름에 입 기 딱 좋습니다 제 스펙이면 추천 드립니다,,"드리다, 스펙, 여름, 이면, 추천","xl추천드리다, 넘다, 드리다, 스펙, 스펙 이면, 여름, 이면, 추천"
사이즈는 저랑 비슷하시면 으로 가시면 될 것 같구요 재질은 여름에 시원하게 코디하기 좋게 적당히 얇은 부드러운 니트라 좋았어요 코디는 은 근 와이드 흑청이랑 생지 데님 아니면 사진처럼 버뮤다 팬츠도 괜찮은 것 같아 요 감사합니다,,"가시, 버뮤다, 사이즈, 사진, 와이드, 적당하다, 코디","가시, 니트라, 데님, 버뮤다, 버뮤다팬츠, 부드럽다, 사이즈, 사진, 생지데님, 아니다, 얇다, 여름, 와이드, 재질, 적당하다, 처럼, 코디, 팬츠, 흑청"
가성비 갑 디자인도 넘 이 쁘고 전혀 저렴해 보이지 않습니다 블루랑 두 칼라 구매하길 잘한 듯 요 사이즈는 하나 작게 입었습니다," 하나,  저렴하다","가성비, 디자인, 블루, 사이즈, 자다, 작다, 저렴하다, 전혀, 칼라, 하나","가성비, 디자인, 보이지, 블루, 사이즈, 자다, 작다, 저렴하다, 전혀, 칼라, 하나"
아이보리네이비 색상 예쁘네요 보이기엔 보풀 잘 안 생길 듯한 데 입어봐야 알겠죠," 색상,  보풀","네이비, 보풀, 색상, 생기다, 아이보리, 알다, 입어보다","네이비, 보, 보 이기, 보풀, 색상, 생기다, 아이보리, 아이보리 네이비, 아이보리네이비, 알다, 이기, 입어보다"
너무 좋습니다 앞으로 다시 구매할 수 있을 것 같아요,,"다시, 앞","다시, 수, 앞"
니트 류지만 얇아서 지금 입기에 덥지 않습니다 색 감 예쁘고 좋네요,,"니트, 덥다, 류지, 얇다, 지금","니트, 니트류, 덥다, 류지, 색감, 얇다, 지금"
소재도 좋고 핏도 아주 마음에 듭니다 오랜만에 좋은 옷 구매한 것 같아서 기분 좋습니다 고민하시는 분들에게 강 추입니다,,"고민, 기분, 소재, 핏","강추, 고민, 기분, 듭니, 분, 소재, 오랜, 오랜만, 추, 핏"
색감은 사진 그대로 고 사이즈는 약간 루즈핏 니트치고 얇은 편이지만 그래도 니트는 니트라 한 여름 날씨에 입기에는 하고 더울듯, 니트,"날씨, 니트, 니트라, 덥다, 사이즈, 사진, 색감, 얇다, 편이","그대로, 날씨, 니트, 니트라, 덥다, 루즈, 루즈핏, 사이즈, 사진, 색감, 얇다, 여름, 치고, 편이, 한여름"
사이즈 긴 하지만 생각보다 훨씬 더 한 사이즈입니다,,사이즈,"L사이즈, 넉넉하다사이즈, 사이즈"
배송도 빠르고 무엇보다 재질이 시원해요 땀이 많은데 잘 입을 수 있겠어요," 빠르다,  배송,  재질","땀, 많다, 배송, 빠르다, 시원하다, 재질","땀, 많다, 배송, 빠르다, 시원, 시원하다, 자다, 재질"
일단 배송이 빨리 와서 좋았습니다 한 여름에 입기에는 두껍 긴 하지만 정말 합리적인 가격으로 예쁜 옷 산 것 같아 요 검정은 화면이랑 똑같은데 아이보리 색은 생각보다 밝아서 화이트에 가깝습니다 저랑 신체 사이즈 비슷한 분들은 하시면 딱입니다,,"가격, 검정, 밝다, 배송, 빨리, 사이즈, 신체, 합리, 화면, 화이트","가격, 가깝다, 검정, 두껍다, 딱이다, 똑같다, 밝다, 배송, 빨리, 사이즈, 색, 신체, 아이보리, 여름, 오다, 한여름, 합리, 화면, 화이트"
요즘 반팔 니트 유행이라 길래 두 벌 장만 했는데 좋아요,,"길래, 니트, 유행, 장만, 팔","길래, 니트, 유행, 장만, 팔, 팔니트"
광고에 이벤트 보고 구매했는데 가격도 맘에 들고 워셔블이라 욱 구매 흥미가 생겼어요 받아보니 후회 없이 출근적으로 잘 입고 있습니다,,"가격, 광고, 받다, 생기다, 워셔블, 이벤트, 출근, 흥미","가격, 광고, 받다, 보고, 생기다, 워셔블, 이벤트, 출근, 후회, 흥미"
너무 맘에 드네요 사이즈도 딱이 고 핏도 너무 맘에 들어요,,"딱이다, 사이즈, 핏","딱이다, 사이즈, 핏"
평소 사이즈 입구 요 구매 사이즈 사이즈 오버핏이라 여유 있고 체형을 한 층 옆으로 넓어 보이게 해주는 핏감 두껍지 않은 케이블 니트 소재 인생 핏 만나서 추가로 아이보리 그린 컬러 구매하였습니다,,"만나다, 보이, 사이즈, 아이보리, 여유, 입구, 체형, 추가, 케이블, 해주다","2xl, xl, 그린컬러, 넓다, 넓다보이, 니트소재, 두껍다, 만나다, 보이, 사이즈, 아이보리, 여유, 오버핏, 인생, 인생핏, 입구, 체형, 추가, 컬러, 케이블, 핏감, 해주다"
사이즈 잘 맞아요 색감도 예쁘네요 여름에 입 기 좋은 두께입니다 한 여름은 좀 힘들 거 같아요, 두께,"두께, 맞다, 사이즈, 색감, 여름, 힘들다","M사이즈, 두께, 맞다, 사이즈, 색감, 여름, 한여름, 힘들다"
저렴하게 좋은 상품 구매해서 너무 좋아요 재질도 나므지 않아서 여름에 잘 입을 것 같아 요 감사합니당, 여름,"나므, 상품, 여름, 재질, 저렴하다","나므, 나므지, 상품, 여름, 자다, 재질, 저렴하다, 지"
가성비 좋고 배송도 만족입니다 촉감이 좋고 신축성도 좋아요," 가성비,  배송,  촉감","가성비, 만족, 배송, 성도, 촉감","가성비, 만족, 배송, 성도, 신축, 신축 성도, 신축성, 촉감"
시원하고 막입기 좋아요 재질도 좋은 것 같습니다 세탁하면 어떻게 될지 궁금하지만 만족합니다,,"궁금하다, 막, 만족하다, 세탁, 시원하다, 어떻다, 재질","궁금하다, 되다, 막, 만족, 만족하다, 세탁, 시원, 시원하다, 어떻다, 재질"
생각보다 커요 팔 길이가 애매하게 길어서 핏이 어 정쩡해 보여 요 어쩔 수 없지만 접어서 입어야 할 듯 합니다,,"길이, 보이다, 애매하다, 어쩔, 접다, 정쩡해, 크다, 핏","길이, 보이다, 애매하다, 어쩔, 없다, 접다, 정쩡해, 크다, 팔, 핏"
그린이랑 베이지 두 벌 구매했는데 옷 너무 예뻐요 팔 통도 크지 않아서 머슬핏 잘 나옵니다 출근룩이나 데이트 시 좋을 것 같아요,,"그린, 나오다, 데이트, 머슬핏, 베이지, 출근, 크다, 통","그린, 나오다, 데이트, 룩, 머슬핏, 베이지, 이나, 출근, 출근룩, 크다, 통, 팔"
