Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
너무 잘 맞고 예쁘네 여 앞으로도 많이 구매할게요 감사합니다,,"맞다, 앞","많이, 맞다, 앞, 으로도, 자다"
남편이랑 옷 같이 입기 좋아요 만족합니다 가을이 왔으면,,"가을, 남편, 만족하다, 오다","가을, 남편, 만족, 만족하다, 오다"
색감이 너무 유니크 합니다 아주 멋져요 기장이 약간 짧은 느낌이긴 한데 그래도 너무 이 뻐서 자꾸 손이 갑니다, 기장,"기장, 느끼다, 멋지다, 색감, 손, 유니크, 짧다","가다, 기장, 느끼다, 멋지다, 색감, 손, 유니크, 자꾸, 짧다"
걍 이 쁨 워싱데님이 더 잘 어울리는 바지 같음 자주 입을 듯,"워싱데님,  바지","바지, 어울리다, 워싱데님","바지, 어울리다, 워싱데님"
엉덩이 덮는 충분한 사이즈입니다 프리 사이즈인 줄 알았는데 미디엄이랑 라지 나뉘어져 있어서 고민했었네요, 라지,"나뉘어지다, 덮다, 라지, 미디엄, 사이즈, 알다, 엉덩이, 충분하다, 프리","고민, 나뉘어지다, 덮다, 라지, 미디엄, 사이즈, 알다, 엉덩이, 엉덩이덮다, 충분하다, 프리, 프리사이즈"
날씨가 더워져서 자주는 못 입겠지만 너무 이쁩니다,,"날씨, 더워지다","날씨, 더움, 더워지다, 싫다"
사이즈도 잘 맞고 배송도 빨리 왔어요 다양한 코디에 입을 듯," 배송,  코디","다양하다, 맞다, 배송, 사이즈, 오다, 코디","다양하다, 맞다, 배송, 빨리, 사이즈, 오다, 코디"
생각보다 색이 밝은 데 사진에서 보는 것만큼 예쁘네요 조금 다른 쪽으로 다르긴 하지만 만족스럽습니다, 사진,"다르다, 만족스럽다, 사진, 색","다르다, 만족스럽다, 밝다, 사진, 색, 색깔, 쪽"
실제로 입어보니 체형 보완도 되는 것 같고 스타일도 괜찮네요,,"보완, 스타일, 실제, 입어보다, 체형","되다, 보완, 스타일, 실제, 입어보다, 체형, 체형보완"
간절기에 입 기 좋아요 체크 셔츠인데 흔하지 않고 색도 마음에 드네요,,"간절기, 색도, 셔츠, 체크, 흔하다","간절, 간절기, 색깔, 색도, 셔츠, 인데, 체크, 체크셔츠, 흔하다"
두껍지 않아서 마음에 듭니다 가을에 입 기 좋을 것 같습니다,,"가을, 두껍다","가을, 두껍다, 두께, 듭니, 옷감"
생각보다 훨씬 예뻐요 저렴하게 잘 구입했요,,저렴하다,"가격, 저렴하다, 크기"
그냥 제가 생각한 사이즈 핏 입니다 너무 이쁘네요,,사이즈,"그냥, 사이즈, 사이즈핏"
이쁩니다 체크 셔츠 살려 했는데 잘 산거 같아 요 굿,,"살리다, 셔츠, 체크","살리다, 셔츠, 잘살다, 체크, 체크셔츠"
너무 이 뻐요 핏이 작살남 어디든 이 쁠 거 같고 여름에도 얇아서 입는 거 가능,,"가능, 얇다, 여름, 핏","가능, 남, 얇다, 여름, 작살, 작살 남, 핏"
가성비 너무 좋고 핏도 좋고 이 뻐요 색상별로 구입하고 싶네요, 가성비,"가성비, 색상, 싶다, 핏","가성비, 별로, 색상, 색상 별로, 싶다, 핏, 하고"
얇고 해 보여서 좋습니다 가볍게 입 기 좋은 거 같아요, 얇다,"가볍다, 보, 얇다","가볍다, 보, 얇다, 여서, 편하다"
색감이 생각보다 빈티지하고 밝아요 얇아서 여름에 딱입니다," 얇다,  밝다","딱이다, 밝다, 빈티, 색감, 얇다, 여름","딱이다, 밝다, 빈티, 빈티 지하, 빈티지, 색감, 얇다, 여름, 지하"
평소 입는데 잘 맞고 이쁜 거 같아 요 잘 입겠습니다,,맞다,"l, 맞다, 평소"
실물보니 이 뻤고 가볍습니다 얇은 재질입니다 디자인 만족합니다," 디자인,  얇다","가볍다, 디자인, 만족하다, 뻤, 실물, 얇다, 재질","가볍다, 디자인, 만족하다, 뻤, 실물, 실물보내다, 얇다, 재질"
