Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
요즘 커버낫 핫해서 기본 티로 두 장 사봤는데 목 시보리하고 일자로 떨어지는 핏이라 밈에 듭니다,,"기본, 떨어지다, 밈, 사보다, 시보리, 일자, 커버, 티, 핏, 핫","기본, 낫, 듭니, 떨어지다, 목, 밈, 보리, 사보다, 시보리, 에듀, 일자, 커버, 커버 낫, 커버낫, 티, 핏, 하고, 핫"
입는데 맞네요 재질은 매끄럽고 가벼워요 얇은 편이나 비침은 없어요 구김도 적고요 추전합니다, 가볍다,"가볍다, 구김, 맞다, 매끄럽다, 얇다, 없다, 재질, 적다, 추다, 편이","L, XL, 가볍다, 구김, 맞다, 매끄럽다, 비치, 비치다, 비침, 얇다, 얇다편, 없다, 재질, 적다, 추다, 편이"
생각보다 재질도 두껍고 원단도 마음에 들어 요 역시 커버낫이 질이 좋은 거 같아 요 다음에 또 주문하겠습니다 사이즈 딱 맞고 착용 감도 좋아요,,"두껍다, 맞다, 사이즈, 원단, 재질, 주문, 착용","감다, 두껍다, 맞다, 사이즈, 원단, 재질, 주문, 질, 착용, 커버"
시원한 재질이 고 사이즈는 편합니다 착한 가격에 구매했습니다," 가격,  시원하다","가격, 사이즈, 시원하다, 재질, 착하다, 편하다","가격, 사이즈, 시원하다, 재질, 착하다, 편하다"
너무 마음에 들어 요 쿨코튼이라 그렂지 재질도 입니다,,"그렂, 재질, 코튼","그렂, 그렂지, 재질, 지, 코튼, 쿨, 쿨 코튼, 쿨코튼"
학교 다닐 때 입 기 좋고 할인할 때 사서 가성비도 굿입니다 디자인도 깔끔하고 배송도 빨라서 여름 잘 입었던 것 같아 요 건조기 돌리니까 옷이 줄어들더라구 요 옷 줄어드는 거 싫으신 분들은 조심해주세요 전 체구가 작아서 크게 상관 없었던 것 같습니다 구매 후회 안 해요,,"건조기, 디자인, 배송, 상관, 작다, 학교, 할인","건조기, 구가, 굿, 깔끔하다, 디자인, 라서, 배송, 사서, 상관, 싫다, 작다, 조심, 조심 해주다, 줄어들다, 줄어들다 구, 체구, 학교, 할인, 해주다, 후회"
사계절 잘 입고 있는 커버낫 기본 티 추가 구매했습니 당 소재도 시원하니 너무 좋고 아무리 세탁해도 변형 없어서 넘모 좋은 같아요, 소재,"기본, 변형, 세탁, 소재, 시원하다, 커버","기본, 기본티, 낫, 넘다, 변형, 사계절, 세탁, 소재, 시원하다, 아무리, 없다, 추가, 커버, 커버 낫, 커버낫"
큘 면티 후기 보고 구매 맘에 들어 요 휜색 음 이너용 검정색은 걍티로 입어요, 면티,"검정색, 면티, 보고, 후기, 휜색","걍, 걍티, 검정색, 면티, 보고, 큘, 티, 후기, 휜색, 휜색음"
화면에서 보던 색상 그대로 고 사이즈도 적당히 잘 맞아요, 색상,"그대로, 맞다, 사이즈, 색상, 적당하다, 화면","그대로, 맞다, 사이즈, 색상, 적당하다, 화면"
좋아요 다시 구매하고 싶을 정도입니다 잘 입을 게요,,"다시, 싶다","다시, 싶다, 자다, 하고"
배송이 빨라서 좋았고 디자인 무난하고 좋았어요 색감도 보던 거랑 똑같이 괜찮네요 우선 촉감도 괜찮은 거 같고 색만 안 빠지면 괜찮은 거 같아 요,,"디자인, 배송, 빠지다, 색감, 촉감","디자인, 똑같이, 라서, 배송, 빠지다, 색, 색감, 촉감, 하고"
여름에 시원한 티가 필요해서 두장 구매했습니다,,"시원하다, 여름, 티, 필요하다","시원하다, 시원하다티, 여름, 티, 필요하다"
커버낫은 입는데 오버핏이란 글을 읽고 이건 주문해서 입었어요 어깨 기장 적당하고 좋아요, 기장,"기장, 어깨, 오버핏, 이건, 읽다, 적당하다, 주문, 커버","M, S, 기장, 낫, 어깨, 오버핏, 이건, 이란, 읽다, 적당, 적당하다, 주문, 커버, 커버 낫, 커버낫"
면 재질 좋고 목 늘어남도 없어서 잘 입을 거 같아용, 재질,"늘어나다, 재질","늘어나다, 목, 없다, 재질"
얇고 시원하고 엉덩이 덮는 기장에 비침도 없습니다 기본 반팔 티로 너무 좋네요," 기장,  시원하다","기본, 기장, 덮다, 비침, 시원하다, 얇다, 없다, 엉덩이, 티, 팔","기본, 기장, 덮다, 비치, 비치다, 비침, 시원하다, 얇다, 없다, 엉덩이, 티, 팔, 팔티"
