Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
무신사 스탠다드 매장에서 실물 보고 이 뻐서 온라인으로 구매했어요 저렴한 티 안 나고 시원합니다 기준 조금 길어서 길이는 발목 보이게 수선해야 할 거 같아요," 온라인,  매장","기준, 길이, 매장, 보고, 보이, 수선하다, 시원하다, 실물, 온라인, 저렴하다","기준, 길이, 나다, 매장, 물다, 발목, 보고, 보이, 수선, 수선하다, 스탠다드, 시원, 시원하다, 실물, 온라인, 저렴, 저렴하다, 티"
허리도 살짝 크고 기장도 엄청 길어요 예쁘니까 그냥 품어요 바스락 거려도 편하고 좋아요 카고 스커트 솔직히 다른 브랜드는 너무 비싸요 무탠다드가 그나마 합리적인 가격대라서 샀는데 만족 해 용 가을에도 잘 입을 거 같구 암튼 기장이 길 긴 기네요 구래도 잘 입어보려 구용,,"가격, 가을, 거려, 구래, 그나마, 기네, 기장, 브랜드, 비싸다, 솔직하다, 입어보다, 품다, 합리, 허리","가격, 가격대라서, 가을, 거려, 구, 구래, 그나마, 기네, 기장, 길, 대, 라서, 만족, 바스락, 브랜드, 비싸다, 솔직하다, 스커트, 암튼, 입어보다, 카, 크다, 편하다, 품다, 합리, 허리"
카고 스타일이라 트랜디하고 너무 이쁩니다 맥시 스커트 찾고 있었는데 기준 딱 발목에 와서 너무 예쁘고 뒷트임이 있어 걸을 때도 정말 편해 요 엄청 힙한 무드도 아니라 데일리로 잘 입을 것 같고 다가오는 여름에 입 기 좋은 재질이라 더 손이 갈 것 같습니다 허리도 폭 넓게 조정되어서 정말 좋아요 여러모로 다 만족한 제품인 것 같습니다,,"넓다, 다가오다, 맥시, 모로, 무드, 발목, 스타일, 재질, 조정, 트랜디, 편하다","갈다, 걸, 넓다, 다가오다, 데일리, 되어다, 만족, 만족하다, 맥시, 모로, 무드, 발목, 손, 스커트, 스타일, 여러, 여름, 재질, 조정, 카, 트랜디, 편하다, 폭, 허리"
후기대로 허리가 좀 큼 근데 엉덩이 때문에 사이즈는 이게 맞는 것 같음 얇고 길어서 좋음, 얇다,"때문, 맞다, 사이즈, 얇다, 엉덩이, 크다, 허리, 후기","근데, 대로, 때문, 맞다, 사이즈, 얇다, 엉덩이, 크다, 허리, 후기"
베이지 색상 다른 컬러와 매칭이 잘 되고 핏이 넘 마음에 듭니다 샤라락한 천이라 시원하고 주머니도 있어 활용성 매우 좋습니다," 컬러,  주머니","매칭, 베이지, 색상, 시원하다, 주머니, 천이, 컬러, 핏, 활용","듭니, 매칭, 베이지, 색상, 샤라락, 시원, 시원하다, 주머니, 천이, 컬러, 핏, 활용, 활용성"
색감이 좀 어두워서 아쉬워요 일자핏이라 펑 퍼짐해 보이지 않아서 좋네요 요새 살이 쪘음에도 불구하고 허리는 해서 단추로 조절해야 더 이 쁘네요 마르신 분들은 단추로 허리 줄여도 클 거 같네요, 보이지,"단추, 마르다, 보이지, 분, 불구, 쁘네, 살이, 색감, 아쉽다, 어둡다, 조절, 줄이다, 찌다, 퍼지다, 허리","단추, 마르다, 보이지, 분, 불구, 쁘네, 살이, 색감, 아쉽다, 어둡다, 일자핏, 조절, 줄이다, 찌다, 크다, 퍼지다, 펑, 하고, 허리"
옷이 좀 크긴 힌데 이쁘구 좋아요 아주 맘에 듭니당,,"듭니당, 크다, 힌데","듭니당, 듭다, 크다, 힌데"
허리가 아주 조금이라도 조이는 걸 극도로 싫어해서 후기를 봤음에도 을 시켰는데 역시나 큽니다 단추를 다시 바느질해서 달았어요 조여지게 그럼에도 옷은 맘에 들어 요 시원하고 얇아요,,"극도, 단추, 달다, 바느질, 시원하다, 싫어하다, 얇다, 이라도, 조이다, 크다, 허리, 후기","그렇다, 극도, 단추, 달다, 바느질, 시원하다, 싫어하다, 얇다, 이라도, 조여, 조여 지게, 조여지게, 조이다, 지게, 크다, 허리, 후기"
배송도 빠르고 포장도 깔끔하게 와서 마음에 듭니다," 빠르다,  깔끔하다","깔끔하다, 배송, 빠르다, 오다, 포장","깔끔하다, 듭니, 배송, 빠르다, 오다, 포장"
생각보다 길이가 길지만 재질이랑 배송 만족해요 좋습니다," 재질,  길이","길, 길이, 만족하다, 배송, 재질","길, 길이, 만족하다, 배송, 재질"
일단 재질 너무 시원하고 스판끼도 해서 다리 찢기해도 될 듯 크롭이랑 입었는데 다리도 길어 보이고 넘 좋아용,,"길다, 다리, 보이, 스판끼, 시원하다, 재질, 크롭, 해도","길다, 길이, 다리, 보이, 스판끼, 시원하다, 재질, 찢기다, 크롭, 해도"
길이가 꽤 길어요 발목 정도 보이는 맥시 스커트예요 좀 큰 거 같은데 허리 줄이는 단 추가 있어서 사이즈 조절이 가능해서 너무 좋아요," 줄이다,  길이,  보이다","길이, 맥시, 발목, 보이다, 사이즈, 스커트, 예요, 조절, 줄이다, 추가, 크다, 허리","가능, 가능하다, 길이, 꽤, 맥시, 발목, 보이다, 사이즈, 스커트, 예요, 조절, 줄이다, 추가, 크다, 허리"
스커트 편하고 이쁩니다 시원해서 여름에 입 기 좋아요, 편하다,"스커트, 시원하다, 여름, 편하다","스커트, 시원하다, 여름, 편하다"
너무 이 뻐요 입고 가면 다들 물어봅니다 어디서 샀는지 또 구입 의사 있어요, 의사,"가면, 물어보다, 어디서, 의사","가면, 물어보다, 어디서, 의사"
오프라인에서 직원 언니가 입은 거 보고 반해서 피팅해보자마자 바로 주문했어요 허리 쪽에 한 번 더 줄일 수 있는 단 추가 있어서 모든 분들이 사이즈 조절해서 잘 있으실 꾸같구 소재도 시 원시웡 얇아서 여름이 잘 입도 다닐꺼 같아 요 제 생각엔 비침도 별로 없는 것 같아요,,"반하다, 별로, 비침, 사이즈, 소재, 얇다, 언니, 오프라인, 조절, 주문, 줄이다, 직원, 피팅","꾸다, 모든, 반하다, 별로, 비치다, 비침, 사이즈, 소재, 얇다, 언니, 없다, 여름, 오프라인, 원시, 입도, 조절, 주문, 줄이다, 직원, 추가, 피팅, 허리"
평소 입는데 해요 허리가 크게 나온 편인 듯해요 재질 시원하고 마감 깔끔하고 좋아요, 재질,"깔끔하다, 나오다, 마감, 시원하다, 재질, 크게, 편, 평소, 허리","깔끔하다, 나오다, 마감, 시원하다, 재질, 크게, 편, 평소, 허리"
마감 깔끔하고 얇으면서 한 재질이라 편하게 여기저기 잘 입을 듯해요 허리 사이즈가 생각보다 여유 있어서 밥 많이 먹어도 걱정 없을 듯, 재질,"걱정, 깔끔하다, 마감, 먹다, 사이즈, 얇다, 여기저기, 여유, 재질, 편하다, 허리","걱정, 깔끔하다, 깔다끄다, 마감, 먹다, 먹음, 밥, 사이즈, 얇다, 없다, 여기저기, 여유, 재질, 편하다, 허리"
기준으로 좀 길긴 한데 가볍고 얇아서 땀 차는 나일론 재질이 아니라 한 여름까지 편하게 잘 입을 거 같아요," 가볍다,  재질","가볍다, 기준, 길다, 나일론, 아니다, 얇다, 여름, 재질, 편하다","가볍다, 기준, 길다, 나일론, 땀, 아니다, 얇다, 여름, 재질, 차다, 편하다"
재질 시원하고 하늘하늘해 요 맥시기장이지만 뒤에 트임 있어서 편해요, 재질,"기장, 뒤, 맥시, 시원하다, 재질, 트이다, 편하다, 하늘하늘하다","기장, 뒤, 맥시, 맥시 기장, 시원, 시원하다, 재질, 트이다, 편, 편하다, 하늘, 하늘하늘하다"
빛을 받으면 약간 비침이 있는 정도로 얇은 단일 원단 입니다 아래쪽 절개가 조금 높이 되어 있어서 걸어 다닐 때 걸리거나 불편함을 느낄 수 없고 여름 내 잘 입을 수 있을 것 같아 요 어두운 색상과 고민 했는데 계절 고려했을 때 밝은 색상으로 간 게 역시나 맞은 듯 합니다,,"걸다, 걸리다, 계절, 고려, 높이, 느끼다, 단일, 두운, 밝다, 불편하다, 색상, 아래쪽, 얇다, 여름, 절개","간, 걸다, 걸리다, 계절, 고려, 고민, 내, 높이, 느끼다, 단일, 되어다, 두운, 맞다, 받다, 밝다, 불편하다, 비침, 빛, 색상, 수, 아래쪽, 얇다, 없다, 여름, 원단, 절개"
스판이 있어서 늘어나서 정말 편해 요 허리 사이즈도 단추로 어느 정도 조절 가능하기 때문에 사이즈에 큰 구애 안 받을 것 같아 요 제 스펙에는 사이즈 좋았어요 앉아 있다 보면 구김이 잘 가 긴 하는데 서 있으면 또 잘 펴지기도 해요,,"구김, 구애, 늘어나다, 단추, 사이즈, 서다, 스판, 스펙, 앉다, 편하다","가능하다, 가다, 구김, 구애, 기도, 늘어나다, 단추, 때문, 받다, 사이즈, 서다, 스판, 스펙, 앉다, 조절, 펴다, 펴다 기도, 펴다기도, 편하다, 허리"
