Processed_Review,keyword
가성비 너무 좋고 핏도 좋고 이 뻐요 색상별로 구입하고 싶네요,"색상 별로, 가성비, 핏, 싶다"
얇고 해 보여서 좋습니다 가볍게 입 기 좋은 거 같아요,"가볍다, 보, 얇다"
색감이 생각보다 빈티지하고 밝아요 얇아서 여름에 딱입니다,"빈티 지하, 색감, 여름, 얇다, 밝다, 딱이다"
평소 입는데 잘 맞고 이쁜 거 같아 요 잘 입겠습니다,"평소, 맞다"
실물보니 이 뻤고 가볍습니다 얇은 재질입니다 디자인 만족합니다,"재질, 만족하다, 가볍다, 실물, 디자인, 얇다, 뻤"
너무 커요 특히 팔뚝 부분 통이 너무 넓어요 전체 폼도 크고 많이 오버핏입니다 색감은 이 뻐요 면도 얇고 다시 주문한다면 한 치수 작게 주문할 거 같네요,"주문, 면도, 크다, 주문, 크다, 전체, 색감, 통, 치수"
시원해 보이는 색이 마음에 듭니다 다 만 상품 설명보단 물 빠진 색인데 그게 더 마음에 드네요,"설명, 듭니, 색, 보이다, 시원하다, 색, 상품, 빠지다"
핏이 좋게 나와 요 얇아서 여름에 실내에서 입기 좋습니다,"실내, 나오다, 여름, 핏, 얇다"
예뻐요 그리고 얇아서 팔 걷어올리고 여름에 입으면 됩니다 첫 셔츠 성공이요,"성공, 셔츠, 여름, 얇다, 되다, 걷다 올리다"
가격 대비 너무 이 뻐 버리고 후배 여동생이랑 밥 맛 잇게 먹고 왓슴 다,"여동생, 먹다, 버리다, 대비, 가격, 후배, 잇다, 왓슴"
깔끔하고 핏이 예쁩니다 흰색 부분인 줄 알았는데 베이지 붉은 느낌이 조금 들어가 있습니다,"흰색, 베이지, 들어가다, 부분, 핏, 알다, 붉다"
체크 셔츠 하나만 살 생각으로 샀어요 데일리하면서도 이쁜 체크는 이걸로 하세요,"데일 리하 서도, 걸, 셔츠, 체크, 체크, 하나"
핏 좋고 색감 이 뻐요 자주 입고 있습니다 날 조금 더 풀리면 너무 자주 입을 거 같아요,"색감, 풀리다"
사이즈인데 생각보다 많이 크네요 오버핏 셔츠는 처음이라 유튜브 보고 코디 좀 보고 입어봐야겠네요 색감 넘 이 쁩니다,"사이즈, 셔츠, 처음, 코디, 크다, 유튜브, 색감, 보고, 입어보다"
색이 예쁘고 편하게 잘 입을 수 있을 것 같아 요 체크 셔츠 갖고 싶었는데 좋아요,"편하다, 셔츠, 색, 체크, 싶다, 갖다"
배송 매우 빠릅니다 포장 되게 하게 해서 옵니다,"포장, 배송, 빠르다"
사이즈는 크고 기장이 조금 짧은데 충분히 요즘 느낌으로 입을 수 있을 것 같아 요,"기장, 충분하다, 사이즈, 크다, 짧다"
가성비 최고 색도 사진이랑 같애요 가을 자주 입을 것 같숩니 다 좋은 제품 입니다,"사진, 가성비, 색도, 가을, 최고, 애"
얇아서 여름에도 입을 만한 것 같아 요 개인적으로 굉장히 만족합니다 질감이 두껍지 않으면서도 흐물 흐물 하진 않아서 맘에 들어요,"만족하다, 개인, 여름, 질감, 하진, 흐물"
이 뻐요 색감이 빈티지하면서 네이비 색이 시원한 느낌을 을 줘 거 코디 난이 그리 높지 않고 여름에 입이 좋아요,"빈티, 색감, 시원하다, 색, 네이비, 여름, 난이, 그리다, 코디"
완전이 이 뿌고 색감도 좋아서 편하게 입을 수 있겠어요,"편하다, 색감, 뿌"
타임세일 때 구매해서 엄청 저렴하게 샀어요 날이 조금 더 해지면 입을 수 있겠어요,"저렴하다, 해지, 타임세일, 날"
옷 색감이나 핏이 너무 이 뻐요 이번 가을에 엄청 입고 다닐 거 같아 요 감사합니다,"색감, 가을, 핏"
문의 글에 배송이 무슨 일주일이 주 못 받고 계신 분들이 있어서 월요일 결제하고 금요일까지 받아야 했는데 월요일 결제 화요일 도착했네요 쿠팡인 줄 역시 대한통운에 빠른 출고와 빠른 도착 감사합니다 저는 크게 입어서 입습니다 주문했고요 엉덩이 덮는 기 장 좋아서 크게 삼 엉덩딱 덮고 좋움 세일할 때 사 소 더 좋윰,"엉덩이, 통운, 배송, 문의, 화요일, 출고, 쿠팡, 일주일"
괜찮네 여 가을에 입기에는 많이 많이 얇 음 에어콘 있는 실 내에서 추울 정도,"에어콘, 내, 가을, 추다"
기장 핏 오버하고 히 좋아요 가을이 기 다려지네요,"다려지다, 오버, 기장, 가을"
옷이 편하고 이 뻐서 자주 입을 것 같아 요 감사합니다,편하다
이 가격에 싼 게 미안해 질 정도로 잘 만들어진 예쁜 옷입니다,"만들어지다, 미안하다, 가격"
체크 셔츠 색감이랑 너무 마음에 드네 여 근데 조금 사람들이 많이 입나 봐요,"색감, 사람, 셔츠"
퀄리티는 솔직히 가격 생각하면 기 대 안 하는 게 좋을 것 같지만 나쁘진 않아 요 하지만 핏과 디자인이 너무 이쁘네요 가격 대비 너무 좋은 제품 같습니다 횔용 높고 가을에 휘뚜루마 뚜루 꽤 많이 입을 것 같아요,"퀄리티, 디자인, 솔직하다, 대비, 가격, 가을"
