Review,Processed_Review,common_keywords_all,common_keywords_3_plus
길이감이 좀 더 길면 좋겠지만 지금도 예쁘네요! 굳입니당,길이감이 좀 더 길면 좋겠지만 지금도 예쁘네요 굳입니다,,"굳다, 길다, 길이감"
거 처음 입으니까 뭐가 그리 더러러럭 붙어 나오는지 모르겠지만 투웨이 지퍼가 있응게 좋네요~ 배불뚝이 후드집업 이젠 안녕,거 처음 입으니까 뭐가 그리 더러러럭 붙어 나오는지 모르겠지만 투웨이 지퍼가 있응께 좋네요 배불뚝이 후드집업 이젠 안녕, 지퍼,"그리다, 께, 나오다, 모르다, 뭐, 배불뚝이, 붙다, 안녕, 젠, 지퍼, 처음, 투"
투웨이라 유용하고 딱 떨어지는 핏감이라 좋아요 무게감좋고 지퍼 소재는 좀 아쉬워요,투 웨이라 유용하고 딱 떨어지는 팻감이라 좋아요 무게감 좋고 지퍼 소재는 좀 아쉬워요," 무게,  소재","떨어지다, 무게, 소재, 아쉽다, 유용하다, 지퍼, 팻감"
기모라서 따듯하고 미듐이 이너로 입기 딱 좋은 것 같아요!,기모라서 따듯하고 미디엄이 이너로 입기 딱 좋은 것 같아요,,"기모, 따다, 라서, 미디엄, 이너"
얇을줄 알았는데 생각보다 두꺼워서 가을에나 초봄에도 입고 다닐수 있을것 같아요 단점은 입은후 지퍼가 무슨짓을 해도 안올라가요 입기전에 지퍼올린 후 입어야 해요,얇을 줄 알았는데 생각보다 두꺼워서 가을에나 초봄에도 입고 다닐 수 있을 것 같아요 단점은 입은 후 지퍼가 무슨 짓을 해도 안 올라가요 입기 전에 지퍼 올린 후 입어야 해요,,"가을, 단점, 두껍다, 얇다, 에나, 올리다, 지퍼, 초봄, 해도"
신랑입을려고샀어요ㅡ스타일좋아요 두께감도좀있어서지금입기좋아요,신랑 입으려고 샀어요 스타일 좋아요 두께감도 좀 있어서 지금 입기 좋아요,,"두께감, 스타일, 신랑"
크게 입는 걸 좋아해서 그런지 품이 커서 정말 좋아요!! 단독으로도 입어도 좋고 아우터 안에 입어도 좋아용 잘 입고 다닐게요!,크게 입는 걸 좋아해서 그런지 품이 커서 정말 좋아요 단독으로도 입어도 좋고 아우터 안에 입어도 좋아요 잘 입고 다닐게요,,"그렇다, 단독, 아우터, 좋아하다, 커서, 크게, 품"
두께도 길이도 딱 적당하니 예쁘고 좋습니다~ 근데 옷 자체가 조금 무겁긴 해요ㅠ,두께도 길이도 딱 적당하니 예쁘고 좋습니다 근데 옷 자체가 조금 무겁긴 해요,,"길이, 두께, 무겁다, 자체, 적당하다"
너무 작거나 크면 어떡하지? 나한테 안어울리면 어떡하지? 하면서 샀는데 너무너무 만족하면서 입고있습니다,너무 작거나 크면 어떡하지 나한테 안 어울리면 어떡하지 하면서 샀는데 너무너무 만족하면서 입고 있습니다, 어울리다,"만족하다, 어떡하다, 어울리다, 작다, 크다"
집앞슈퍼에갈때 걸치려고 샀는데 너무너무 좋아요 꾸안꾸템 쵝오,집 앞 슈퍼에 갈 때 걸치려고 샀는데 너무너무 좋아요 꾸안꾸템 최고, 꾸안꾸,"갈다, 걸치다, 꾸안꾸, 슈퍼, 최고"
멜란지 마스터 후드티 엑라있는데  되게 정핏으로 나오고 어깨선이 짧아서 좀 아쉬웠는데 토피는 딱 원하는 세미오버 느낌정도로 나오고  어깨선도 길어서 좋네요,멜란지 마스터 후드티 엑라있는데 되게 정에 핏으로 나오고 어깨선이 짧아서 좀 아쉬웠는데 토피는 딱 원하는 세미 오버 느낌 정도로 나오고 어깨선도 길어서 좋네요,,"나오다, 되게, 마스터, 멜란지, 선도, 세미, 엑, 오버, 정, 짧다, 토피, 핏"
다른 옷과 레이어드해서 입기 너무 좋아요 사이즈가 레이어드하기 적당해서 좋습니다,다른 옷과 레이어드해서 입기 너무 좋아요 사이즈가 레이어드하기 적당해서 좋습니다,,"레이어드, 사이즈, 적당하다"
투웨이 지퍼가 제일 마음에 들어요 근데 사실 빡빡하긴해요 투웨이라는 점은 마음에 들지만 빡빡해서 아쉽긴하네요 하지만 후회는 없답니다ㅋ,투웨이 지퍼가 제일 마음에 들어요 근데 사실 빡빡하긴 해요 투 웨이라는 점은 마음에 들지만 빡빡해서 아쉽긴 하네요 하지만 후회는 없답니다,,"빡빡, 사실, 아쉽다, 제일, 지퍼"
옷이 엄청 이뻐서 이너로 입기도 좋고 아우터로 입기도 좋아요,옷이 엄청 이뻐서 이너로 입기도 좋고 아우터로 입기도 좋아요,,"아우터, 이너"
옷도 탄탄하고 핏도 예뻐서 자주 찾게 되네용! 구매 후회 x!,옷도 탄탄하고 핏도 예뻐서 자주 찾게 되네요 구매 후회 x,,"찾다, 탄탄하다, 핏, 후회"
살짝 오버핏에 재질도 너무 좋아요. 커플템으로 가능합니다,살짝 온 버핏에 재질도 너무 좋아요 커플 템으로 가능합니다, 재질,"가능하다, 버핏, 재질, 커플"
무난 그 자체 지퍼 투웨이가 편하고 좋네요 자주입어요,무난 그 자체 지퍼 투 웨이가 편하고 좋네요 자주 입어요, 무난,"무난, 자체, 지퍼, 편하다"
기장 어깨라인 핏 가장 이상적인 옷이라고 봅니다,기장 어깨라인 핏 가장 이상적인 옷이라고 봅니다,,"가장, 기장, 라인, 어깨, 이라고"
품이 커서 맨투맨 위에 입기도 괜찮고 코트나 패딩 안에 입기도 얇아서 좋아요,품이 커서 맨투맨 위에 입기도 괜찮고 코트나 패딩 안에 입기도 얇아서 좋아요, 얇다,"얇다, 위, 커서, 코트, 투맨, 패딩, 품"
생각 보다 얇구요 라지랑 엑스라지 두개 샀는데 라지가 적당하네여 제 키에는,생각 보다 얇고요 라지랑 엑스라지 두 개 샀는데 라지가 적당하네요 제 키에는,,"라지, 얇다, 에는, 엑스, 적당하다"
다양한 코디에 활용하기 좋아요! 옷 재질도 좋고 편안해서 자주 애용하고 있습니다 ㅎㅎ,다양한 코디에 활용하기 좋아요 옷 재질도 좋고 편안해서 자주 애용하고 있습니다," 코디,  활용,  재질","다양하다, 애용, 재질, 코디, 편안하다, 활용"
사이즈 적당하고 투웨이집업이라 더 예쁜거같아요,사이즈 적당하고 투 웨이 집업이라 더 예쁜 거 같아요, 사이즈,"사이즈, 적당하다, 집업"
욕심부려서 l사이즈 했는데 m사이즈해도 됐을거같아여..l사이즈는 단독으로 입었을때가 이쁘네용! 제가 가진 패딩이랑 같이 입기에는 길이가 애매하게 길어서 이상해요 ㅠㅠ흑흑,욕심부려서 l 사이즈 했는데 m사이즈 해도 됐을 거 같아요 l 사이즈는 단독으로 입었을 때가 이쁘네요 제가 가진 패딩이랑 같이 입기에는 길이가 애매하게 길어서 이상해요 흑흑, 이상하다,"길이, 단독, 사이즈, 애매하다, 이상하다, 패딩"
무난한 후드집업입니다 생각보다 짧아요 안에 먼지가 많이 있어서 털고 써야겠어요 집앞 나갈때 입는데 좋을거같아요,무난한 후드집업입니다 생각보다 짧아요 안에 먼지가 많이 있어서 털고 써야겠어요 집 앞 나갈 때 입는데 좋을 거 같아요,,"먼지, 무난, 써다, 집업, 짧다, 털다, 후드"
색감도좋고 재질도 좋고 핏도 이쁘고 아주 만족합니다. 숏패딩 안에 입으면 더 이쁜거 같아요.,색감도 좋고 재질도 좋고 핏도 이쁘고 아주 만족합니다 숏 패딩 안에 입으면 더 이쁜 거 같아요," 색감,  재질","만족하다, 색감, 재질, 패딩, 핏"
하나만 입든 같이 입든 너무 예쁩니다 핏도 너무 좋아요,하나만 입든 같이 입든 너무 예쁩니다 핏도 너무 좋아요,,"핏, 하나"
오버핏이라 핏 예쁘고 두께감도 은근 있어서 은근 따뜻함,온 버핏이라 핏 예쁘고 두께감도 은근 있어서 은근 따뜻함, 두께감,"두께감, 따뜻하다, 버핏, 은근"
생각보다 커요!!! 길이 별로 안 짧아요!!! L 고민했는데  제 키에 M이 좋은거 같아요 ! 핏도 딱이에요 ! 엉덩이 다 덮히는거 좋아하시면 L 하셔도 될거 같은데 품이 너무 커져서 핏이 이상할거 같아요 ! 그리고 생각보다 탄탄하진 않아서  입다보면 축 쳐질거 같은 느낌이 있어요 ! 배송 받자마자 할인하지만.. 그래도 행복..해..요,생각보다 커요 길이 별로 안 짧아요 L 고민했는데 제 키에 M이 좋은 거 같아요 핏도 딱이에요 엉덩이 다 덮이는 거 좋아하시면 L 하셔도 될 거 같은데 품이 너무 커져서 핏이 이상할 거 같아요 그리고 생각보다 탄탄하진 않아서 입다 보면 축 처질 거 같은 느낌이 있어요 배송받자마자 할인하지만 그래도 행복해요, 이상하다,"덮이다, 딱이다, 엉덩이, 이상하다, 처지다, 커지다, 크다, 탄탄하다, 핏, 할인, 행복하다"
엄청 잘 입고 다녔어요 아무 옷이나 다 잘 어울리는 기본템! 처음엔 기장이 짧다고 느꼈는데 계속 입다 보니 딱 좋아요,엄청 잘 입고 다녔어요 아무 옷이나 다 잘 어울리는 기본 템 처음엔 기장이 짧다고 느꼈는데 계속 입다 보니 딱 좋아요,,"기본, 기장, 느끼다, 어울리다, 처음"
이너로 입었는데 핏도 이쁘고 투웨이라서 코디하기 좋아요 질도 생각보다 너무 좋아서 완전 추천해요 저한테 낙낙해서 편하게 입었습니다!,이너로 입었는데 핏도 이쁘고 투 웨이라서 코디하기 좋아요 질도 생각보다 너무 좋아서 정말 추천해요 저한테 낙낙해서 편하게 입었습니다,,"이너, 질도, 추천, 코디, 편하다, 핏"
기본후드로 좋아여 레이어드 하기도 좋고 핏도 예쁘네요,기본 후드로 좋아요 레이어드하기도 좋고 핏도 예쁘네요, 후드,"기본, 레이어드, 핏, 후드"
여성에 맞는 사이즈였네요 와이프주고 XL재주문 들어갑니다 저한테도 맞긴한데 기장이 좀 짧아요ㅎㅎ,여성에 맞는 사이즈였네요 와이프 주고 XL 재주문 들어갑니다 저한테도 맞긴 한데 기장이 좀 짧아요," 주다,  들어가다,  기장,  사이즈","기장, 들어가다, 맞다, 사이즈, 여성, 와이프, 주다, 짧다, 테"
"패딩안에 이너로 입기 너무좋고, 기장도 딱이에요 두껍지도 않아서 정말좋아요",패딩 안에 이너로 입기 너무 좋고 기장도 딱이에요 두껍지도 않아서 정말 좋아요,,"기장, 두껍다, 딱이다, 이너, 패딩"
