Review,Processed_Review,common_keywords_all,common_keywords_3_plus
소재가 시원해서 저같이 땀 많이 흘리는 사람들 한테 좋은거 같아요,소재가 시원해서 저같이 땀 많이 흘리는 사람들한테 좋은 거 같아요," 소재,  사람","사람, 소재, 시원하다, 흘리다"
커버낫 기본템 좋네요 다른 브랜드 기본템은 너무 얇거나 아니면 목 마감이 안좋아서 금방 늘어나던데 요건 많이 입을 수 있을 것 같아요 가볍고 편해서 아주 맘에 듭니다!,커버나 기본 템 좋네요 다른 브랜드 기본 템은 너무 얇거나 아니면 목 마감이 안 좋아서 금방 늘어나던데 요건 많이 입을 수 있을 것 같아요 가볍고 편해서 아주 맘에 듭니다,,"가볍다, 기본, 늘어나다, 마감, 브랜드, 커버"
색상이랑 사이즈 다 좋아요. 옷감도 적당해서 여름에 잘 입을 것 같아요.,색상이랑 사이즈 다 좋아요 옷감도 적당해서 여름에 잘 입을 것 같아요, 사이즈,"사이즈, 색상, 여름, 옷감, 적당하다"
진짜 얇아요 얇은데 쫀쫀합니다 아직 세탁은 안해봐서 목이 잘 늘어나는지 아닌지는 모르는데 여름엔 이런 반팔이 꼭 필요한 것 같아요☀️,진짜 얇아요 얇은데 쫀쫀합니다 아직 세탁은 안 해봐서 목이 잘 늘어나는지 아닌지는 모르는데 여름엔 이런 반팔이 꼭 필요한 것 같아요,,"늘어나다, 모르다, 목, 세탁, 아니다, 얇다, 여름, 이렇다, 팔이, 필요하다"
사이즈 좋고 핏 매우 괜찮아요. 다른 색상도 있었으면 좋겠네요.,사이즈 좋고 핏 매우 괜찮아요 다른 색상도 있었으면 좋겠네요,,"사이즈, 색상"
심플 로고 하나로 가볍게 포인트주기 좋아요 사이즈 s기준 평상시 M 느낌나고 M사이즈입으면 L느낌날것같아요 ㅎㅎ,심플 로고 하나로 가볍게 포인트 주기 좋아요 사이즈 s 기준 평상시 M 느낌 나고 M사이즈 입으면 L 느낌 날 것 같아요,,"가볍다, 기준, 나다, 로고, 사이즈, 심플, 평상시, 포인트, 하나로"
가성비 매년 사고 있습니다 짱짱하니 너무 좋으요,가성비 매년 사고 있습니다 짱짱하니 너무 좋으오,,"가성비, 매년, 사고, 짱짱하다"
3년전에사서 잘입고 있고 사이즈 업해서 구매했어요 구김없고 반팔티중에 재질이 제일 좋아요 세탁후건조도 빠르고 이건 모~,년 전에 사서 잘 입고 있고 사이즈 업해서 구매했어요 구김 없고 반팔 티 중에 재질이 제일 좋아요 세탁 후 건조도 빠르고 이건 모, 재질,"건조, 구김, 사서, 사이즈, 이건, 재질, 전, 제일"
나쁘지않아요 운동할때나 집앞에 마실나갈때 등등 가볍게 입기 좋은 티셔츠입니당 재질 시원해서 마음에 드네요,나쁘지 않아요 운동할 때나 집 앞에 마실 나갈 때 등등 가볍게 입기 좋은 티셔츠입니다 재질 시원해서 마음에 드네요,,"가볍다, 말다, 시원하다, 운동, 재질, 티셔츠"
팔꿈치 위에가 아예 안 보일 정도의 핏은 아니에요. 디자인 이뻐요.,팔꿈치 위에 가 아예 안 보일 정도의 핏은 아니에요 디자인 이뻐요,,"디자인, 보이다, 아니다, 아예, 위, 팔꿈치, 핏"
여름에 입기 딱 좋은 두께에요 ㅎㅎ 부드러워서 피부에 거슬리는것도 없고 아주 만족합니다,여름에 입기 딱 좋은 두께에요 부드러워서 피부에 거슬리는 것도 없고 아주 만족합니다, 두께,"거슬리다, 두께, 만족하다, 부드럽다, 없다, 여름, 피부"
사이즈 넉넉하고 소재도 괜찮아요 학교에서 교복대용으로 입을거라서 무난하고 좋습니다,사이즈 넉넉하고 소재도 괜찮아요 학교에서 교복 대용으로 입을 거라서 무난하고 좋습니다, 소재,"교복, 넉넉하다, 대용, 라서, 무난, 사이즈, 소재, 학교"
재질도 나쁘지 않고 티 자체도 예쁘고 좋아요! 다만 aerocool? 옷이 훨씬 시원한 것 같아요 이 티셔츠는 하나도 시원하지않음ㅎ;;,재질도 나쁘지 않고 티 자체도 예쁘고 좋아요 다만 aerocool 옷이 훨씬 시원한 것 같아요 이 티셔츠는 하나도 시원하지 않음,,"나쁘다, 시원하다, 자체, 재질, 티셔츠, 하나"
시원합니닷. 꾸안꾸 깔끔. 어디든 어울리고 이너로도 좋아요. 여자 55인데 에스 딱 좋네욥. 하나 더 사러갑니다. 쿨코튼 중에 갑이에요.,시원합니다 꿈 안 꾸 깔끔 어디든 어울리고 이너로도 좋아요 여자인데 에스 딱 좋네욥 하나 더 사러 갑니다 쿨 코튼 중에 갑이에요,,"가다, 갑, 깔다, 끄다, 어울리다, 에스, 여자, 하나"
배송도 빠르고 잘입고 있습니다. 요즘에 입기에 정말 좋습니다,배송도 빠르고 잘 입고 있습니다 요즘에 입기에 정말 좋습니다,,"배송, 빠르다"
사이즈 넉넉하니 편하게 입기 좋아요 딱 기본티에요 재질 좋고 길이는 엉덩이 다 덮어줍니다 배송도 빨랐어요,사이즈 넉넉하니 편하게 입기 좋아요 딱 기본 티에요 재질 좋고 길이는 엉덩이 다 덮어줍니다 배송도 빨랐어요, 재질,"기본, 길이, 넉넉하다, 덮다, 배송, 빠르다, 사이즈, 엉덩이, 재질, 티, 편하다"
살짝  오버핏이라 커보였는데 입어보니 괜찮네요 원단도  너무 얇지 않고 톡톡한 원단이라 좋아요 저렴한 가격에 두벌이라니..  횡재했네요^^,살짝 온 버핏이라 커 보였는데 입어보니 괜찮네요 원단도 너무 얇지 않고 톡톡한 원단이라 좋아요 저렴한 가격에 두벌이라니 횡재했네요,,"가격, 라니, 벌이, 보이다, 원단, 입어보다, 저렴하다, 톡톡하다, 횡재"
요즘 커버낫 핫해서 기본 티로 두장 사봤는데 목 시보리짱짱하고 일자로 떨어지는 핏이라 넘넘 밈에듭니다,요즘 커버나 핫해서 기본 티로 두 장 사봤는데 목 시보리 짱짱하고 일자로 떨어지는 핏이라 넘넘 밈에 듭니다,,"기본, 떨어지다, 밈, 사보다, 시보리, 일자, 짱짱하다, 커버, 티, 핏, 핫"
XL입는데 L맞네요 재질은 매끄럽고 가벼워요  얇은편이나 비침은 없어요 구김도 적고요 추전합니다,XL 입는데 L 맞네요 재질은 매끄럽고 가벼워요 얇은 편이나 비침은 없어요 구김도 적고요 추전합니다, 가볍다,"가볍다, 구김, 맞다, 매끄럽다, 비침, 없다, 재질, 적다, 추다, 편이"
