Review,Processed_Review,common_keywords_all,common_keywords_3_plus
색 진짜 개이뻐요 편하게 질 입고 다닐수 있을것 같습니당!,색 진짜 개 이뻐요 편하게 질 입고 다닐 수 있을 것 같습니다,편하다,편하다
와이드 청바지중에 제일 마음에 들어요! 사이즈 고르기도 쉬웠어요 핏도 질도 너무 맘에들어요,와이드 청바지 중에 제일 마음에 들어요 사이즈 고르기도 쉬웠어요 핏도 질도 너무 맘에 들어요,,"고르다, 기도, 사이즈, 와이드, 제일, 질도, 청바지"
진짜 커요 어느정도냐면 동기가 보고 “저스틴비버야? 바지 곧 벗겨지겠다” ...고 했습니다... 그치만 핏도 제 스타일이고 디자인도 예뻐서 제 최애 청바지 됐어요ㅎㅎ,진짜 커요 어느 정도냐면 동기가 보고 저스틴 비버야 바지 곧 벗겨지겠다 고 했습니다 그렇지만 핏도 제 스타일이고 디자인도 예뻐서 제 최애 청바지 됐어요,,"디자인, 벗겨지다, 보고, 스타일, 이고, 저스틴, 청바지, 크다"
색상 너무 이쁘고요 기장감도 좋고 엄청 편합니다 잘입고 다닐게요,색상 너무 이쁘고요 기장감도 좋고 엄청 편합니다 잘 입고 다닐게요,,"기장감, 색상, 편하다"
"바지가 걍 진짜 완전 편해요 워싱도 예쁘고 완전 만족합니다.!!
사길 잘 한고 같아요",바지가 그냥 진짜 정말 편해요 워싱도 예쁘고 완전히 만족합니다 사길 잘 한고 같아요,,"그냥, 만족하다, 바지, 완전하다, 워싱, 편하다"
여름 팬츠에 걸맞은 얇은 두께감과 얇은 두께에 보다 뛰어난 워싱과 디테일들이 돋보이는 팬츠인거 같아요. 다만 핏이 워낙 오버핏이기에 감안하고 초이스하시면 될 것 같습니닷,여름 팬츠에 걸맞은 얇은 두께감과 얇은 두께에 보다 뛰어난 워싱과 디테일들이 돋보이는 팬츠인 거 같아요 다만 핏이 워낙 온 버핏이 기에 감안하고 초이스 하시면 될 것 같습니다,,"감안, 기에, 두께감, 얇다, 워낙, 초이스, 팬츠"
"배송 겁나 빨랐구요 포장도 꼼꼼해요!
받자마자 너무 이뻐서 와.. 소리나왔습니다
친구 추천으로 산건데 정말 너무 고맙네요
통은 적당히 넓어서 이쁘고
길이도 딱 이쁜? 정도고
두께도 그렇게 두껍진 않아서 여름에도 입을수 있을것같아요!
중간중간 포인트들도 너무 이뻐서 볼때마다 놀라요..
이 가격에 이정도면 가성비같아요!!",배송 겁나 빨랐고요 포장도 꼼꼼해요 받자마자 너무 이뻐서 와 소리 나왔습니다 친구 추천으로 산 건데 정말 너무 고맙네요 통은 적당히 넓어서 이쁘고 길이도 딱 이쁜 정도고 두께도 그렇게 두껍진 않아서 여름에도 입을 수 있을 것 같아요 중간중간 포인트들도 너무 이뻐서 볼 때마다 놀라요 이 가격에 이 정도면 가성비 같아요,,"적당하다, 추천"
"핏은 생각보다 예뻤고 바지 길이는 좀 길어요
허리 사이즈가 제가 입기엔 좀 큰 편입니다
예쁘게 잘 입고 있습니다",핏은 생각보다 예뻤고 바지 길이는 좀 길어요 허리 사이즈가 제가 입기엔 좀 큰 편입니다 예쁘게 잘 입고 있습니다,,"길이, 바지, 사이즈, 허리"
"바지 ㄹㅈㄷ 맘에듭니다
흐려서 오히려 더 좋네요
여름에 입고 다니기 좋을 것 같아요
집이 너무 더러워서 고양이 합성합니다",바지 맘에 듭니다 흐려서 오히려 더 좋네요 여름에 입고 다니기 좋을 것 같아요 집이 너무 더러워서 고양이 합성합니다,,"고양이, 더럽다, 여름, 합성, 흐리다"
오버핏 가려면 저처럼 사이즈 선택하시면 후회없어요~,오버핏 가려면 저처럼 사이즈 선택하시면 후회 없어요,,"가다, 사이즈, 선택, 없다, 오버핏, 처럼, 후회"
"필루미네이트에서 무진장으로 할인하길래 셔츠는 하나 더 사고 바지도 한번 구매해보자 해서 구매한 상품입니다! 죠습니다,,와이드하고 힙하고..조금 덥긴한데 좋습니다",필루미네이트에서 무진장으로 할인하길래 셔츠는 하나 더 사고 바지도 한번 구매해 보자 해서 구매한 상품입니다 죠습니다 와이드하고 히프하고 조금 덥긴 한데 좋습니다,,"무진장, 상품, 셔츠, 습니, 할인, 히프"
음 뭔가 기대 이하인 느낌....? ㅠㅠ 여름용 바지인건 알고 샀지만 데님이라기엔 너무 찰랑찰랑?한 재질인것 같아요 ㅠㅠ 얇아서 핏이 별루 안이뻐ㅡㅓ요ㅠㅜㅜ 그래도 입깈 할 것 같아요,음 뭔가 기대 이하인 느낌 여름용 바지인 건 알고 샀지만 데님이라기엔 너무 찰랑찰랑 한 재질인 것 같아요 얇아서 핏이 별로 안 이뻐요 그래도 입김 할 것 같아요,,"기대, 뭔가, 바지, 별로, 알, 얇다, 여름, 이하, 입김, 재질"
