Review,Processed_Review,common_keywords_all,common_keywords_3_plus
"너무 예뻐요 근데 예뻐서 그런가 밖에 나가면 10명 준 한명은 입고 있더라고여ㅠ 그래도 만족하면서 입고 있어요 비싸서 그런가 재질도 좋고, 빨래해도 변형없이 아주 좋아요! 잦수가 아니고 프린팅인데 많이 빨래해도 프린팅된게 변형없어질 그런 느낌입니당",너무 예뻐요 근데 예뻐서 그런가 밖에 나가면 명 준 한 명은 입고 있더라고요 그래도 만족하면서 입고 있어요 비싸서 그런가 재질도 좋고 빨래해도 변형 없이 아주 좋아요 잦소가 아니고 프린팅인데 많이 빨래해도 프린팅된 게 변형 없어질 그런 느낌입니다,,"런가, 변형, 비싸다, 빨래, 재질, 프린팅"
엄청 이뻐요 가격도 싸게 구매 해서 좋습니다 재질도 좋아요,엄청 이뻐요 가격도 싸게 구매해서 좋습니다 재질도 좋아요, 재질,"가격, 싸다, 재질"
색감 화면과 또같다 배송도 엄청 빠르고 가격도 너무 괜찮고 디자인은 너무 이뻐여요 세탁하고 봤는데 색깔 안 빠져졌어용 너무 좋아여,색감 화면과 또 같다 배송도 엄청 빠르고 가격도 너무 괜찮고 디자인은 너무 이뻐 요요 세탁하고 봤는데 색깔 안 빠져졌어요 너무 좋아요," 배송,  화면","가격, 디자인, 배송, 색감, 색깔, 세탁, 화면"
이쁜 프린팅이 과하지 않게 있어서 어느 바지와도 잘 어울립니다,이쁜 프린팅이 과하지 않게 있어서 어느 바지와도 잘 어울립니다,,"바지, 어울리다, 프린팅"
좀 길긴한데 예뻐서 그냥 입어요 긴거 빼면 핏도 좋고 다 마음에 듬,좀 길긴 한데 예뻐서 그냥 입어요 긴 거 빼면 핏도 좋고 다 마음에 듦,,"그냥, 길다, 빼다, 핏"
반팔 최애옷으로 등극! 프린팅도 이쁘고 너무 좋아요,반팔 최애 옷으로 등극 프린팅도 이쁘고 너무 좋아요,,"최애, 팔, 프린팅"
배송도 빠르고 사진이랑 똑같아요 프린팅이 예뻐서 좋아요,배송도 빠르고 사진이랑 똑같아요 프린팅이 예뻐서 좋아요," 사진,  배송","똑같다, 배송, 빠르다, 사진, 프린팅"
오버핏으로 딱이고 정말 이쁜거 같아요 !! 두께도 적당합니다 ,온 버핏으로 딱이고 정말 이쁜 거 같아요 두께도 적당합니다,,"두께, 딱이다, 버핏, 적당하다"
잘입겠습니다.예쁘네요 좋아요.스티일이 좋아요.,잘 입겠습니다 예쁘네요 좋아요 스타일이 좋아요,,스타일
로고가 눈에 확 띄구 반팔만 입어도 예쁜 느낌이 나여~,로고가 눈에 확 띄고 반팔만 입어도 예쁜 느낌이 나여,,"눈, 띄다, 로고, 팔만"
디자인도 디자인인데 옷재질이 다른 옷들과 다른 재질입니다 편하고 부드럽고 가격 까지 완벽했어요 ,디자인도 디자인인데 옷 재질이 다른 옷들과 다른 재질입니다 편하고 부드럽고 가격까지 완벽했어요, 가격,"가격, 디자인, 부드럽다, 완벽하다, 재질, 편하다"
오버핏이라 많이 크긴한데 예뻐요 프린팅이 시원해보이고 좋아용,온 버핏이라 많이 크긴 한데 예뻐요 프린팅이 시원해 보이고 좋아요,,"버핏, 보이, 시원하다, 크다, 프린팅"
제품 받자마자 너무 예뻐서 놀랐구요 봄 여름 가을 언제나 잘 입을 수 있을 것 같아요,제품 받자마자 너무 예뻐서 놀랐고요 봄여름 가을 언제나 잘 입을 수 있을 것 같아요,,"가을, 받다, 여름, 제품"
옷 재질도 부들부들해서 입을때마다 너무 좋구요 앞에 하트 프린팅 때문에 옷이ㅜ더 예뻐보이는 것 같아요,옷 재질도 부들부들해서 입을 때마다 너무 좋고요 앞에 하트 프린팅 때문에 옷이 더 예뻐 보이는 것 같아요, 재질,"때문, 보이다, 부들부들하다, 재질, 프린팅, 하트"
디자인도 예쁘고 옷이 두껍지 않아서 좋았습니다 ,디자인도 예쁘고 옷이 두껍지 않아서 좋았습니다,,"두껍다, 디자인"
생각보다 사이즈가 좀 컸던거 같아요 ! 색감은 화면이랑 똑같고 세탁 후 변형은 따로 없는거 같아요오 배송 빠르고 옷도 너무 이쁩니당,생각보다 사이즈가 좀 컸던 거 같아요 색감은 화면이랑 똑같고 세탁 후 변형은 따로 없는 거 같아요 오 배송 빠르고 옷도 너무 이쁩니다, 세탁,"똑같다, 배송, 변형, 사이즈, 색감, 세탁, 크다, 화면"
무게는 매우 가볍고 디자인이 매우 예쁩니다 다른 바지와 매치해도 잘어울려요,무게는 매우 가볍고 디자인이 매우 예쁩니다 다른 바지와 매치해도 잘 어울려요, 디자인,"가볍다, 디자인, 매치, 무게, 바지, 어울리다"
선물로 산건데 맘에 들어하네요 아이가 입은거라 기장이 좀 기네요 너무 얇지도 두껍지도 않아요,선물로 산 건데 맘에 들어 하네요 아이가 입은 거라 기장이 좀 기네요 너무 얇지도 두껍지도 않아요,,"건데, 기네, 기장, 선물, 얇다"
