Review,Processed_Review,common_keywords_all,common_keywords_3_plus
남편한테 잘어울릴거같아서구매했는데 너무 만족합니다 네이비 아이보리로 삿는데 탁월한 선택이었으요 한달쨰 교복처럼 입고다닙니다 세탁기 건조기까지 항상 돌리는데 줄어드는것도 없어서 너무 만족하고 특이나 보풀도 없어서 너무 좋아요 다른색상도 구입할까 고민중입니다 긴팔 바전도 나오면  가을에 입기 딱일거같아요,남편한테 잘 어울릴 거 같아서 구매했는데 너무 만족합니다 네이비 아이보리로 샀는데 탁월한 선택이었어요 한 달째 교복처럼 입고 다닙니다 세탁기 건조기까지 항상 돌리는데 줄어드는 것도 없어서 너무 만족하고 특이나 보풀도 없어서 너무 좋아요 다른 색상도 구입할까 고민 중입니다 긴팔 발전도 나오면 가을에 입기 딱일 거 같아요,,"건조기, 교복, 만족하다, 발전, 색상, 세탁기, 처럼"
옷재질도 좋아보이고 정말 맘에드네요 근데 옷이좀 두꺼워서 한여름엔 더울거 같아요 그거 빼곤 만족입니다,옷 재질도 좋아 보이고 정말 맘에 드네요 근데 옷이 좀 두꺼워서 한여름엔 더울 거 같아요 그거 빼곤 만족입니다, 한여름,"덥다, 두껍다, 만족, 보이, 재질, 한여름"
출근용으로 샀습니다 니트로 되어있는데 전 맨살에는 안입고 하나 겹쳐입어요 붙는건 모르겠고 가볍네여,출근용으로 샀습니다 니트로 되어있는데 전 맨살에는 안입고 하나 겹쳐 입어요 붙는 건 모르겠고 가볍네요,,"가볍다, 니트로, 되어다, 모르다, 붙다, 살, 에는, 출근, 하나"
옷 핏을 일부러 딱 맞게 입고 싶어서 m사이즈를 골랐는데 생각한 핏이 나와서 아주 만족해요 옷도 예쁘고 좋습니당,옷 핏을 일부러 딱 맞게 입고 싶어서 m사이즈를 골랐는데 생각한 핏이 나와서 아주 만족해요 옷도 예쁘고 좋습니다,,"고르다, 나오다, 만족하다, 맞다, 사이즈, 핏"
가격대비 가성비 좋아요 색상도 화면과 동일하고 사이즈는 정치수 전 너무 만족합니다,가격 대비 가성비 좋아요 색상도 화면과 동일하고 사이즈는 정치수 전 너무 만족합니다," 가격,  사이즈","가격, 가성비, 대비, 동일하다, 만족하다, 사이즈, 색상, 화면"
가성비 있게 자주 입을수 있어서 너무너무 좋아요,가성비 있게 자주 입을 수 있어서 너무너무 좋아요,가성비,가성비
이쁘고 핏좋고 말해 뭐합니까 그냥 사세요 추천합니다,이쁘고 핏좋고 말해 뭐 합니까 그냥 사세요 추천합니다,,"그냥, 말, 추천, 핏좋, 합"
세일할 때 사서 너무 좋게 입고있네요 정말 이 가격에 이정도라면 무조건 구매하세요,세일할 때 사서 너무 좋게 입고 있네요 정말 이 가격에 이 정도라면 무조건 구매하세요, 세일,"가격, 라면, 무조건, 사서, 세일"
생각보다 부드럽고 예쁩니다 많이 덥지 않게 입을수 있을것 같습니다 감사합니다,생각보다 부드럽고 예쁩니다 많이 덥지 않게 입을 수 있을 것 같습니다 감사합니다,,"덥다, 부드럽다"
다른 색상 예전에 구매한 경험이 있어서 너무 만족스러워서 이번에도 샀어요 역시 잘 빠졌어요,다른 색상 예전에 구매한 경험이 있어서 너무 만족스러워서 이번에도 샀어요 역시 잘 빠졌어요, 색상,"경험, 만족스럽다, 빠지다, 색상, 예전"
역시 니트맛집이라서 그런거 좋네료 앞으로도 사용할듯,역시 니트 맛집이라서 그런 거 좋네요 앞으로도 사용할 듯,,"그렇다, 니트, 맛집, 사용, 앞, 으로도"
가격저렴하고 좋아요 두개나 사서 동생이 좋아해요,가격 저렴하고 좋아요 두 개나 사서 동생이 좋아해요,,"가격, 개, 동생, 사서, 저렴하다, 좋아하다"
제품 잘 받았습니다 쉐입도 괜찮고 재질도 좋습니다,제품 잘 받았습니다 세입도 괜찮고 재질도 좋습니다,,"받다, 세입, 재질, 제품"
가격대비 최고입니다 재질도 좋고 옷도 너무 이쁘구요,가격 대비 최고입니다 재질도 좋고 옷도 너무 이쁘고요,,"가격, 대비, 재질, 최고"
색깔이 예쁘고 마음에 들어요 다음에 재구매할 의사있음,색깔이 예쁘고 마음에 들어요 다음에 재구매할 의사 있음, 색깔,"색깔, 의사, 재다"
사이즈도 적당하고 핏도 생각한처럼 나와서 좋습니다,사이즈도 적당하고 핏도 생각 하나처럼 나와서 좋습니다,,"나오다, 사이즈, 적당하다, 핏, 하나"
몸에 잘맞고 이쁘네요 색깔 잘 고른거같아요 블랙은 팔밑단이 더 좁고 팔통은 더 커서 이상하네요,몸에 잘 맞고 이쁘네요 색깔 잘 고른 거 같아요 블랙은 팔 밑단이 더 좁고 팔 통은 더 커서 이상하네요, 색깔,"고르다, 몸, 밑단, 블랙, 색깔, 이상하다, 좁다, 커서"
가격대비 신축성도 좋음 트렌드에 맞는 이쁜 반팔티,가격 대비 신축성도 좋음 트렌드에 맞는 이쁜 반팔 티,,"가격, 대비, 맞다, 성도, 신축, 트렌드, 팔"
사이즈도 딱 잘 맞고 색도 이쁘고 편해서 잘 입었어요,사이즈도 딱 잘 맞고 색도 이쁘고 편해서 잘 입었어요,,"맞다, 사이즈, 색도, 편하다"
확실히 디자인이 이쁘고 생각보단 짱짱합니다 다만 조금 오버핏 느낌이라 약간 입을수록 처지는게 느껴져 아쉽습니다,확실히 디자인이 이쁘고 생각보단 짱짱합니다 다만 조금 오버핏 느낌이라 약간 입을수록 처지는 게 느껴져 아쉽습니다," 디자인,  짱짱하다","디자인, 보단, 아쉽다, 오버핏, 짱짱하다, 확실하다"
여름에 잘 입었어요 부들부들해서 맨살에 입어도 좋아요,여름에 잘 입었어요 부들부들해서 맨살에 입어도 좋아요,,"부들부들하다, 살, 여름"
옷 예쁘고 입기 좋은 거 같아요 두벌인데 이 가격이면 싸네요,옷 예쁘고 입기 좋은 거 같아요 두벌인데 이 가격이면 싸네요, 싸다,"가격, 벌, 싸다"
두깨도 좋고 색도 잘 나와서 좋은거 같아요 많이 입을거 같아요,두께도 좋고 색도 잘 나와서 좋은 거 같아요 많이 입을 거 같아요,,"나오다, 두께, 색도"
재질도 너무너무 놓고 입는데 태가 너무 잘나요 또 살게요,재질도 너무너무 놓고 입는데 태가 너무 잘 나요 또 살게요, 재질,"나요, 놓다, 살다, 재질, 태"
잘 입고 다니고 있어요 마르신 분들이 잘 어울릴듯,잘 입고 다니고 있어요 마르신 분들이 잘 어울릴 듯,,"마르다, 어울리다"
가성비 최고네요 옷 재질도 좋고 색감도 이쁩니다,가성비 최고네요 옷 재질도 좋고 색감도 이쁩니다, 재질,"가성비, 색감, 재질, 최고"
친구한테 선물했는데 너무 좋아해서 덕분에 저도 뿌듯했습니당,친구한테 선물했는데 너무 좋아해서 덕분에 저도 뿌듯했습니다, 선물,"덕분, 뿌듯하다, 선물, 좋아하다, 친구"
핏이 예쁘고 적당한 두께의 소재를 사용해 여름에 걸치기 좋음 단추 달린 것과 없는 것 두 개를 주문했지만 개인적으론 단추가 달린 게 더 마음에 든다,핏이 예쁘고 적당한 두께의 소재를 사용해 여름에 걸치기 좋음 단추 달린 것과 없는 것 두 개를 주문했지만 개인적으론 단추가 달린 게 더 마음에 든다, 소재,"개인, 단추, 사용, 소재, 으론, 적당하다, 주문"
생각 했던 거 보다 실물이 더 이쁘네요 잘 입겠습니다,생각했던 거 보다 실물이 더 이쁘네요 잘 입겠습니다,실물,실물
기본적으로 꾸며입기 좋고 데이트할때 입기 좋아요,기본적으로 꾸며입기 좋고 데이트할 때 입기 좋아요,,"기본, 꾸미다, 데이트"
색깔도 너무이쁘고 핏도 원하던 핏이라 좋았어요,색깔도 너무 이쁘고 핏도 원하던 핏이라 좋았어요,,"색깔, 원하다, 핏"
생각보다 시원하고 편해서 만족합니다 빠른 배송 잘받앗습니다,생각보다 시원하고 편해서 만족합니다 빠른 배송 잘 받았습니다,,"만족하다, 받다, 배송, 빠르다, 시원하다, 편하다"
올 여름에 산 반팔중에서는 제일 잘입었습니다 핏하지도 않고 펑퍼짐 하지 않아서 출근할 때 슬랙스나 청바지에 입고 잘 다녔습니다,올여름에 산 반팔 중에서는 제일 잘 입었습니다 피하지도 않고 펑퍼짐하지 않아서 출근할 때 슬랙스나 청바지에 입고 잘 다녔습니다, 슬랙스,"슬랙스, 올여름, 제일, 청바지, 출근, 팔, 펑퍼짐하다, 피하"
여름에 깔끔하게 입기 좋은데 기장이 조금만 더 길었음 움직일때 신경이 덜 쓰일듯,여름에 깔끔하게 입기 좋은데 기장이 조금만 더 길었으면 움직일 때 신경이 덜 쓰일 듯, 기장,"기장, 길다, 깔끔하다, 신경, 쓰이다, 여름, 움직이다"
