Review,Processed_Review,common_keywords_all,common_keywords_3_plus
제품 너무좋습니다. 소재가 앏고 시원해서 초여름에 입기에도 너무 좋은 제품입니다 사이즈는 정사이즈로 평소 xl입는데 아주 잘 맞습니다  가격도 저렴해서 강추하는 제품입니다 검정 블레이저로 너무 좋은 제품입니다,제품 너무 좋습니다 소재가 알고 시원해서 초여름에 입기에도 너무 좋은 제품입니다 사이즈는 정 사이즈로 평소 xl 입는데 아주 잘 맞습니다 가격도 저렴해서 강추하는 제품입니다 검정 블레이저로 너무 좋은 제품입니다," 소재,  사이즈","xl, 가격, 강추, 검정, 사이즈, 소재, 저렴하다, 제품, 초여름, 평소"
무탠다드는 믿고 사는 제품이죠 셋업이 필요하여 상하의 세트로 구매했어요,문탠 다 드는 믿고 사는 제품이죠 셋업이 필요하여 상하의 세트로 구매했어요," 문탠,  셋업,  세트,  살다","문탠, 믿다, 살다, 상하, 세트, 셋업, 제품, 필요하다"
생각 보다 작아요!! 한치수 크게 사는 거 추전이하겠습니다,생각 보다 작아요 한 치수 크게 사는 거 추전이 하겠습니다," 작다,  살다,  치수,  크게","살다, 작다, 치수, 크게"
핏 자체기 펑퍼짐하고 오버핏이 아니라 걍 뚱뚱한 할아버지 정장 몰래 입은 st ,핏 자체기 펑퍼짐하고 온 버핏이 아니라 그냥 뚱뚱한 할아버지 정장 몰래 입은 st, 정장,"st, 그냥, 뚱뚱하다, 몰래, 버핏, 아니다, 자체, 정장, 펑퍼짐하다, 할아버지"
세미정장느낌으로 입어도 좋고 캐쥬얼하게 데님이랑 깉이 매치하면 예쁜 것 같습니다,세미 정장 느낌으로 입어도 좋고 캐주얼하게 데님이랑 깉이 매치하면 예쁜 것 같습니다,,"깉, 데님, 매치, 세미, 정장, 캐주얼"
쿨탠다드로 구입하니 확실히 시원하긴해요 하지만 한여름엔 힘듭니다,쿨탠다드로 구입하니 확실히 시원하긴 해요 하지만 한여름엔 힘듭니다,,"시원하다, 한여름, 확실하다, 힘드다"
시원하게 잘 입고 있어요. 출퇴근할때 입기 좋아요,시원하게 잘 입고 있어요 출퇴근할 때 입기 좋아요,,"시원하다, 출퇴근"
얇아서 여름에 입어도 좋을듯 합니다! 특히 배송이 빨라서 좋았어요,얇아서 여름에 입어도 좋을듯합니다 특히 배송이 빨라서 좋았어요, 여름,"라서, 배송, 얇다, 여름, 특히"
원단이 얇아서 시원하고 약간 오버핏이라 입었을 때 편합니다. 셋업으로 입어도 되고 다른 바지와 입어도 이쁠거같아요.,원단이 얇아서 시원하고 약간 온 버핏이라 입었을 때 편합니다 셋업으로 입어도 되고 다른 바지와 입어도 이쁠 거 같아요," 셋업,  얇다,  편하다","바지, 버핏, 셋업, 얇다, 원단, 편하다"
무난하고 싸고 좋아요 가성비 최고 무탠다드입니다,무난하고 싸고 좋아요 가성비 최고 무탠다드입니다," 최고,  가성비","가성비, 무난, 싸다, 최고"
"무탠다드 매장에서 입어보고 구매하였는데, 한 여름에는 덥겠지만 그 외에는 충분히 범용성 넓게 입을 수 있습니다.  감사합니다.",무탠다드 매장에서 입어보고 구매하였는데 한 여름에는 덥겠지만 그 외에는 충분히 범용성 넓게 입을 수 있습니다 감사합니다, 여름,"덥다, 매장, 범용, 여름, 외, 입어보다, 충분하다"
