Processed_Review,keyword
제품 자체는 마음에 듭니다 다만 비닐 포장에 떼다 남은 스티커 자국과 라벨은 옷과 분리된 상태로 들어 있어 새 상품이 아닌 것 같은 느낌이 들더군요 이런 부분 신경 써 주셨으면 합니다,"아니다, 상품, 신경, 이렇다, 자체"
에 키로 S사이즈가 정말 딱입니다 M부터는 너무 큽니다 강력 추천합니다,"추천, 크다, 사이즈, 강력, 딱이다"
사길 잘한 것 같아요 디자인이 예쁘고 핏도 예쁘네요,"디자인, 자다, 핏"
빠른 배송 너무 좋았습니다 옷은 사이즈 넉넉해서 루스하게 입기 좋네요,"넉넉하다, 사이즈, 배송, 루스, 빠르다"
원하던 핏과 기장감입니다 간절기에 입으면 딱일 것 같고 멋스러운 워크 재킷이네요,"간절기, 기장감, 원하다, 워 크다, 핏, 멋, 딱이다, 재킷"
다른 제품들은 세탁하고 나면 색상이 쉽게 빠지는 단점이 있던 반면에 여기 제품은 색상이 세탁하고 나서 빠지지 않아서 정말 좋네요 주변 지인들에게도 추천 많이 했는데 다들 좋아하네요,"단점, 지인, 색상, 세탁, 제품, 반면, 나서다"
편한 거 같아서 일단 좋아요 편하게 입고 다닐게요,"편하다, 편하다"
한 사이즈 다운 추천합니다 많이 크지 않아서 좋아요,"추천, 사이즈, 크다, 다운"
스타일링 하기 너무 좋고 툭 걸치기만 해도 멋 납니다,"걸치다, 스타 일링, 나다, 해도"
온 버핏이라 크게 나오네요 평소 사이즈인데도 크네요,"크다, 크게, 사이즈, 나오다, 평소, 버핏"
이뿝니다 이쁘고요 이뻐요 배송도 빠르고 실물이 더 이부네요,"이부, 실물, 배송, 이뿌다, 빠르다"
디자인이 단조롭지 않으면서 너무 튀지도 않는 것이 정말 좋습니다 제 신체 사이즈에도 잘 맞고요 좋은 옷 감사합니다,"단조롭다, 사이즈, 디자인, 신체, 튀다"
생각보다 크긴 큽니다 작은 체격은 아닌데 M사이즈도 살짝 온 버핏이네요 소매는 접으면 딱 맞네요 가볍게 입기 좋을 것 같습니다 이쁘네요 근데 군데군데 마감이 살짝 아쉽습니다,"사이즈, 마감, 아니다, 크다, 소매, 접다, 가볍다, 군데군데"
간편하게 걸쳐 입기 좋을 거 같아요 아직 입을 시기가 아니지만 미리 구매했어요 좋으면 나중에 리넨 버전도 구입 예정입니다,"간편하다, 걸치다, 버전, 시기, 나중, 아니다"
많이 커서 스몰로 주문했고 잘 맞습니다 민족 합니다,"커서, 민족, 스몰, 주문, 맞다"
cm 키에 전체 기장이 기나 폭 싸이는 편안한 느낌을 원해서 전 만족합니다,"만족하다, 기장, 편안하다, 원하다, 싸이다, 전체, 키"
너무 마음에 들어요 편해요 잘 구매한 것 같아요 또 구매의사 있어요,"의사, 편하다"
