Review,Processed_Review,keyword
워싱정도나 핏 기장 모두다 맘에드는 바지라서 자주입고다닙니다.,워싱 정도나 핏 기장 모두 다 맘에 드는 바지라서 자주 입고 다닙니다,"라서, 워싱, 기장, 바지"
"착용감 디자인 마음에들어요 
다른색상도  구매하고 싶네요",착용감 디자인 마음에 들어요 다른 색상도 구매하고 싶네요,"착용, 하고, 디자인, 색상"
"마르신분들은 허리가 생각보다 커서 놀라실수도있습니다
하지만 바지는 너무 만족스러운👍👍",마르신 분들은 허리가 생각보다 커서 놀라실 수도 있습니다 하지만 바지는 너무 만족스러운,"수도, 마르다, 만족스럽다, 커서, 허리, 바지"
"예뻐요 워싱도 적당하고 귀여움
크긴 한데 오히려좋습니다",예뻐요 워싱도 적당하고 귀여움 크긴 한데 오히려 좋습니다,"적당하다, 워싱, 크다"
통이 생각보다 큰데 편해서 좋아요 여름에도 입을만 할듯,통이 생각보다 큰데 편해서 좋아요 여름에도 입을만할 듯,"편하다, 여름, 크다"
후들후들한 면이고 엄청 크지만 예상했던 핏이라 맘에들어요,후들후들한 면이고 엄청 크지만 예상했던 핏이라 맘에 들어요,"예상, 이고, 크다"
굳굳 허리 끼긴하지만 입기좋고 허뚱이에게 강추,굳굳 허리 끼긴 하지만 입기 좋고 허뚱이에게 강추,"굳다, 허뚱이, 끼다, 강추, 허리"
바지 확실하게 통 넓은 바지 원하신ㅡㄴ분에개 추찬합니다!!,바지 확실하게 통 넓은 바지 원하신 분에 개 추천합니다,"확실하다, 바지, 넓다, 원하다, 추천"
"정말 아무옷이나 다 잘어울리고 지금까지
샀던 바지중 최고에요",정말 아무 옷이나 다 잘 어울리고 지금까지 샀던 바지 중 최고예요,"최고, 이나, 어울리다, 바지"
생각보다 착용감이 편해서 평상시 아무 때나 입고 다니기 너무 좋아요,생각보다 착용감이 편해서 평상시 아무 때나 입고 다니기 너무 좋아요,"평상시, 착용, 편하다"
정말 편하기도하고 이쁘고 봏아서 자주 입고있습니다,정말 편하기도 하고 이쁘고 봏아서 자주 입고 있습니다,"봏아, 편하다"
사이즈가 생각보다 크긴한데 그래도 핏이 예쁘고 입기 좋습니다,사이즈가 생각보다 크긴 한데 그래도 핏이 예쁘고 입기 좋습니다,"사이즈, 크다"
색감이 너무 예쁘고 핏이 좋았습니다!! 기장이 살짝 긴 감이 없지않아 있는데 그래도 만족합니다,색감이 너무 예쁘고 핏이 좋았습니다 기장이 살짝 긴 감이 없지 않아 있는데 그래도 만족합니다,"없다, 만족하다, 기장, 색감"
인기 있는데엔 이유가 있습니다. 고민하지말고 사세요!!,인기 있는 데엔 이유가 있습니다 고민하지 말고 사세요,"말고, 인기, 이유, 고민"
옷이 이쁜데 약간은 무거운면도 있어요 가을 겨울에 입으면 따뜻할거같네요,옷이 이쁜데 약간은 무거운 면도 있어요 가을 겨울에 입으면 따뜻할 거 같네요,"면도, 따뜻하다, 무겁다, 가을, 겨울"
"색감도 넘넘 예쁘고 바지에 들어간 포인트들도 최고..
저만 입게 아무도 사지 말아주세요.",색감도 넘넘 예쁘고 바지에 들어간 포인트들도 최고 저만 입게 아무도 사지 말아 주세요,"넘다, 줄다, 저만, 사지, 최고, 들어가다, 포인트, 색감, 바지"
바지 예쁘고 색감도 시원하이 예쁘고 좋아여 재질도 좋았어요,바지 예쁘고 색감도 시원 하이 예쁘고 좋아요 재질도 좋았어요,"시원, 하이, 재질, 색감, 바지"
생각보다 얇아서 여름에 입기에 너무 좋았습니다!,생각보다 얇아서 여름에 입기에 너무 좋았습니다,"얇다, 여름"
한달동안 제일 많이 입었어요..ㅋㅋ진짜 핏 개이쁨 ㅠ 회사 동료도 이쁘다고 칭찬해줬어요!,한 달 동안 제일 많이 입었어요 진짜 핏 개이쁨 회사 동료도 이쁘다고 칭찬해 줬어요,"동료, 회사, 칭찬, 주다, 제일"
