Processed_Review,keyword
배송 빠르네요 옷걸이까지 포함되어 있어서 죠습니다,"습니, 배송, 포함 되어다, 걸이, 빠르다"
마뗑킴 올가을에 입으려고 빨리 구입함 비니 모자랑 찰똑일듯,"모자, 함, 올가을, 찰똑, 마뗑킴, 비니"
빠른 배송에 빠른 교환처리 맘에 들어요 세일 중에 구매해서 가격도 맘에 들고 그런데 세일이 이제 끝났네요,"교환 처리, 배송, 세일, 세일, 가격, 이제, 중"
세일해서 잘 구매했는데 자크가 불량으로 와서 다시 교환 그래도 빨리 처리해 주셔서 괜찮아요 세일이 끝났네요,"세일, 처리, 주다, 자크, 세일, 오다, 교환, 다시"
가을 준비일 겸 구매했어요 저렴하게 잘 샀어요 감사합니다,"저렴하다, 준비 일, 가을"
배송도 삐어고 인터넷 최저리고 저렴하게 잘 샀어요,"저렴하다, 배송, 최저, 인터넷, 삐"
정말 예쁩니다 사이즈도 딱 맞고 가을이 오면 입으려고 해요,"사이즈, 오다, 가을, 맞다"
마뗑킴 윈드브레이커 유명하고 많이 입는 만큼 이쁩니다,"유명하다, 윈드브레이커, 마뗑킴"
좋은 가격에 이쁜 아이템 구매해서 기분 좋아요 환절기에 입으려고 구매한 건데 얼른 시원해지면 좋겠네요,"시원하다, 환절기, 가격, 얼른, 아이템, 기분"
디자인은 너무 이뻐서 크게 고민 없이 구매했습니다 정상가격보다 저렴하게 할인해서 팔아서 좋은 가격에 구매한 거 같아요 이제 조금 지나면 환절기라 감기 안 걸리려면 필수 템인 거 같습니다,"정상 가격, 할인, 걸리다, 환절기, 저렴하다, 디자인, 파다, 가격, 이제"
너무 맘에 들어요 세일할 때 사서 저렴하게 구매 팼습니다 구매하고 나니 가 걱 올랐네요 다행 잘 입겠습니다 전 냄새도 마니 안 나요,"말다, 냄새, 나니, 사서, 저렴하다"
핏도 이쁘고 재질도 마음에 들고 싸게 잘 샀습니다,"재질, 싸다, 핏"
눈팅만하다가 여행 계획 있어서 질렀어요 왜 고민했나 싶어요 너무 맘에 들어요,"눈팅 만하 다가, 여행, 지르다, 싶다, 고민, 계획"
잘 먹고 있습니다 신선해서 먹기도 편하네 정말 괜찮은,"신선하다, 먹기, 먹다, 편하다"
작지 않을까 걱정했는데 딱 맞고 생각보다 따뜻해요,"작다, 맞다, 따뜻하다, 걱정"
고민할 시간이 아까울 정도로 너무 맘에 들어요 얇은 비닐 같은 싸구려 느낌 날까 봐 걱정했는데 진짜 싼 티 도 안 나요 적절한 광택에 생각했던 거보다 엄청 얇지도 않더라고요 어깨라인 팔 라인에 흰색 스티치가 포인트임 이 옷은 화면보단 실물이 훨씬 더 이쁨,"스티치, 실물, 흰색, 화면, 고민, 적절하다, 광택"
진짜 너무 예쁩니다 온 버핏으로 입기 너무 좋아요 색도 이쁘고 핏도 잘 나와서 만족해요,"만족하다, 나오다, 색도, 버핏, 핏"
매번 사야지 사야지 하고 있었는데 할인하길래 바로 구매했는데 사이즈도 컬러도 아주 만족,"할인, 만족, 사이즈, 컬러"
온 버핏으로 라인도 이쁘고 재질도 특이한 게 이뻐요,"라인, 재질, 특이하다, 버핏"
딱 이쁘게 박시한 핏이고 생각보다 많이 튀지 않아요 너무 이쁩니다 왜 이제 샀지,"박시, 이제, 핏, 튀다"
배송도 빠르고 제품의 마감 처리도 좋았음 핏은 뭐 말할 것도 없고 간절기 때 합하게 입고 다닐 수 있을 듯,"말, 간절기, 배송, 마감, 처리, 합, 핏"
진짜 안 입은 것처럼 너무너무 가 벼와서 맘에 쏙 들어요,벼 서다
조금 크지만 또 그런 맛에 입는 거니까 괜찮더라고요,"크다, 그렇다, 맛"
가격 빼고는 다 만족합니다 박시하게 잘 입을 거 같아요,"만족하다, 박시, 가격, 빼다"
맘에 들어요 바람막이로 샀는데 바람막이보다는 약간 두껍긴 하지만 건지나 게 잘 입을 거 같아요,"바람막이, 바람막이, 건지다, 두껍다"
사길 잘한 것 같아요 배송도 빠르고 만족스러웠어요,"배송, 자다, 빠르다, 만족스럽다"
마뗑킴 재킷 사고 싶었는데 무신사에서 할인행사해서 저렴히 득했어요 사이즈 넉넉하네요 재질이 좋아요,"할인 행사, 사, 사이즈, 재질, 넉넉하다, 저렴하다, 사고, 재킷, 싶다"
남자가 입기에도 좋습니다 지금은 좀 그렇지만 가을 넘어갈 때 딱일 듯,"넘어가다, 남자, 가을, 딱이다"
실물이 살짝 비닐 같은 느낌이에요 이쁘긴 한데 포장이 조금 아쉬웠어요 그래도 잘 산 것 같아요,"실물, 포장, 비닐, 아쉽다"
세일할 때 아웃렛보다 저렴한 가격에 구매했어요 가을에 입으려구요,"구, 세일, 저렴하다, 가격, 가을, 아웃렛"
바람막이로도 좋고 여러모로 편하게 입기 너무 좋습니다,"모로, 바람막이, 편하다"
디자인 너무 예쁜데 제가 키가 작아서 너무 오버핏 느낌이긴 해요 바지를 잘 맞춰 입으면 그래도 커버 가능할 정도라서 괜찮습니다,"작다, 바지, 디자인, 가능하다, 커버, 키"
너무 사고 싶어서 계절감엔 도 안 맞지만 구매했어요 역시 이쁩니다,"사고, 싶다, 맞다, 계절"
너무 마음에 들어요 마뗑킴 가방 사고 굉장히 만족해서 눈여겨보는 브랜드인데 겉옷도 굉장히 만족스럽습니다,"만족스럽다, 만족하다, 눈 여기다, 브랜드, 가방, 사고, 마뗑킴"
몇 년 전부터 살까 말까 고민했는데 그냥 샀어요 맘에 들어요,"전, 살다, 말다, 그냥, 고민"
빨리 간절기가 왔으면 해요 미리 사놨어요 가을에 입으려구요 가볍고 여기저기 잘 어울릴 것 같아요 옷걸이까지 주시네요,"구, 여기저기, 가볍다, 간절기, 어울리다, 주다, 가을, 미리, 오다"
생각보다 사이즈도 품도 넉넉하다 못해 크지만 맘에 들어요,"사이즈, 넉넉하다, 크다, 품다"
생각보다 두껍지 않아서 여름철 쌀쌀할 때 입어도 되겠어요,"쌀쌀하다, 여름철, 두껍다"
생각했던 것보다 더 예쁘고 누구나 입을 수 있는 스타일입니다,스타일
갖고 싶었던 건데 마침 있어서 구매해버렸습니다 사이즈도 좋고 자주 입을 거 같아요,"사이즈, 마침, 싶다, 버리다, 갖다"
예쁩니다 광택도 은은하고 프리사이즈이지만 핏도 넉넉하고요,"은은하다, 넉넉하다, 프리 사이즈, 광택, 핏"
