Processed_Review,keyword
짧지만 재질과 핏은 완벽한 그런 원피스 단독으로도 입어도 무난하고 셔츠나 같이 입어도 쪼아온,"완벽하다, 무난, 재질, 원피스, 단독, 셔츠, 그렇다, 핏, 쪼아온"
스몰은 짧다는 후기가 많아 미디엄으로 시켰는데도 제 키에도 뒤쪽은 살짝 짧다는 감이 있어요 하지만 핏은 끝장나줍니다,"미디엄, 스몰, 키, 후기, 핏, 짧다"
길이는 좀 짧지만 너무 예뻐요 카디건이랑 입으면 오빠요,"카디건, 길이, 짧다, 오빠"
입기 조금 힘들지만 핏도 좋고 사이즈도 잘 맞아요,"사이즈, 힘들다, 맞다, 핏"
핏도 재질도 너무 좋아요 흰색 원피스는 좀 뚱뚱해 보일 수 있는데 말라 보여서 잘 산 거 같아요 좀 짧지만 잘 입을게요,"보, 재질, 원피스, 보이다, 말르다, 흰색, 핏, 짧다"
처음에 입었을 때 흉통이 미치도록 쪼이지만 시간 지나면 좀 편해져서 괜찮아요 s 사서 좀 기장이 많이 짧아서 반바지 입었는데 예뻐요 허리 잡아주고 예쁘게 라인 잡아줘서 사진 찍기 너무 좋았어요 재질도 약간 탄탄한 수영복 느낌 나고 값 한 걸 같아요,"편하다, 수영복, 흉통, 미치다, 기장, 잡다, 사진, 반바지, 사서, 재질"
입기 좀 힘들지만 핏도 너무 예쁘고 디자인도 마음에 들어요,"디자인, 힘들다, 핏"
너무 딱 붙는 건 싫어서 한 사이즈 업했더니 딱이네요 핏 예뻐요,"사이즈, 싫다, 업, 붙다, 딱이다"
핏이 정말 예뻐요 레이어드로 와이드 팬츠 매치하거나 겉에 카디건 셔츠 매치해서 한 벌로 여러 스타일 시도할 수 있어서 정말 만족스럽습니다,"매치, 매치다, 만족스럽다, 카디건, 레이어드, 셔츠, 여러, 와이드, 시도"
생각보다 두꺼워서 탄탄하게 입기 좋아요 몸에 예쁘게 핏 됨,"탄탄하다, 몸, 두껍다"
믿고 사는 글로리 처음 룩북 나왔을 때부터 너무 사고 싶었어요 재질이 엄청 쫀쫀해서 마음에 들어요 근데 뱃살이 좀 부각돼서 위에 뭘 입고 입어야 돼요 어딘가에 구겨놔서 주름이 좀 져있는데 주름이 잘 지는 편은 아니에요,"구기다 놓다, 아니다, 어딘가, 살다, 지다, 재질, 주름"
믿고 사는 글로리 처음 룩북 나왔을 때부터 너무 사고 싶었어요 재질이 엄청 쫀쫀해서 마음에 들어요 근데 뱃살이 좀 부각돼서 위에 뭘 입고 입어야 돼요,"재질, 사고, 글로리, 살다, 처음"
엄청 쫀쫀한 재질이네요 제 키에 딱 괜찮은 길이에요,"길이, 재다, 키, 쫀쫀"
사이즈 고민 진짜 많이 했는데 저 체구가 작은 편인데도 미디엄 딱 맞아요 소재는 탄탄하고 핏이 좋아요 블랙도 살 거예요,"펴다, 탄탄하다, 사이즈, 소재, 미디엄, 블랙, 작다, 고민, 체 구가"
하 인생 원피스입니다 꼭 사주세요 고민하신다면 구매 각,"고민, 원피스, 인생, 사주다"
글로리 핏 말해 머 해고 탄탄하게 딱 잡아줘서 정말 좋아요 입으면 백배 이쁨 이 옷을 안 샀다면 지금쯤 땅을 치고 후회했을 것입니다,"말, 잡다, 탄탄하다, 글로리, 해고, 땅"
글로리 핏 말해 뭐해 기본인데 러블리한 딱 글로리 감성 그 자체,"러블리, 글로리, 기본, 감성, 자체, 뭐, 말"
가슴 부분이 쪼여서 좀 힘들어요 기장도 약간 짧지만 그래도 이뻐서 괜찮아요,"힘들다, 기장, 가슴, 부분, 짧다, 쪼이다"
핏 너무 이쁜고 색상도 정말 화이트라 좋은데 길이가 좀 짧아요,"색상, 길이, 화이트, 짧다"
깔 별러 구매 완료했습니다 화이트 원피스지만 비침이 심하지 않아서 블랙 컬러 속옷만 아니면 괜찮을 것 같아요,"원피스, 비침, 심하다, 아니다, 화이트, 별러, 컬러, 완료"
휴가 때 입으려고 샀어요 레이어드해도 이쁘고 여름에 단독으로 입어도 이쁠 거 같아요,"레이어드, 단독, 여름, 휴가"
허리를 좀 잡아줬으면 했는데 그렇진 않아서 좀 별론데 이거 아님 다 좋음,"허리, 아니다, 론데, 잡다 주다, 그렇다"
왜 다들 글로니글로니 하는 줄 알겠네요 핏이 진짜 예뻐요 수영복 재질에 시원한 느낌,"시원하다, 재질, 수영복, 핏, 알다"
작을까 봐 걱정했는데 쫀쫀한 수영복 재질이라 잘 늘어나더라고요 다만 많이 짧기는 해서 청바지랑 레이어드해서 입어야 할 것 같습니다,"청바지, 레이어드, 수영복, 늘어나다, 재질, 쫀쫀, 짧다, 작다"
두 겹이라 비치지도 않고 정말 탄탄합니다 올해 원피스 중 제일 이쁜 듯요 너무 맘에 들어서 세 칼라 구매했습니다,"원피스, 겹, 들어서다, 비치다, 탄탄하다, 올해, 제일, 칼라"
일단 색감이 정말 흰색이라 마음에 들어요 애매한 흰색 아닌 게 너무 좋아요 딱 맞게 입고 싶어서 s 샀는데 뱃살 부각 있고 저보다 키 크신 분들은 m 사셔야 할 것 같아요,"흰색, 색감, 흰색, 애매하다, 크다"
글로리 말로 말 모 글로리 핏 이쁜 거 두말하면 입 아파요,"글로리, 말로, 아프다, 말"
깔끔하고 너무 예쁩니다 여름에 편하게 자주 입을 것 같아요 조금 짧긴 하지만 제 키가 더 짧아서 괜찮아요,"편하다, 여름, 키, 짧다, 짧다"
키 기준 길이가 짧긴 해요 그래도 딱 예쁜 기장입니다,"기장, 길이, 기준, 짧다"
원피스 위쪽은 딱 달라붙는 핏이라 좋았어요 블랙으로 재구매 하고 싶을 정도,"블랙, 원피스, 재다, 핏, 위쪽, 싶다, 달라붙다"
길이가 많이 짧을 거 같아서 M으로 주문했는데 이것도 짧긴 짧아요 그래도 옷은 생각했던 대로 예쁩니다,"대로, 길이, 짧다, 짧다, 주문"
사이즈 고민했는데 S사이즈 예쁘게 잘 맞아요 핏이 너무 예쁘고 생각보다 부담스러운 느낌이 아니라서 만족합니다,"만족하다, 아니다, 사이즈, 사이즈, 부담스럽다, 맞다"
동생 사줬는데 좋아하네요 길이가 좀 짧은 거 말곤 좋대요,"동생, 말다, 길이, 짧다, 대요, 좋아하다, 사주다"
솔직히 글로나 옷이 가격대가 있고 호불호가 많이 갈려서 반신반의로 샀는데 생각보다 더 마음에 들네요 사이즈 고민 많이 했는데 딱 붙는 옷이라서 뱃살 부각 좀 있을 것 같아 m으로 했는데 딱 좋은 것 같습니다 기장도 딱 너무 짧지 않아서 좋아요 기장 s사이즈랑 cm 밖에 차이 안 나긴 합니다 상체 발달형인인데 상체 딱 붙어요 s사이즈 했으면 딱 꽉 꼈을 것 같은 아무래도 딱 붙는 옷이라 체형 부각 좀 있긴 한데 다른 딱 붙는 옷들에 비해서는 부각이 덜 되는 신기한 옷입니다 다만 배에 힘주고 다녀야 더 예쁠 듯 특히나 치마 부분 디자인이 마음에 들어서 저는 잘 입을 것 같아요 이건 잘 산 것 같습니다 등 뒷부분 팔 들거나 움직이면 조금 뜨긴 합니다,"반신반의, 움직이다, 부각, 디자인, 사이즈, 가격 대가, 신기하다, 힘주다"
솔직히 글로나 옷이 가격대가 있고 호불호가 많이 갈려서 반신반의로 샀는데 생각보다 더 마음에 들네요 사이즈 고민 많이 했는데 딱 붙는 옷이라서 뱃살 부각 좀 있을 것 같아 m으로 했는데 딱 좋은 것 같습니다 기장도 딱 너무 짧지 않아서 좋아요 기장 s사이즈랑 cm 밖에 차이 안 나긴 합니다 상체 발달형인인데 상체 딱 붙어요 s사이즈 했으면 딱 꽉 꼈을 것 같은 아무래도 딱 붙는 옷이라 체형 부각 좀 있긴 한데 다른 딱 붙는 옷들에 비해서는 부각이 덜 되는 신기한 옷입니다 다만 배에 힘주고 다녀야 더 예쁠 듯 특히나 치마 부분 디자인이 마음에 들어서 저는 잘 입을 것 같아요 이건 잘 산 것 같습니다,"반신반의, 부각, 디자인, 사이즈, 가격 대가, 신기하다, 힘주다, 이건"
너무 예뻐요 일부러 엠사이즈 했는데 다른 곳은 다 맞는데 등 뒤 목부분이 살짝 뜨더라고요 티가 나진 않아서 그냥 품습니다,"일부러, 목 부분, 엠 사이즈, 나진, 품다, 티"
너무 예뻐요 밝은 색상이라 비칠 거 각오했는데 생각보다 원단이 두꺼워서 속옷 많이 안 비치네요,"색상, 비치다, 원단, 비치다, 속옷, 밝다"
바스트가 있는 편이 아님에도 확실히 바스트가 조이긴 하네요 그래도 예쁩니다,"바스트, 아니다, 조이다, 확실하다, 편이"
작은 제 키에는 살짝 긴 감이 있지만 무척 예쁘고 편합니다,"편하다, 키, 무척, 작다"
딱 붙는 핏 찾았었는데 생각한 대로에요 여기저기 입기 좋아요,"여기저기, 대로, 찾다, 붙다"
믿고 사는 글로리 핏 너무 예뻐요 정말 깔끔해요 다른 색도 살 거예요,"글로리, 색도, 살다, 믿다, 깔끔하다"
블랙도 사고 싶을 정도류 예쁜데 너무 짧음 소재는 너무 얇지 않아 좋아요,"류, 소재, 블랙, 사고, 얇다, 싶다, 짧다"
핏 진짜 너무 예뻐요 완전 인생 원피스예요 사진 찍으면 밝아서 너무 예쁘게 나와요,"나오다, 인생, 사진, 찍다, 원피스"
