Processed_Review,keyword
유튜브 보다가 구입했는데 좀 크게 입으려고 M 했는데 S 해도 여자분들은 충분히 이쁠 것 같아요,"여자, 충분하다, 유튜브, 해도"
재질도 좋고 핏도 이뻐요 완전 딱 제가 원하던 핏이에요 좀 길긴 한데 그래도 이뻐요,"재질, 원하다, 길다, 핏, 핏"
가장 작은 사이즈로 샀는데도 조금 커서 허리는 한번 접어 입어야 되네요 두께감도 있어서 여름에 입기엔 조금 힘들 거 같아요 그래도 핏은 예쁘게 떨어져서 만족스럽습니다,"만족스럽다, 사이즈, 접다, 허리, 커서, 가장, 한번, 작다"
기장감도 그렇고 턱 잡힌 실루엣도 그렇고 다 마음에 들어요,"기장감, 잡히다, 실루엣, 그렇다"
나로 말할 것 같으면 어디를 가면 넌 왜 한복 바지를 입고 왔니 회 바람 불면 바지 타고 날아가겠다 회를 들을 정도로 평소 와이드 한 바지를 선호하며 애정 한다 그래서 간혹 인터넷으로 바지를 구매할 때 사람들의 와이드 한 기준과 나의 와이드 한 기준이 달라 세세히 평들을 살피고 구매하는 편이다 그런 내가 이 바지 m을 샀다 구매하면 세일이 시작되듯 구매하면 매물이 올라오듯 나랑 비슷한 스펙의 사람들의 L 사이즈 구매 평이 보이기 시작했다 근데 받아서 보니 진짜 코끼리 다리통이다 나랑 비슷한 스펙이면 무조건 m사라 위에 L 샀다는 인간들은 지만 죽을 수 없다는 건지 아니면 진짜 평소에 바지를 치마처럼 입는 수준인 거 같다,"무조건, 기준, 선호, 인간, 와이드, 애정, 사이즈, 수준, 다리 통, 매물"
키가 작다 보니 S를 사려는데 품절이라 에라 모르겠다 하고 M사이즈를 구입했는데 키가 작아 평소 옷을 올려 입는데 평소대로 올려 입으니 원했던 핏이 나와서 너무 좋았어요 와이드하게 입고 싶은데 본 제품은 s랑 m이랑 L랑 밑단이 cm나 차이 나서 s를 사야 되는 신체조건임에도 고민이 많았거든요 밑단이 조금이라도 부족한 감이 있으면 신발을 신었을 때 신발이 옷을 먹는 경우가 많아서 별로인데 m은 딱 좋아서 너무 만족했습니다 신발을 신으니 정말 딱 원하던 핏이었어요 신발에 걸쳐 와이드하게 코디하고 싶으신 분들은 저랑 스펙이 비슷하셔도 과감히 m 가셔도 괜찮을 것 같아요 여름을 제외하고는 다 가능할 것 같고 정말 좋은 제품이라 강력하게 추천합니다,"신체 조건, 추천, 사이즈, 신다, 와이드, 나오다, 신발"
전에 나이키 와이드 트레이닝팬츠 입었었는데 그것보다 더 두툼하고 핏도 잘 잡혀서 좋네요 진심 가성비 극강 아이템 진짜 꼭 사십쇼,"트레이닝 팬츠, 잡히다, 가성비, 쇼, 강, 두툼, 아이템, 와이드, 전, 나이키"
완전 제가 원하던 핏으로 나오고 기장 통 다 맘에 들어요 인생 바지네요 고민은 배송만 늦춰요,"인생, 배송, 기장, 고민, 바지, 원하다, 나오다"
신발이랑 신으면 안 끌리고 잘 입을 수 있을 것 같네요,"신발, 신다, 끌리다"
확실히 원했던 만큼 통 넓고요 두께 은근 두껍습니다 허리 고무줄이 배 짱짱하게 잡아주고 너무 예뻐요 근데 제가 키가 좀 작아서 기장이 길긴 합니다 그래서 고냥 배까지 올려서 입습니다 그래도 너무 좋아요,"고무줄, 잡다, 올리다, 기장, 허리"
아따 좋습니다 허리부터 입으면 발목이고 골반쯤 걸쳐 입으면 발꿈치까지 떨어져서 좋아요 핏 처음엔 놀랬는데 이쁘네요 굿굿,"걸치다, 허리, 발목, 처음, 아따, 발꿈치"
너무 편하고 이뻐요 재구매 의사 분명합니다람쥐,"재다, 편하다, 의사, 분명하다 다람쥐"
사이즈 조금 컸는데 와이드하게 입고 싶어서 샀습니다 역시 바지는 제로,"와이드, 사이즈, 바지, 제로, 크다, 싶다"
