Review,Processed_Review,keyword
두껍지도 얇지도 않고 두께감이 적당해서 좋아요 만족합니다,두껍지도 얇지도 않고 두께감이 적당해서 좋아요 만족합니다,"두께감, 두껍다, 만족하다, 적당하다, 얇다"
그냥 유행하는거 편하게 잘 산거 같네요 잘 입을게요,그냥 유행하는 거 편하게 잘 산거 같네요 잘 입을게요,"유행, 그냥, 편하다"
너무 좋습니다 잘 입고 있습니다 완전 최고입니다,너무 좋습니다 잘 입고 있습니다 정말 최고입니다,최고
아디다스 소매 쫀쫀해요. 재질 좋습니다. 핏 좋습니다.,아디다스 소매 쫀쫀해요 재질 좋습니다 핏 좋습니다,"쫀쫀해, 소매, 재질, 아디다스"
예쁘게 입을려규 오버사이즈로 샀는데 넘. 예쁘네요,예쁘게 입을려구 오버사이즈로 샀는데 너무 예쁘네요,"오버, 사이즈"
국밥입니다 매일 입고 다녀요 너무 만족합니다 기장이 살짝 긴데 그건 접어서 입으면 돼서 오히려 좋은듯,국밥입니다 매일 입고 다녀요 너무 만족합니다 기장이 살짝 긴데 그건 접어서 입으면 돼서 오히려 좋은 듯,"그건, 국밥, 매일, 돼다, 접다, 기장, 만족하다"
옷 너무 이쁘고 정말 좋습니다 ㅎㅎ 번창하시고 다음에 또 구입하겠습니다,옷 너무 이쁘고 정말 좋습니다 번창하시고 다음에 또 구입하겠습니다,번창
너무 이뻐용 많이 두껍지 않아서 자주 입을거 같아요,너무 이뻐요 많이 두껍지 않아서 자주 입을 거 같아요,두껍다
아디다스져지 하나 사고 싶었는데 잘 산거같아요,아디다스 저지 하나 사고 싶었는데 잘 산 거 같아요,"사고, 하나, 저지, 아디다스"
매우만족 감사합니다 ㅎㅎ 쌀쌀한 날씨에 딱이네요 잘 입고 다녀요,매우 만족 감사합니다 쌀쌀한 날씨에 딱이네요 잘 입고 다녀요,"쌀쌀하다, 만족, 날씨, 딱이다"
너무 뷰티풀하고 이쁩니다 따땃하기도 하고 대만족이오,너무 뷰티풀하고 이쁩니다 따뜻하기도 하고 대만족이오,"이오, 뷰티풀, 만족, 따뜻하다, 하고"
역시 근본은 근본입니다!!! 어느 바지에도 잘 어울리고  두께감도 적당하고 핏도 딱입니다,역시 근본은 근본입니다 어느 바지에도 잘 어울리고 두께감도 적당하고 핏도 딱입니다,"근본, 두께감, 바지, 딱이다, 어울리다, 적당하다"
이쁩니다 갖고 싶어서 재입고 기다렸어요 힙해요,이쁩니다 갖고 싶어서 재입고 기다렸어요 힙해요,"힙해, 기다리다, 갖다"
하나사거싶었는데 저렴하게잘샀어요 다른색도 살까 고민중,하나 사거 싶었는데 저렴하게 잘 샀어요 다른 색도 살까 고민 중,"색도, 저렴하다, 살다, 고민, 하나"
배송은 빨리 왔고 색감은 사진과 동일합니다 솔직히 말하면 돈 값은 합니다 진짜 이뻐요 매일매일 입고다님,배송은 빨리 왔고 색감은 사진과 동일합니다 솔직히 말하면 돈값은 합니다 진짜 이뻐요 매일매일 입고 다님,"돈값, 동일하다, 솔직하다, 사진, 매일, 빨리, 색감, 오다, 배송"
요즘 져지가 입고 싶어서 구매했는데 만족합니다. 밑단이 완전 짱짱해서 투웨이면 더 좋앆을 거 같음 ㅠ,요즘 저지가 입고 싶어서 구매했는데 만족합니다 밑단이 정말 짱짱해서 투 웨이 면 더 좋앆을 거 같음,"좋앆, 밑단, 만족하다, 짱짱하다, 저지"
너무 편하고 핏도 마음에 들어요 다른색 하나 더 구매 예정,너무 편하고 핏도 마음에 들어요 다른 색 하나 더 구매 예정,"예정, 하나, 편하다"
아디다스 저지 하나 장만하려고 주문했습니다. XL 사이즈로 시켰는데 예쁘게 오버핏 나와서 만족합니다. 단점은 약간 기장이 긴 정도,아디다스 저지 하나 장만하려고 주문했습니다 XL 사이즈로 시켰는데 예쁘게 오버핏 나와서 만족합니다 단점은 약간 기장이 긴 정도,"단점, 장만, 오버핏, 주문, 하나, 나오다, 기장, 만족하다, xl, 저지"
세탁기에 한 번 돌렸는데 보풀 다 일어나서 깜짝 놀랐네요 꼭 손세탁 하세요 ,세탁기에 한 번 돌렸는데 보풀 다 일어나서 깜짝 놀랐네요 꼭 손세탁 하세요,"일어나서, 세탁기, 깜짝, 돌리다, 세탁, 보풀"
생각보다 엄청빠르게 배송왔습니다 대만족하며 입고있어요,생각보다 엄청 빠르게 배송 왔습니다 대만족하며 입고 있어요,"대다, 오다, 만족하다, 빠르다, 배송"
배송도 빠르고 핏도 좋아요 전 덩치가 있어서 2엑스라지인데 작지도 않고 데일리하게 입을 수 있어요,배송도 빠르고 핏도 좋아요 전 덩치가 있어서 엑스라지인데 작지도 않고 데일리 하게 입을 수 있어요,"치가, 데일리, 엑스, 라지, 인데, 빠르다, 배송"
간절기에 휘뚜루마뚜루 입기에 아주 좋아요 아무데나 잘어울리고 편해용,간절기에 휘뚜루마뚜루 입기에 아주 좋아요 아무 데나 잘 어울리고 편해요,"간절기, 휘뚜루마뚜루, 어울리다, 편하다"
디자인은좋고배송빠르고가격좋아요세틱은아직존,디자인은 좋고 배송 빠르고 가격 좋아요 세 틱은 아직 존,"아직, 가격, 디자인, 빠르다, 배송"
이 제품은 그냥 집에 하나 두고있는게 마음이 편해요 ㅎ,이 제품은 그냥 집에 하나 두고 있는 게 마음이 편해요,"두다, 제품, 하나, 그냥, 편하다"
너무 가지고 싶었던 아디다스 져지를 드디어 구매하게 되었어요 다 무난하고 제가 덩치가 큰데도 정말 멋져요,너무 가지고 싶었던 아디다스 저지를 드디어 구매하게 되었어요 다 무난하고 제가 덩치가 큰데도 정말 멋져요,"멋지다, 저지르다, 드디어, 치가, 가지, 되어다, 무난, 하고, 크다, 아디다스"
오랜만에 져지입는데 편하규 좋아요 화면에보는 그대로입니다,오랜만에 저지 입는데 편하고 좋아요 화면에 보는 그대로입니다,"화면, 그대로, 오랜, 저지, 편하다"
사이즈는 딱 핏하게 입는거 좋아하시면 m 하시면 될거 같아요 요즘 이거 하나로만 돌려입는데 좋습니다,사이즈는 딱 피하게 입는 거 좋아하시면 m 하시면 될 거 같아요 요즘 이거 하나로만 돌려 입는데 좋습니다,"하나로, 돌리다, 피하, 좋아하다, 사이즈"
